population,position,irradiance,in_out,type,notes,,
,1,144,in,no bottle,,,
,2,142,in,no bottle,,,
,3,142,in,no bottle,,,
,4,142,in,no bottle,,,
,5,141,in,no bottle,,,
,6,142,in,no bottle,,,
,7,144,in,no bottle,,,
,8,145,in,no bottle,,,
,9,145,in,no bottle,,,
,10,144,in,no bottle,,,
,1,143,in,no bottle,,,
,2,143,in,no bottle,,,
,3,141,in,no bottle,,,
,4,143,in,no bottle,,,
,5,142,in,no bottle,,,
,6,141,in,no bottle,,,
,7,142,in,no bottle,,,
,8,142,in,no bottle,,,
,9,142,in,no bottle,,,
,10,143,in,no bottle,,,
,1,108,in,at base of empty bottle,,,
,2,105,in,at base of empty bottle,,,
,3,110,in,at base of empty bottle,,,
,4,118,in,at base of empty bottle,,,
,5,18,in,at base of empty bottle,,,
,6,121,in,at base of empty bottle,,,
,7,119,in,at base of empty bottle,,,
,8,118,in,at base of empty bottle,,,
,9,119,in,at base of empty bottle,,,
,10,118,in,at base of empty bottle,,,
,1,105,in,at base of empty bottle,,,
,2,101,in,at base of empty bottle,,,
,3,106,in,at base of empty bottle,,,
,4,120,in,at base of empty bottle,,,
,5,118,in,at base of empty bottle,,,
,6,121,in,at base of empty bottle,,,
,7,118,in,at base of empty bottle,,,
,8,117,in,at base of empty bottle,,,
,9,116,in,at base of empty bottle,,,
,10,119,in,at base of empty bottle,,,
,1,120,in,COMBO,,,
,2,124,in,COMBO,,,
,3,121,in,COMBO,,,
,4,121,in,COMBO,,,
,5,123,in,COMBO,,,
,6,122,in,COMBO,,,
,7,122,in,COMBO,,,
,8,122,in,COMBO,,,
,9,121,in,COMBO,,,
,10,121,in,COMBO,,,
,1,123,in,COMBO,,,
,2,125,in,COMBO,,,
,3,123,in,COMBO,,,
,4,122,in,COMBO,,,
,5,123,in,COMBO,,,
,6,122,in,COMBO,,,
,7,122,in,COMBO,,,
,8,123,in,COMBO,,,
,9,122,in,COMBO,,,
,10,122,in,COMBO,,,
,1,108,in,at base of empty bottle,,,
,2,104,in,at base of empty bottle,,,
,3,108,in,at base of empty bottle,,,
,4,121,in,at base of empty bottle,,,
,5,117,in,at base of empty bottle,,,
,6,122,in,at base of empty bottle,,,
,7,120,in,at base of empty bottle,,,
,8,119,in,at base of empty bottle,,,
,9,119,in,at base of empty bottle,,,
,10,119,in,at base of empty bottle,,,
,2,126,in,COMBO,,,
,5,120,in,COMBO,,,
,8,120,in,COMBO,,,
,10,118,in,COMBO,,,
,2,125,in,COMBO,,,
,5,120,in,COMBO,,,
,8,120,in,COMBO,,,
,10,118,in,COMBO,,,
,2,139,in,no bottle,,,
,5,136,in,no bottle,,,
,8,137,in,no bottle,,,
,10,138,in,no bottle,,,
,2,137,in,no bottle,,,
,5,135,in,no bottle,,,
,8,136,in,no bottle,,,
,10,135,in,no bottle,,,
1,1,119,out,,ceiling growth,,
1,2,118,out,,,,
1,3,116,out,,,,
1,4,111,out,,,,
1,1,118,out,,,,
1,2,118,out,,,,
1,3,115,out,,,,
1,4,111,out,,,,
2,1,119,out,,,,
2,2,120,out,,,,
2,3,119,out,,,,
2,4,116,out,,,,
2,1,118,out,,,,
2,2,119,out,,,,
2,3,118,out,,,,
2,4,116,out,,,,
