ancestor_id,treatment,population,phosphate_concentration.x,growth_rate_q2.5,growth_rate_q97.5,growth_rate_mean
anc2,B,19,0,0,0,0
anc2,B,19,1,0.8585724409264184,1.0059568473981226,0.9286585445984229
anc2,B,19,2,1.063596186589039,1.1612517896907621,1.1107901099883237
anc2,B,19,3,1.1574098120123992,1.2237701946032973,1.1887359347955164
anc2,B,19,4,1.2082786082330828,1.2594933385989129,1.232026208365305
anc2,B,19,5,1.2404660007689454,1.2817233753196229,1.2595725825291042
anc2,B,19,6,1.2626726250148848,1.2972305989139146,1.2786430258614294
anc2,B,19,7,1.2784852405032052,1.3096489775005116,1.2926282263956392
anc2,B,19,8,1.289873754797284,1.3199726071493116,1.3033230231294437
anc2,B,19,9,1.2989668966467518,1.3283516160262108,1.311766477601051
anc2,B,19,10,1.3056846638397528,1.334824662590259,1.3186018067325462
anc2,B,19,11,1.3111616959638834,1.3411644897974604,1.3242484997004127
anc2,B,19,12,1.315917491482652,1.3465545039787736,1.3289918116701842
anc2,B,19,13,1.319881187523653,1.3507157391596483,1.3330324804650695
anc2,B,19,14,1.3229665807753084,1.3544464934709985,1.3365158702352773
anc2,B,19,15,1.3256512126979614,1.3579499872715388,1.3395498335820502
anc2,B,19,16,1.328216683007416,1.3612995157999228,1.3422160783758696
anc2,B,19,17,1.330379441790757,1.363891535669959,1.344577637425021
anc2,B,19,18,1.3322882710137391,1.3664036330482507,1.3466839155950086
anc2,B,19,19,1.3338926860474185,1.3687389306354476,1.348574184006507
anc2,B,19,20,1.3355703141827375,1.3706878903998163,1.3502800515709665
anc2,B,19,21,1.3370144989192638,1.3724127224475666,1.351827246817729
anc2,B,19,22,1.338166965270671,1.3739572526412422,1.3532369245838995
anc2,B,19,23,1.3392459588559482,1.375517693039619,1.3545266390936226
anc2,B,19,24,1.3403595188619053,1.3767778277511544,1.3557110787414104
anc2,B,19,25,1.3412505240434789,1.3778767699621899,1.3568026279921312
anc2,B,19,26,1.3421431771123946,1.378956096807676,1.357811802063508
anc2,B,19,27,1.3428540988640263,1.3799776010350306,1.3587475867726888
anc2,B,19,28,1.3435149152468462,1.3809298949401687,1.359617706839135
anc2,B,19,29,1.344130743044602,1.3818062813252971,1.360428839619702
anc2,B,19,30,1.3447052725109125,1.3826521706416808,1.361186786799225
anc2,B,19,31,1.3452658817442713,1.3834371068450233,1.3618966133795043
anc2,B,19,32,1.3457906545153795,1.384169280383433,1.362562761009848
anc2,B,19,33,1.3462843746095075,1.3848563560040723,1.3631891410204497
anc2,B,19,34,1.3467042827812463,1.385541863497795,1.3637792112767129
anc2,B,19,35,1.3471527516193165,1.3863168179111138,1.3643360400446451
anc2,B,19,36,1.3475162363830238,1.3870263383181018,1.3648623593582552
anc2,B,19,37,1.3478642099018179,1.3875804824204272,1.3653606098485116
anc2,B,19,38,1.348275609600603,1.3881487530768104,1.365832978586248
anc2,B,19,39,1.3486674692255507,1.3887302743804844,1.3662814311770057
anc2,B,19,40,1.3490399471093528,1.3892831712683757,1.3667077391012705
anc2,B,19,41,1.3493725713311697,1.3898095064574216,1.3671135031020585
anc2,B,19,42,1.3496766780466822,1.3903111491236548,1.367500173270849
anc2,B,19,43,1.349966767959066,1.3907585105683697,1.3678690663631508
anc2,B,19,44,1.3502437883259129,1.391177740622384,1.3682213807794712
anc2,B,19,45,1.3505042627160728,1.3915785745564622,1.3685582095708475
anc2,B,19,46,1.350702276516076,1.3919621972272196,1.3688805517663043
anc2,B,19,47,1.350892193425696,1.3923296938776326,1.3691893222695286
anc2,B,19,48,1.3510759298812285,1.3926820603899783,1.3694853605312545
anc2,B,19,49,1.3512755768209581,1.393020212297952,1.3697694381704903
anc2,B,19,50,1.351513583094551,1.393342383338543,1.370042265690282
anc2,BS,25,0,0,0,0
anc2,BS,25,1,0.635606599835203,0.6897617243309987,0.661746159398395
anc2,BS,25,2,0.9176129028700561,0.9665283085293466,0.9411041549647489
anc2,BS,25,3,1.076354954509138,1.1154737843233153,1.0952777983184938
anc2,BS,25,4,1.1769933202595422,1.2105541987626742,1.1930202753224002
anc2,BS,25,5,1.2468394917683117,1.2757857191964521,1.2605240420260901
anc2,BS,25,6,1.2971899035543575,1.3240759061376093,1.30994270961448
anc2,BS,25,7,1.3355280860088403,1.3606575387903317,1.3476859490821844
anc2,BS,25,8,1.3653870526941279,1.3901851799681053,1.37745439377921
anc2,BS,25,9,1.3893348979772877,1.4152997457747578,1.4015341318655805
anc2,BS,25,10,1.4090854066627638,1.435932459385744,1.4214136502755514
anc2,BS,25,11,1.4254519572824373,1.453094704438177,1.4381037848718379
anc2,BS,25,12,1.4395128942286608,1.4677742240028226,1.45231509170117
anc2,BS,25,13,1.4513328518635389,1.4805337604810642,1.4645616427005737
anc2,BS,25,14,1.4615063910310302,1.4921382077156922,1.4752245505929655
anc2,BS,25,15,1.4703221578930004,1.502363895076846,1.4845923445140228
anc2,BS,25,16,1.4782152853095978,1.511307006861233,1.4928874748463137
anc2,BS,25,17,1.4850887594467774,1.5190470976209534,1.5002842056781838
anc2,BS,25,18,1.4914122535122023,1.5260361952598915,1.5069209920771236
anc2,BS,25,19,1.4972290768208947,1.5323470346558001,1.5129092286247012
