treatment,ancestor_id,population,change_rstar_lower,change_rstar_upper,change_rstar_mean
B,anc2,19,-0.06616730317945627,-0.04620955404418322,-0.055555909538462525
B,anc3,7,-0.08716716156672111,-0.05890988300994779,-0.07442381325242241
B,anc4,21,-0.06854185756421513,-0.05629560012716161,-0.06250867124590229
B,anc5,16,-0.011045499910500991,0.010081836099652637,-8.71233939262605e-4
B,cc1690,31,-0.06069016066345109,-0.029554708469773466,-0.04450856057869435
BS,anc2,25,-0.005111789182027142,0.009774134946083797,0.002030502343606387
BS,anc3,2,-0.08742544050708734,-0.06952525098254306,-0.078332396254341
BS,anc4,35,-0.08833702436576757,-0.08043600526060221,-0.08461450320451822
BS,cc1690,9,-0.04604653828143295,0.04169677143326316,-0.004219736286260471
C,anc4,24,-0.06371643966474326,-0.04420057191705206,-0.053952972013183914
C,anc5,5,-0.029387048809391598,-0.010366920573289813,-0.020282095682463225
C,cc1690,22,0.0032981867975758563,0.07210534413942929,0.0344981351322799
L,anc2,10,0.05606034368408228,0.21687375213093735,0.12718125540646433
L,anc3,26,-0.046042372795173495,-0.022522424272591345,-0.033845005533039374
L,anc4,20,0.0392271358906699,0.0720467210112403,0.055749687538936686
L,anc5,23,-0.0739366884503728,-0.04390810154943903,-0.059446468914162505
L,cc1690,33,-0.02893293145629047,-0.005305147514817768,-0.017136008225118893
N,anc2,1,-0.07108240861288778,-0.04649417868555924,-0.05913867336190744
N,anc3,27,-0.03898401628208425,0.004613243439208638,-0.01823974197806407
N,anc4,11,-0.007756992812476322,0.014294536646886237,0.0027576139059565337
N,anc5,30,-0.09205688611379437,-0.07312146544829129,-0.0823399839483295
N,cc1690,3,-0.07661426954653262,-0.023044278564147636,-0.04903647894384655
Ancestors,anc2,anc2,-0.0080760601414483265,0.008093249979059669,2.6262260769023722e-18
Ancestors,anc3,anc3,-0.0117465776019491,0.010365169891487796,-7.502600689411176e-19
Ancestors,anc4,anc4,-0.009486005118565437,0.01010910647367914,3.1257923735235436e-18
Ancestors,anc5,anc5,-0.007971902359783395,0.0082303842487545,7.224996027488723e-19
Ancestors,cc1690,cc1690,-0.008596318921712535,0.008155329850732347,-2.15258797600396e-18
P,anc2,17,-0.0838774687070162,-0.07543780316997242,-0.07964068659991842
P,anc3,29,-0.08578888984576788,-0.07039379828432812,-0.07804471486855417
P,anc4,8,-0.04589114488936424,-0.0360928046680188,-0.041172545757708415
P,anc5,28,-0.07410297313858696,-0.054693414221241514,-0.06404936196758819
P,cc1690,6,-0.0880802394838904,-0.07105448974608722,-0.0801394787572586
S,anc2,14,-0.07733681380776082,-0.05515035609436903,-0.06641890773285923
S,anc3,4,-0.06854815061949332,-0.03488525591469433,-0.05096651304893801
S,anc4,15,-0.05424842874974884,-0.0265931609503812,-0.04034274370144409
S,anc5,18,-0.08271397424554987,-0.05899172298481194,-0.07156431282890983
S,cc1690,32,-0.05475170823755756,-0.026372228333098137,-0.040843115677196416
