population,treatment,ancestor_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1,N,anc2,alpha,0.07182059629223769,0.027041167987803275,2.6559724167473777,0.01170935589645468,0.016978565716669267,0.1266626268678061
1,N,anc2,eopt,199.14463228620707,119.40318187140844,1.6678335465186882,0.10402576554716307,-43.01624456517408,441.3055091375882
1,N,anc2,h,-0.08161811727588758,0.10167689777632526,-0.8027203726793067,0.4274042918747144,-0.28782842369435535,0.12459218914258019
1,N,anc2,ps,1.6444115514906374,0.1277342632359121,12.873691911884109,4.880995307555136e-15,1.3853544585022264,1.9034686444790485
10,L,anc2,alpha,0.04453991117633438,0.008080518010258976,5.512011868519664,3.121265888953226e-6,0.028151861074913662,0.0609279612777551
10,L,anc2,eopt,123.25766923600125,8.933331735340476,13.79750275570658,6.066171884907524e-16,105.14003273478896,141.37530573721355
10,L,anc2,h,-0.08535536817805975,0.05471662384273945,-1.5599531218040579,0.12751988121952976,-0.1963258247474235,0.025615088391303997
10,L,anc2,ps,1.7889614390754507,0.06690139082205712,26.740272767029488,2.411865014436824e-25,1.653279129691988,1.9246437484589134
11,N,anc4,alpha,0.06621791339004338,0.023572916499823817,2.809067490250444,0.007979912644795462,0.018409822851137604,0.11402600392894915
11,N,anc4,eopt,109.98376879892469,17.08372928566953,6.437925054875645,1.813271126694641e-7,75.33635992028428,144.6311776775651
11,N,anc4,h,0.0074064844700878745,0.10767542576380207,0.0687852814841412,0.9455411861906182,-0.21096940057449498,0.22578236951467073
11,N,anc4,ps,1.700886411438581,0.12469054208780427,13.640861471601072,8.580486850389775e-16,1.4480022710513047,1.9537705518258575
14,S,anc2,alpha,0.07599710831733082,0.018560419606254815,4.094579213700534,2.285476158690388e-4,0.038354832658205495,0.11363938397645615
14,S,anc2,eopt,102.34227098005944,11.454683099347447,8.934535341784331,1.1522002365301069e-10,79.11109690314072,125.57344505697816
14,S,anc2,h,0.04672357183783227,0.06700655291897528,0.6972985447308517,0.49009496574356726,-0.0891720161635206,0.18261915983918514
14,S,anc2,ps,1.4934869354302232,0.07547772383916457,19.78712207343048,6.2355067120706985e-21,1.3404110165043543,1.646562854356092
15,S,anc4,alpha,0.07058174034744039,0.014189827128980122,4.9741085431048075,1.626054215225026e-5,0.04180343707220615,0.09936004362267462
15,S,anc4,eopt,96.68698727283423,7.974523240980045,12.124484981869799,2.84952887060098e-14,80.51390452712342,112.86007001854504
15,S,anc4,h,0.0365571105770441,0.053339470966217585,0.6853669508682876,0.49750221764433245,-0.07162035050501271,0.14473457165910092
15,S,anc4,ps,1.4371103516113768,0.06089704750155963,23.599015232628002,1.7109600248427748e-23,1.313605414896042,1.5606152883267115
