population,name,rstar,ancestor_id,treatment,note
1,1,1.3782990957279162,anc2,N,NA
10,1,1.2545252669579492,anc2,L,NA
11,1,0.9598402738177078,anc4,N,NA
14,1,1.4776000173982782,anc2,S,NA
15,1,0.8936680983109484,anc4,S,NA
16,1,0.9233090073225305,anc5,B,NA
17,1,1.5381570733808296,anc2,P,NA
18,1,1.3239393804886037,anc5,S,NA
19,1,1.3919758922545993,anc2,B,NA
2,1,0.7614112474158844,anc3,BS,NA
20,1,1.7402629393253537,anc4,L,NA
21,1,0.9931017447410395,anc4,B,NA
22,1,1.4310959734987643,cc1690,C,NA
23,1,1.2318465490275443,anc5,L,NA
24,1,1.4711013469504304,anc4,C,NA
25,1,1.097463926617965,anc2,BS,NA
26,1,0.9765230950354812,anc3,L,NA
27,1,1.0559152939892267,anc3,N,NA
28,1,0.7845573372002319,anc5,P,NA
29,1,2.3285224441061017,anc3,P,NA
3,1,1.3010089086559653,cc1690,N,NA
30,1,0.7814904041983254,anc5,N,NA
31,1,1.2025005547812557,cc1690,B,NA
32,1,1.516259746487411,cc1690,S,NA
33,1,1.8622421247139809,cc1690,L,NA
35,1,1.3822096202413625,anc4,BS,NA
4,1,1.2424858099099574,anc3,S,NA
5,1,2.601310720170274,anc5,C,NA
6,1,1.8351212678094673,cc1690,P,NA
7,1,2.025042751521726,anc3,B,NA
8,1,0.6078950004048829,anc4,P,NA
9,1,0.7808116163884389,cc1690,BS,NA
anc2,1,1.460901507560179,anc2,none,NA
anc3,1,2.5829320121193273,anc3,none,NA
anc4,1,1.547260076846115,anc4,none,NA
anc5,1,1.168443052014537,anc5,none,NA
cc1690,1,1.4458846350583041,cc1690,none,NA
