well_plate,mu,best.model,best.se,population,light,ancestor_id,treatment,note
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_1,0.10909625081659469,gr,0.0674946856151488,25,0.25,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_10,0.5569786730951977,gr,0.049276501862944494,25,12.5,anc2,BS,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_11,0.16834676817583838,gr,0.13116481171115257,28,12.5,anc5,P,NA
B02_12,0.43551946143286735,gr,0.10691096323218763,15,12.5,anc4,S,NA
B02_12,0.43551946143286735,gr,0.10691096323218763,15,12.5,anc4,S,NA
B02_12,0.43551946143286735,gr,0.10691096323218763,15,12.5,anc4,S,NA
B02_12,0.43551946143286735,gr,0.10691096323218763,15,12.5,anc4,S,NA
B02_12,0.43551946143286735,gr,0.10691096323218763,15,12.5,anc4,S,NA
