file_name,path,well_plate,well,plate,date_time,RFU,plate_key,population,acclimation_level,percentage,expt_light_level,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500,start_time,days,light_level
data-raw/light-rstar-rfu/chlamee_light_20181218_plate1_181218_194335_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_1,B02,1,2018-12-18T19:36:21Z,9,1,25,LL,0.1,L1,5,15,1,1,2018-12-18T19:36:21Z,0,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate1_181218_194335_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_1,C02,1,2018-12-18T19:36:21Z,8,1,6,LL,0.1,L1,5,15,1,1,2018-12-18T19:36:21Z,0,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate1_181218_194335_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_1,D02,1,2018-12-18T19:36:21Z,10,1,24,LL,0.1,L1,5,15,1,1,2018-12-18T19:36:21Z,0,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate1_181218_194335_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_1,E02,1,2018-12-18T19:36:21Z,7,1,1,LL,0.1,L1,5,15,1,1,2018-12-18T19:36:21Z,0,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate1_181218_194335_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_1,F02,1,2018-12-18T19:36:21Z,8,1,25,LL,0.1,L1,5,15,1,1,2018-12-18T19:36:21Z,0,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate1_181218_194335_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_1,G02,1,2018-12-18T19:36:21Z,10,1,11,LL,0.1,L1,5,15,1,1,2018-12-18T19:36:21Z,0,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate10_181218_201131_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_10,B02,10,2018-12-18T20:04:13Z,6,1,25,LL,5,L4,5,18,1,NA,2018-12-18T20:04:13Z,0,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate10_181218_201131_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_10,C02,10,2018-12-18T20:04:13Z,8,1,6,LL,5,L4,5,18,1,NA,2018-12-18T20:04:13Z,0,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate10_181218_201131_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_10,D02,10,2018-12-18T20:04:13Z,8,1,24,LL,5,L4,5,18,1,NA,2018-12-18T20:04:13Z,0,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate10_181218_201131_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_10,E02,10,2018-12-18T20:04:13Z,6,1,1,LL,5,L4,5,18,1,NA,2018-12-18T20:04:13Z,0,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate10_181218_201131_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_10,F02,10,2018-12-18T20:04:13Z,4,1,25,LL,5,L4,5,18,1,NA,2018-12-18T20:04:13Z,0,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate10_181218_201131_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_10,G02,10,2018-12-18T20:04:13Z,7,1,11,LL,5,L4,5,18,1,NA,2018-12-18T20:04:13Z,0,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate11_181218_210843_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_11,B02,11,2018-12-18T20:57:34Z,15,2,28,LL,5,L4,4,9,1,1,2018-12-18T20:04:13Z,0.03704861111111111,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate11_181218_210843_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_11,C02,11,2018-12-18T20:57:34Z,10,2,21,LL,5,L4,4,9,1,1,2018-12-18T20:04:13Z,0.03704861111111111,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate11_181218_210843_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_11,D02,11,2018-12-18T20:57:34Z,7,2,18,LL,5,L4,4,9,1,1,2018-12-18T20:04:13Z,0.03704861111111111,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate11_181218_210843_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_11,E02,11,2018-12-18T20:57:34Z,4,2,26,LL,5,L4,4,9,1,1,2018-12-18T20:04:13Z,0.03704861111111111,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate11_181218_210843_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_11,F02,11,2018-12-18T20:57:34Z,15,2,28,LL,5,L4,4,9,1,1,2018-12-18T20:04:13Z,0.03704861111111111,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate11_181218_210843_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_11,G02,11,2018-12-18T20:57:34Z,8,2,27,LL,5,L4,4,9,1,1,2018-12-18T20:04:13Z,0.03704861111111111,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate12_181218_223552_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_12,B02,12,2018-12-18T22:21:30Z,7,3,15,LL,5,L4,4,1,1,1,2018-12-18T20:04:13Z,0.09533564814814814,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate12_181218_223552_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_12,C02,12,2018-12-18T22:21:30Z,4,3,10,LL,5,L4,4,1,1,1,2018-12-18T20:04:13Z,0.09533564814814814,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate12_181218_223552_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_12,D02,12,2018-12-18T22:21:30Z,9,3,29,LL,5,L4,4,1,1,1,2018-12-18T20:04:13Z,0.09533564814814814,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate12_181218_223552_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_12,E02,12,2018-12-18T22:21:30Z,6,3,anc4,LL,5,L4,4,1,1,1,2018-12-18T20:04:13Z,0.09533564814814814,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate12_181218_223552_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_12,F02,12,2018-12-18T22:21:30Z,7,3,15,LL,5,L4,4,1,1,1,2018-12-18T20:04:13Z,0.09533564814814814,4
data-raw/light-rstar-rfu/chlamee_light_20181218_plate13_181218_200331_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_13,B02,13,2018-12-18T19:55:09Z,7,1,25,LL,11,L5,6,9,1,NA,2018-12-18T19:55:09Z,0,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate13_181218_200331_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_13,C02,13,2018-12-18T19:55:09Z,9,1,6,LL,11,L5,6,9,1,NA,2018-12-18T19:55:09Z,0,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate13_181218_200331_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_13,D02,13,2018-12-18T19:55:09Z,17,1,24,LL,11,L5,6,9,1,NA,2018-12-18T19:55:09Z,0,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate13_181218_200331_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_13,E02,13,2018-12-18T19:55:09Z,4,1,1,LL,11,L5,6,9,1,NA,2018-12-18T19:55:09Z,0,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate13_181218_200331_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_13,F02,13,2018-12-18T19:55:09Z,10,1,25,LL,11,L5,6,9,1,NA,2018-12-18T19:55:09Z,0,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate13_181218_200331_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_13,G02,13,2018-12-18T19:55:09Z,8,1,11,LL,11,L5,6,9,1,NA,2018-12-18T19:55:09Z,0,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate14_181218_212953_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_14,B02,14,2018-12-18T21:09:04Z,13,2,28,LL,11,L5,6,2,1,NA,2018-12-18T19:55:09Z,0.05133101851851852,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate14_181218_212953_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_14,C02,14,2018-12-18T21:09:04Z,9,2,21,LL,11,L5,6,2,1,NA,2018-12-18T19:55:09Z,0.05133101851851852,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate14_181218_212953_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_14,D02,14,2018-12-18T21:09:04Z,7,2,18,LL,11,L5,6,2,1,NA,2018-12-18T19:55:09Z,0.05133101851851852,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate14_181218_212953_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_14,E02,14,2018-12-18T21:09:04Z,4,2,26,LL,11,L5,6,2,1,NA,2018-12-18T19:55:09Z,0.05133101851851852,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate14_181218_212953_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_14,F02,14,2018-12-18T21:09:04Z,16,2,28,LL,11,L5,6,2,1,NA,2018-12-18T19:55:09Z,0.05133101851851852,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate14_181218_212953_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_14,G02,14,2018-12-18T21:09:04Z,5,2,27,LL,11,L5,6,2,1,NA,2018-12-18T19:55:09Z,0.05133101851851852,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate15_181218_224311_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_15,B02,15,2018-12-18T22:36:14Z,7,3,15,LL,11,L5,6,13,1,NA,2018-12-18T19:55:09Z,0.11186342592592592,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate15_181218_224311_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_15,C02,15,2018-12-18T22:36:14Z,5,3,10,LL,11,L5,6,13,1,NA,2018-12-18T19:55:09Z,0.11186342592592592,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate15_181218_224311_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_15,D02,15,2018-12-18T22:36:14Z,9,3,29,LL,11,L5,6,13,1,NA,2018-12-18T19:55:09Z,0.11186342592592592,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate15_181218_224311_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_15,E02,15,2018-12-18T22:36:14Z,5,3,anc4,LL,11,L5,6,13,1,NA,2018-12-18T19:55:09Z,0.11186342592592592,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate15_181218_224311_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_15,F02,15,2018-12-18T22:36:14Z,8,3,15,LL,11,L5,6,13,1,NA,2018-12-18T19:55:09Z,0.11186342592592592,5
data-raw/light-rstar-rfu/chlamee_light_20181218_plate16_181218_225059_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_16,B02,16,2018-12-18T22:43:37Z,8,1,25,HL,20,L6,4,8,1,1,2018-12-18T22:43:37Z,0,6
data-raw/light-rstar-rfu/chlamee_light_20181218_plate16_181218_225059_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_16,C02,16,2018-12-18T22:43:37Z,8,1,6,HL,20,L6,4,8,1,1,2018-12-18T22:43:37Z,0,6
data-raw/light-rstar-rfu/chlamee_light_20181218_plate16_181218_225059_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_16,D02,16,2018-12-18T22:43:37Z,7,1,24,HL,20,L6,4,8,1,1,2018-12-18T22:43:37Z,0,6
data-raw/light-rstar-rfu/chlamee_light_20181218_plate16_181218_225059_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_16,E02,16,2018-12-18T22:43:37Z,7,1,1,HL,20,L6,4,8,1,1,2018-12-18T22:43:37Z,0,6
data-raw/light-rstar-rfu/chlamee_light_20181218_plate16_181218_225059_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_16,F02,16,2018-12-18T22:43:37Z,7,1,25,HL,20,L6,4,8,1,1,2018-12-18T22:43:37Z,0,6
data-raw/light-rstar-rfu/chlamee_light_20181218_plate16_181218_225059_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_16,G02,16,2018-12-18T22:43:37Z,7,1,11,HL,20,L6,4,8,1,1,2018-12-18T22:43:37Z,0,6
data-raw/light-rstar-rfu/chlamee_light_20181218_plate19_181218_225819_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_19,B02,19,2018-12-18T22:51:15Z,8,1,25,HL,33,L7,6,17,1,NA,2018-12-18T22:51:15Z,0,7
data-raw/light-rstar-rfu/chlamee_light_20181218_plate19_181218_225819_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_19,C02,19,2018-12-18T22:51:15Z,8,1,6,HL,33,L7,6,17,1,NA,2018-12-18T22:51:15Z,0,7
data-raw/light-rstar-rfu/chlamee_light_20181218_plate19_181218_225819_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_19,D02,19,2018-12-18T22:51:15Z,8,1,24,HL,33,L7,6,17,1,NA,2018-12-18T22:51:15Z,0,7
data-raw/light-rstar-rfu/chlamee_light_20181218_plate19_181218_225819_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_19,E02,19,2018-12-18T22:51:15Z,9,1,1,HL,33,L7,6,17,1,NA,2018-12-18T22:51:15Z,0,7
data-raw/light-rstar-rfu/chlamee_light_20181218_plate19_181218_225819_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_19,F02,19,2018-12-18T22:51:15Z,7,1,25,HL,33,L7,6,17,1,NA,2018-12-18T22:51:15Z,0,7
data-raw/light-rstar-rfu/chlamee_light_20181218_plate19_181218_225819_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_19,G02,19,2018-12-18T22:51:15Z,9,1,11,HL,33,L7,6,17,1,NA,2018-12-18T22:51:15Z,0,7
data-raw/light-rstar-rfu/chlamee_light_20181218_plate2_181218_202842_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,B02_2,B02,2,2018-12-18T20:29:49Z,13,2,28,LL,0.1,L1,5,16,1,NA,2018-12-18T19:36:21Z,0.03712962962962963,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate2_181218_202842_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,C02_2,C02,2,2018-12-18T20:29:49Z,6,2,21,LL,0.1,L1,5,16,1,NA,2018-12-18T19:36:21Z,0.03712962962962963,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate2_181218_202842_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,D02_2,D02,2,2018-12-18T20:29:49Z,4,2,18,LL,0.1,L1,5,16,1,NA,2018-12-18T19:36:21Z,0.03712962962962963,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate2_181218_202842_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,E02_2,E02,2,2018-12-18T20:29:49Z,4,2,26,LL,0.1,L1,5,16,1,NA,2018-12-18T19:36:21Z,0.03712962962962963,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate2_181218_202842_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,F02_2,F02,2,2018-12-18T20:29:49Z,14,2,28,LL,0.1,L1,5,16,1,NA,2018-12-18T19:36:21Z,0.03712962962962963,1
data-raw/light-rstar-rfu/chlamee_light_20181218_plate2_181218_202842_0001_,data-raw/light-rstar-rfu/chlamee_light_20181218_,G02_2,G02,2,2018-12-18T20:29:49Z,6,2,27,LL,0.1,L1,5,16,1,NA,2018-12-18T19:36:21Z,0.03712962962962963,1
