combination,pop1,pop2,coexist,zngis_cross,steeper_zngi
1,10,1,TRUE,TRUE,TRUE
2,1,14,FALSE,FALSE,FALSE
3,1,17,FALSE,FALSE,FALSE
4,19,1,FALSE,FALSE,FALSE
5,25,1,TRUE,TRUE,TRUE
6,1,anc2,TRUE,TRUE,TRUE
7,10,14,FALSE,FALSE,FALSE
8,10,17,FALSE,FALSE,FALSE
9,19,10,FALSE,TRUE,FALSE
10,25,10,FALSE,TRUE,FALSE
11,10,anc2,TRUE,TRUE,TRUE
12,17,14,FALSE,FALSE,FALSE
13,19,14,FALSE,FALSE,FALSE
14,25,14,TRUE,TRUE,TRUE
15,anc2,14,TRUE,TRUE,TRUE
16,19,17,FALSE,FALSE,FALSE
17,25,17,FALSE,FALSE,FALSE
18,anc2,17,FALSE,FALSE,FALSE
19,19,25,FALSE,TRUE,FALSE
20,19,anc2,TRUE,TRUE,TRUE
21,25,anc2,FALSE,TRUE,FALSE
22,2,4,TRUE,TRUE,TRUE
23,7,2,FALSE,FALSE,FALSE
24,2,26,FALSE,TRUE,FALSE
25,2,27,FALSE,TRUE,FALSE
26,2,29,FALSE,TRUE,FALSE
27,2,anc3,TRUE,TRUE,TRUE
28,7,4,TRUE,TRUE,TRUE
29,26,4,FALSE,TRUE,FALSE
30,27,4,FALSE,TRUE,FALSE
31,29,4,FALSE,FALSE,FALSE
32,anc3,4,TRUE,TRUE,TRUE
33,7,26,FALSE,TRUE,FALSE
34,7,27,FALSE,TRUE,FALSE
35,7,29,FALSE,FALSE,FALSE
36,7,anc3,TRUE,TRUE,TRUE
37,26,27,FALSE,TRUE,FALSE
38,26,29,FALSE,FALSE,FALSE
39,26,anc3,TRUE,TRUE,TRUE
40,27,29,FALSE,FALSE,FALSE
41,27,anc3,TRUE,TRUE,TRUE
42,anc3,29,FALSE,FALSE,FALSE
43,11,8,FALSE,TRUE,FALSE
44,8,15,TRUE,TRUE,TRUE
45,20,8,TRUE,TRUE,TRUE
46,21,8,FALSE,FALSE,FALSE
47,24,8,FALSE,TRUE,FALSE
48,35,8,FALSE,FALSE,FALSE
49,anc4,8,FALSE,FALSE,FALSE
50,11,15,FALSE,FALSE,FALSE
51,20,11,FALSE,FALSE,FALSE
52,21,11,FALSE,FALSE,FALSE
53,24,11,FALSE,TRUE,FALSE
54,35,11,FALSE,FALSE,FALSE
55,11,anc4,FALSE,TRUE,FALSE
56,20,15,FALSE,FALSE,FALSE
57,21,15,FALSE,FALSE,FALSE
58,24,15,TRUE,TRUE,TRUE
59,35,15,FALSE,TRUE,FALSE
60,anc4,15,FALSE,FALSE,FALSE
61,21,20,FALSE,FALSE,FALSE
62,24,20,TRUE,TRUE,TRUE
63,35,20,FALSE,FALSE,FALSE
64,20,anc4,TRUE,TRUE,TRUE
65,21,24,FALSE,FALSE,FALSE
66,21,35,FALSE,TRUE,FALSE
67,21,anc4,FALSE,FALSE,FALSE
68,35,24,FALSE,FALSE,FALSE
69,24,anc4,TRUE,TRUE,TRUE
70,35,anc4,FALSE,FALSE,FALSE
71,16,5,FALSE,TRUE,FALSE
72,5,18,FALSE,FALSE,FALSE
73,5,23,FALSE,FALSE,FALSE
74,5,28,FALSE,FALSE,FALSE
75,5,30,FALSE,FALSE,FALSE
76,5,anc5,FALSE,TRUE,FALSE
77,16,18,FALSE,FALSE,FALSE
78,16,23,FALSE,FALSE,FALSE
79,16,28,FALSE,FALSE,FALSE
80,16,30,TRUE,TRUE,TRUE
81,16,anc5,FALSE,FALSE,FALSE
82,23,18,FALSE,TRUE,FALSE
83,28,18,FALSE,TRUE,FALSE
84,30,18,TRUE,TRUE,TRUE
85,anc5,18,FALSE,FALSE,FALSE
86,23,28,FALSE,TRUE,FALSE
87,23,30,TRUE,TRUE,TRUE
88,23,anc5,FALSE,FALSE,FALSE
89,30,28,TRUE,TRUE,TRUE
90,anc5,28,FALSE,FALSE,FALSE
91,30,anc5,FALSE,FALSE,FALSE
92,3,6,FALSE,TRUE,FALSE
93,9,3,FALSE,FALSE,FALSE
94,22,3,FALSE,FALSE,FALSE
95,31,3,FALSE,FALSE,FALSE
96,3,32,TRUE,TRUE,TRUE
97,33,3,FALSE,FALSE,FALSE
98,3,cc1690,FALSE,FALSE,FALSE
99,9,6,FALSE,FALSE,FALSE
100,22,6,FALSE,FALSE,FALSE
101,31,6,FALSE,FALSE,FALSE
102,6,32,TRUE,TRUE,TRUE
103,33,6,TRUE,TRUE,TRUE
104,cc1690,6,FALSE,FALSE,FALSE
105,9,22,TRUE,TRUE,TRUE
106,31,9,FALSE,TRUE,FALSE
107,9,32,FALSE,FALSE,FALSE
108,9,33,FALSE,FALSE,FALSE
109,9,cc1690,TRUE,TRUE,TRUE
110,31,22,TRUE,TRUE,TRUE
111,22,32,FALSE,FALSE,FALSE
112,22,33,FALSE,FALSE,FALSE
113,22,cc1690,FALSE,FALSE,FALSE
114,31,32,FALSE,TRUE,FALSE
115,31,33,FALSE,TRUE,FALSE
116,31,cc1690,TRUE,TRUE,TRUE
117,33,32,FALSE,FALSE,FALSE
118,cc1690,32,FALSE,FALSE,FALSE
119,33,cc1690,FALSE,FALSE,FALSE
