population,ks,umax
1,3.3953273949375067,1.390875295876336
10,4.760930084018141,1.326999857698445
11,4.774476145502421,1.5866014662028673
14,6.9145080861706765,1.4701910258919737
15,11.798822515152395,1.5214581804330687
16,3.438807063393082,1.3504963903466403
17,3.9111858528343246,1.5665862468052014
18,7.122601962715135,1.4616393233184626
19,2.7181781091844615,1.2943068030914429
2,8.160521870561357,1.5697561418746466
20,8.49443396481712,1.400231596013596
21,3.4393935611198962,1.5854290664444841
22,8.912063676528316,1.6211967501810638
23,5.081765572551325,1.5298602978009288
24,6.8116669321751075,1.723728791032561
25,5.415224424708344,1.4968936846859766
26,6.00589879807684,1.5307095605657497
27,5.047674851870972,1.486404686460223
28,5.315023103384909,1.44324211651266
29,2.43543863382645,1.4275691174191194
3,1.8118065771382321,1.3408468918274783
30,3.198863353954287,1.3576919334081994
31,3.232390845883513,1.2475668276349572
32,7.632668867423554,1.494980533747188
33,2.8556575034786564,1.2869267646132683
35,2.749550294943035,1.3970026362694794
4,15.461885962311468,1.7147814558604424
5,5.433992092313445,1.315671169861466
6,3.8059139525329746,1.3591904804759045
7,4.628449106027357,1.3611083156721695
8,2.885851861798201,1.445233272949466
9,5.20962960075274,1.452253817502135
anc2,4.547081305154027,1.4160293713527086
anc3,4.952058373157446,1.3408180160781984
anc4,5.872689002927558,1.3998784936986095
anc5,5.937549371007754,1.4367343592529371
cc1690,3.8600729906165396,1.3659531735886103
