method,estimate,well_plate
AIC,0.939989432733304,B02_1
AIC,1.5745704204604594,B02_10
AIC,1.1518879030922125,B02_11
AIC,2.2222775322817756,B02_12
AIC,1.6684200790238612,B02_13
AIC,1.7234256985508172,B02_14
AIC,1.9634915530340444,B02_15
AIC,3.1556616328415146,B02_16
AIC,1.4494566320543099,B02_17
AIC,1.9640784239970517,B02_18
AIC,1.6781071262347849,B02_19
AIC,0.7831087124645102,B02_2
AIC,1.8252098082257655,B02_20
AIC,2.5643271750075005,B02_21
AIC,2.465534798360003,B02_22
AIC,2.2936892213784326,B02_23
AIC,2.147276024675171,B02_24
AIC,2.2790144947911,B02_25
AIC,1.6004007380800962,B02_26
AIC,2.5557484858447737,B02_27
AIC,1.591775011608928,B02_28
AIC,2.8267979262201917,B02_29
AIC,0.2742048813290735,B02_3
AIC,2.280255276275776,B02_30
AIC,1.4563214610288095,B02_4
AIC,0.925504720113842,B02_5
AIC,1.0332661485297152,B02_6
AIC,1.2880423079098762,B02_7
AIC,0.8418467742876954,B02_8
AIC,1.2108433232103881,B02_9
AIC,1.2892173015672066,B03_1
AIC,1.60861535590558,B03_10
AIC,1.430560635975881,B03_11
AIC,1.512170317916944,B03_12
AIC,1.6726396984213232,B03_13
AIC,1.6497202324127846,B03_14
AIC,1.5383440625468279,B03_15
AIC,1.4917734850384319,B03_16
AIC,1.7864538373391516,B03_17
AIC,1.8273940183267918,B03_18
AIC,1.8705749719710119,B03_19
AIC,0.6109314444572231,B03_2
AIC,2.6881796864827625,B03_20
AIC,2.8970154888115855,B03_21
AIC,1.8033638521138522,B03_22
AIC,1.8102908778316353,B03_23
AIC,1.8842813211967366,B03_24
AIC,1.4229588131407727,B03_25
AIC,3.1232849094641675,B03_26
AIC,1.4294148977439212,B03_27
AIC,1.5135723787818678,B03_28
AIC,1.6742234290216744,B03_29
AIC,1.1427284565568234,B03_3
AIC,1.558909636780466,B03_30
AIC,1.2544912039419909,B03_4
AIC,1.2326701181221351,B03_5
AIC,1.3086248503119609,B03_6
AIC,2.0231107947619282,B03_7
AIC,0.8012964245279415,B03_8
AIC,1.059044281908032,B03_9
AIC,1.1441929075536952,B04_1
AIC,1.2568189386934627,B04_10
AIC,1.398307622379908,B04_11
AIC,1.1454618379314965,B04_12
AIC,1.9872667469278493,B04_13
AIC,1.3010575911128055,B04_14
AIC,1.4178619857180161,B04_15
AIC,1.689134181653079,B04_16
AIC,2.098503079500881,B04_17
AIC,1.6378476478759563,B04_18
AIC,2.2736421786397227,B04_19
AIC,1.0819643465657622,B04_2
AIC,1.9017438924375156,B04_20
AIC,2.5135045113259484,B04_21
AIC,1.9880554723624586,B04_22
AIC,1.5715359197190293,B04_23
AIC,2.507814214402324,B04_24
AIC,2.6747180970844044,B04_25
AIC,3.7131813524316577,B04_26
AIC,1.1896942916788218,B04_27
AIC,1.489738741384979,B04_28
AIC,3.398162260451107,B04_29
AIC,0.6619363942493216,B04_3
AIC,1.9023891267042745,B04_30
AIC,1.2284012863063811,B04_4
AIC,0.6605185306392356,B04_5
AIC,1.138304119251538,B04_6
AIC,1.2199928368450987,B04_7
AIC,1.3529109137088349,B04_8
AIC,1.1544344448715695,B04_9
AIC,1.3968448813465617,B05_1
AIC,1.618524130236507,B05_10
AIC,1.3510128136820583,B05_11
AIC,2.0061506254463524,B05_12
AIC,1.4994542249620588,B05_13
AIC,1.999351871191062,B05_14
AIC,1.5458780559479763,B05_15
AIC,1.7236884674630986,B05_16
AIC,1.609141691531061,B05_17
AIC,1.5128663157123363,B05_18
AIC,1.7555103407793293,B05_19
AIC,0.5314648209476935,B05_2
AIC,2.028704894206603,B05_20
AIC,2.1208392890198846,B05_21
AIC,1.3771319815003622,B05_22
AIC,1.9548098986929954,B05_23
AIC,1.5705747822097573,B05_24
AIC,1.4959074039673061,B05_25
AIC,3.5008115992732862,B05_26
AIC,1.226305432557989,B05_27
AIC,1.55788480940747,B05_28
AIC,1.7542098417279042,B05_29
AIC,0.9775639188016259,B05_3
AIC,1.4301349324953616,B05_30
AIC,1.1771562052016549,B05_4
AIC,1.0328309664575892,B05_5
AIC,1.4746260645026446,B05_6
AIC,1.7654737939230596,B05_7
AIC,1.2000419964303024,B05_8
AIC,1.4928817780078474,B05_9
AIC,1.3804037609949282,B06_1
