well_plate,mu,n_obs,slope_r2,best.model_r2,best.model,best.se,IC_method,population,nitrate_concentration
B03_23,1.8102908778316353,6,0.9726762917142945,0.9825884357691255,gr.sat,0.1408606139132861,AIC,4,400
B03_24,1.8842813211967366,5,0.9954743623904861,0.995599616841349,gr.lagsat,0.15029501297372724,AIC,3,400
B03_25,1.4229588131407727,8,0.9491982479623821,0.9491982479623821,gr,0.13439329002815942,AIC,19,600
B03_26,3.1232849094641675,3,0.9994856788053001,0.9989208614824346,gr.lagsat,0.14053189542370997,AIC,4,600
B03_27,1.4294148977439212,6,0.9158971672156404,0.9406157894300122,gr.sat,0.2130724244577316,AIC,3,600
B03_28,1.5135723787818678,7,0.9874081440296437,0.9936723194425638,gr.lagsat,0.07643894681108622,AIC,19,1000
B03_29,1.6742234290216744,5,0.9538003174189574,0.9673353791889139,gr.sat,0.19862565329877094,AIC,4,1000
B03_3,1.1427284565568234,4,0.9312450496220123,0.9694140041847148,gr.lagsat,0.25008276489369474,AIC,3,5
B03_30,1.558909636780466,7,0.982177271081925,0.9854822909040922,gr.sat,0.11591387761028507,AIC,3,1000
B03_4,1.2544912039419909,4,0.9956658983711044,0.9891880594176355,gr.lagsat,0.1096233844302981,AIC,19,10
B03_5,1.2326701181221351,3,0.9072467685444866,0.9664685381903042,gr.lagsat,0.2941305956256795,AIC,4,10
B03_6,1.3086248503119609,4,0.9939821852954576,0.9677997314199975,gr.lagsat,0.21055963191936083,AIC,3,10
B03_7,2.0231107947619282,3,0.9783111786889086,0.9794133146979508,gr.lagsat,1.5775289797609517,AIC,19,20
B03_8,0.8012964245279415,8,0.9190555446235662,0.9190555446235662,gr,0.09708234378041448,AIC,4,20
B03_9,1.059044281908032,6,0.9238794425712679,0.9436531734256252,gr.sat,0.1466628549278559,AIC,3,20
B04_1,1.1441929075536952,3,0.9631859078381678,0.9621607167721783,gr.lagsat,0.2488131643756765,AIC,14,5
B04_10,1.2568189386934627,6,0.9930206927165841,0.9962262063644481,gr.lagsat,0.05268290282403299,AIC,14,40
B04_11,1.398307622379908,5,0.9946830403232364,0.995541402245996,gr.lagsat,0.07340402492006032,AIC,31,40
B04_12,1.1454618379314965,5,0.9497330642072561,0.978693130328874,gr.lagsat,0.13184216866238735,AIC,cc1690,40
B04_13,1.9872667469278493,4,0.9889188189305068,0.9833121853924858,gr.lagsat,0.2435008231324742,AIC,14,60
B04_14,1.3010575911128055,7,0.9216872724936311,0.9299487532957538,gr.sat,0.21249015561115117,AIC,31,60
B04_15,1.4178619857180161,7,0.9937587029092773,0.993821867852346,gr.sat,0.06622167589715033,AIC,cc1690,60
B04_16,1.689134181653079,5,0.9182017914279359,0.9569241208443301,gr.sat,0.23407389669826187,AIC,14,80
B04_17,2.098503079500881,4,0.9537733163501195,0.977887698561633,gr.lagsat,0.3883932108439368,AIC,31,80
B04_18,1.6378476478759563,5,0.9624265725354101,0.9731117332426625,gr.sat,0.15649314007339166,AIC,cc1690,80
B04_19,2.2736421786397227,4,0.9794244564496305,0.9871763224908843,gr.lagsat,0.2210938738452282,AIC,14,100
B04_2,1.0819643465657622,4,0.899405147119468,0.9381032066555077,gr.lagsat,0.2783017064363427,AIC,31,5
B04_20,1.9017438924375156,5,0.8627375173182061,0.9255866690698492,gr.sat,0.3424404471140429,AIC,31,100
B04_21,2.5135045113259484,4,0.99322365616805,0.9966194423648793,gr.lagsat,0.11639186185591015,AIC,cc1690,100
B04_22,1.9880554723624586,5,0.9981750550685264,0.9977317181431914,gr.lagsat,0.07505618970869177,AIC,14,400
B04_23,1.5715359197190293,6,0.9078096176079127,0.943695543219034,gr.sat,0.227155404212891,AIC,31,400
B04_24,2.507814214402324,3,0.9329847720384804,0.9847668687206479,gr.lagsat,0.43248368706410956,AIC,cc1690,400
B04_25,2.6747180970844044,3,0.9869796067075229,0.9746062124275742,gr.lagsat,0.5793731276640771,AIC,14,600
B04_26,3.7131813524316577,3,0.9877848727858259,0.9909781384011094,gr.lagsat,0.42965812294219147,AIC,31,600
B04_27,1.1896942916788218,8,0.9630409383326691,0.9630409383326691,gr,0.09514760179884854,AIC,cc1690,600
B04_28,1.489738741384979,7,0.9846211515861194,0.9919719242892122,gr.lagsat,0.0832630713878164,AIC,14,1000
B04_29,3.398162260451107,3,0.9957517860877957,0.9719851211114632,gr.lagsat,0.7088128597052565,AIC,31,1000
B04_3,0.6619363942493216,6,0.9550659043730024,0.9661006230563668,gr.sat,0.09579149502206356,AIC,cc1690,5
B04_30,1.9023891267042745,4,0.999704638793585,0.9919743202825797,gr.lagsat,0.17669608331551395,AIC,cc1690,1000
B04_4,1.2284012863063811,4,0.9694624240278714,0.9820138092867076,gr.lagsat,0.23540109877713877,AIC,14,10
B04_5,0.6605185306392356,8,0.9282938820008055,0.9282938820008055,gr,0.07494535870089035,AIC,31,10
B04_6,1.138304119251538,4,0.9842694465790041,0.9920492478329184,gr.lagsat,0.0798361808410342,AIC,cc1690,10
B04_7,1.2199928368450987,5,0.9713973290078713,0.987664962561001,gr.lagsat,0.1068576477349947,AIC,14,20
B04_8,1.3529109137088349,3,0.9995378384627569,0.972818988101094,gr.lagsat,0.287823692881392,AIC,31,20
B04_9,1.1544344448715695,5,0.9523545138260778,0.9672088825516159,gr.sat,0.14588353121891431,AIC,cc1690,20
B05_1,1.3968448813465617,4,0.9774491445006442,0.9922561510293598,gr.lagsat,0.11283641218713142,AIC,8,5
B05_10,1.618524130236507,5,0.9771447701599447,0.9906994336054585,gr.lagsat,0.12767690210853208,AIC,8,40
B05_11,1.3510128136820583,5,0.9313953131800948,0.969845977095135,gr.lagsat,0.18412927476954563,AIC,22,40
B05_12,2.0061506254463524,3,0.848361930332386,0.97376840031418,gr.lagsat,0.43298807250046384,AIC,16,40
B05_13,1.4994542249620588,7,0.9765853915457708,0.9817585393505154,gr.lag,0.10383327205306057,AIC,8,60
B05_14,1.999351871191062,4,0.9875001732570902,0.9959142163491892,gr.lagsat,0.17039739299684917,AIC,22,60
B05_15,1.5458780559479763,5,0.9737980290636954,0.9862716966464834,gr.lagsat,0.14310965003206086,AIC,16,60
B05_16,1.7236884674630986,6,0.98512529263951365,0.9910240167506192,gr.lagsat,0.1350317792055347,AIC,8,80
B05_17,1.609141691531061,5,0.9595971269044703,0.9727163456604161,gr.sat,0.15597173861314795,AIC,22,80
B05_18,1.5128663157123363,5,0.9605295411481514,0.973628155843474,gr.sat,0.14649151809054517,AIC,16,80
B05_19,1.7555103407793293,5,0.994935751738706,0.9976227126012596,gr.lagsat,0.06832710147250605,AIC,8,100
B05_2,0.5314648209476935,8,0.834091961888607,0.834091961888607,gr,0.09676663599039663,AIC,22,5
B05_20,2.028704894206603,4,0.9785033095361864,0.9921714331606317,gr.lagsat,0.1602476924322713,AIC,22,100
B05_21,2.1208392890198846,4,0.9749323382247445,0.9884700240497822,gr.lagsat,0.2431451600461165,AIC,16,100
B05_22,1.3771319815003622,6,0.9895621636945493,0.9950137524754887,gr.lagsat,0.0707178909823045,AIC,8,400
B05_23,1.9548098986929954,4,0.9560458376050511,0.986493785465129,gr.lagsat,0.24367184510387416,AIC,22,400
B05_24,1.5705747822097573,5,0.8953432116901958,0.9423909582961418,gr.sat,0.2846840708447711,AIC,16,400
B05_25,1.4959074039673061,7,0.9927702408338949,0.9946512916736112,gr.sat,0.057089578254753554,AIC,8,600
B05_26,3.5008115992732862,3,0.9758653723484365,0.9957908913967918,gr.lagsat,0.29407708052407605,AIC,22,600
B05_27,1.226305432557989,7,0.9610952132507365,0.9725486085442551,gr.sat,0.11033974187219206,AIC,16,600
B05_28,1.55788480940747,8,0.9903539404091187,0.9905767951274256,gr.sat,0.08618154391319179,AIC,8,1000
B05_29,1.7542098417279042,4,0.8832648329861916,0.9428200346935098,gr.sat,0.32849754632238987,AIC,22,1000
B05_3,0.9775639188016259,4,0.8764705589233187,0.9572781964026709,gr.lagsat,0.18826980453374417,AIC,16,5
B05_30,1.4301349324953616,7,0.9872498210103737,0.9904189149052586,gr.sat,0.07268362983169338,AIC,16,1000
B05_4,1.1771562052016549,6,0.9916805678994843,0.995503329822814,gr.lagsat,0.05390946669920424,AIC,8,10
B05_5,1.0328309664575892,4,0.9467812270049322,0.9767475504721727,gr.lagsat,0.14790415556768846,AIC,22,10
B05_6,1.4746260645026446,3,0.9992912216746863,0.9942498262164852,gr.lagsat,0.11183255671675629,AIC,16,10
B05_7,1.7654737939230596,5,0.9944026870183078,0.997536237410541,gr.lagsat,0.06622774176234394,AIC,8,20
B05_8,1.2000419964303024,4,0.9788708006553215,0.984475486168943,gr.lagsat,0.13393175161800216,AIC,22,20
B05_9,1.4928817780078474,4,0.9710827405313908,0.9879986158780975,gr.lagsat,0.1738288414037612,AIC,16,20
B06_1,1.3804037609949282,3,0.9735476617818393,0.9743200876936737,gr.lagsat,1.1570233422655924,AIC,23,5
B06_10,2.069489260890597,3,0.9992894664010511,0.9791683507922306,gr.lagsat,0.40203702099912153,AIC,23,40
B06_11,1.3005351440545376,7,0.9776099350234778,0.9815684452784831,gr.sat,0.10463141651962633,AIC,anc2,40
B06_12,1.2284255215829445,6,0.9749384177164161,0.9858111768507244,gr.lagsat,0.09847692455515539,AIC,20,40
B06_13,1.4537096135769128,6,0.9707095964375521,0.9780470218787731,gr.sat,0.12738564864833352,AIC,23,60
B06_14,1.4202511315578783,5,0.9977734702816525,0.9984743133610997,gr.lagsat,0.08466367769842155,AIC,anc2,60
B06_15,1.5622388255606865,5,0.9778530364180713,0.9872566593979238,gr.lagsat,0.18182007766011815,AIC,20,60
B06_16,2.152148336047686,4,0.9153855964057639,0.9660168858284617,gr.lagsat,0.32774649603508954,AIC,23,80
B06_17,2.359893948061906,3,0.9572789630755769,0.9891652540135735,gr.lagsat,0.27100574653849685,AIC,anc2,80
B06_18,1.508358413155915,5,0.9702810016373299,0.9809692768114417,gr.sat,0.12030420918754763,AIC,20,80
B06_19,2.289513013342691,4,0.98833429195098,0.9929943729047679,gr.lagsat,0.1880436275032923,AIC,23,100
B06_2,0.5320580553590702,7,0.9385245292368247,0.9532926443529521,gr.sat,0.06089787580595262,AIC,anc2,5
B06_20,1.9954302234033872,4,0.969905349122685,0.9900305440601319,gr.lagsat,0.17704925680885128,AIC,anc2,100
B06_21,1.9024225176351977,5,0.9300778003986635,0.9556208832484339,gr.sat,0.23556056982172036,AIC,20,100
B06_22,2.885857474208386,4,0.9825234950036782,0.9923330235518159,gr.lagsat,0.3463477707991509,AIC,23,400
B06_23,1.4111053348704514,7,0.9668191621428307,0.9753729902855331,gr.sat,0.11690833761695145,AIC,anc2,400
B06_24,1.4120396295717534,6,0.8960365566115808,0.9313012330482285,gr.sat,0.22356406922026195,AIC,20,400
B06_25,1.354408231631674,7,0.9347321943968515,0.9524531633539833,gr.sat,0.16005532819354096,AIC,23,600
B06_26,2.0699353940916017,5,0.8825056285635385,0.9568257906281323,gr.sat,0.33837736973547355,AIC,anc2,600
B06_27,2.289604469825445,4,0.9456350945655664,0.9830973063232744,gr.lagsat,0.3185708549529423,AIC,20,600
B06_28,1.3643073421782352,8,0.9854091329331363,0.9893651555201751,gr.sat,0.06777483354887483,AIC,23,1000
B06_29,2.873930976346428,3,0.9780934691899406,0.994496318149387,gr.lagsat,0.32133113930353524,AIC,anc2,1000
B06_3,1.085304579072221,3,0.9903185278766206,0.9941374827729398,gr.lagsat,0.10693723496965905,AIC,20,5
B06_30,1.438845051422346,6,0.9697597916562791,0.9727554117974561,gr.sat,0.14341744844102366,AIC,20,1000
B06_4,1.1772879265510274,4,0.9494565738948035,0.9744322627569014,gr.lagsat,0.16660279279119938,AIC,23,10
B06_5,1.0709577078731352,5,0.9991606408090382,0.996509595098878,gr.sat,0.039744475150083204,AIC,anc2,10
B06_6,1.6848036706527967,3,0.9996022554002989,0.9948439566365077,gr.lagsat,0.13629102080863056,AIC,20,10
B06_7,1.490526462520651,4,0.9921726162250587,0.9931119592619274,gr.lagsat,0.11277587274945049,AIC,23,20
B06_8,0.6544501667175443,8,0.9439898504561893,0.9439898504561893,gr,0.06508046707266738,AIC,anc2,20
B06_9,1.4065652046624195,4,0.9921844608892207,0.9853904725654047,gr.lagsat,0.1394859030065402,AIC,20,20
B07_1,1.1807111052264674,4,0.9269614226823895,0.9694263668733977,gr.lagsat,0.21313201334540896,AIC,11,5
B07_10,1.970543955708927,3,0.9981196426479441,0.9944060528863459,gr.lagsat,0.20049970150952678,AIC,11,40
B07_11,1.4435624656433521,4,0.976427842803177,0.9933905860008688,gr.lagsat,0.12498727520329309,AIC,27,40
B07_12,1.4260890742419992,5,0.9925457492451989,0.9965238004533916,gr.lagsat,0.06419885280077105,AIC,anc3,40
B07_13,1.4028333440213412,7,0.9817691652859102,0.9840891603868941,gr.sat,0.10767229402002867,AIC,11,60
B07_14,1.691447527722545,5,0.9656840376379342,0.9798668502703708,gr.lag,0.14259493168138684,AIC,27,60
B07_15,1.6339424343846198,5,0.9797243661928483,0.9904231707011951,gr.lagsat,0.12333513179398788,AIC,anc3,60
B07_16,1.8015201358323527,5,0.9233442237088155,0.9540065714259253,gr.sat,0.2328161270581005,AIC,11,80
B07_17,1.958881634384084,5,0.9605216437179506,0.9690120703739917,gr.sat,0.24678429508090965,AIC,27,80
B07_18,1.7768762014337314,4,0.9996981742745623,0.9984760855990207,gr.lagsat,0.07761224180870425,AIC,anc3,80
B07_19,1.6749486181303288,5,0.9453626429850487,0.9727419656084563,gr.sat,0.1924713811895288,AIC,anc5,100
B07_2,1.2278614120810274,4,0.9742075089917518,0.9623908737337782,gr.lagsat,0.2337591212818767,AIC,27,5
B07_20,1.969213501185208,4,0.9129819757820063,0.9714297067475011,gr.lagsat,0.3106251218434454,AIC,27,100
B07_21,3.2053520319460924,3,0.9758836372427127,0.9894649577933763,gr.lagsat,0.350565979347863,AIC,anc3,100
B07_22,2.7064991322579863,4,0.9831770139399985,0.9868522768049746,gr.lagsat,0.4639066036940138,AIC,11,400
B07_23,1.762539886272338,7,0.9586131858697975,0.9659415258299265,gr.sat,0.20095785783248393,AIC,27,400
B07_24,1.3703961119600947,7,0.965317280318966,0.9705792969784613,gr.sat,0.14342250633553555,AIC,anc3,400
B07_25,1.511299497575762,5,0.9982167742610881,0.9945547911664374,gr.lagsat,0.08758703203489612,AIC,11,600
B07_26,1.459503918107022,7,0.9337964735435658,0.9502768467954745,gr.sat,0.17379397178713166,AIC,27,600
B07_27,2.158948083135931,4,0.9748596004812432,0.9924139379210772,gr.lagsat,0.21786380796374322,AIC,anc3,600
B07_28,1.8866206154462368,5,0.9920469886834977,0.9936798363837063,gr.lagsat,0.12992637245553024,AIC,11,1000
B07_29,2.860037185597196,3,0.9831279212723634,0.9708667589207289,gr.lagsat,0.736968706928801,AIC,27,1000
B07_3,1.2431936117145292,3,0.9929386677475144,0.9901286496102353,gr.lagsat,0.14548860120586765,AIC,anc3,5
B07_30,1.5425830114171541,6,0.9619446081582129,0.9770626126146432,gr.lagsat,0.1961831076531423,AIC,anc3,1000
B07_4,1.4949960077716957,4,0.9741124672644343,0.9884384939652399,gr.lagsat,0.13155247111342855,AIC,11,10
B07_5,0.9719209254954868,6,0.9571665475712507,0.9779684585836967,gr.lagsat,0.10280132567137942,AIC,27,10
B07_6,1.3356996215131067,4,0.9941233732375551,0.9950912270773142,gr.lagsat,0.11457235459908424,AIC,anc3,10
B07_7,1.4410383200792092,4,0.9422459122364308,0.9797633098144136,gr.lagsat,0.20039290173464638,AIC,11,20
B07_8,1.6401500875903072,4,0.9745685191611009,0.9888538255688036,gr.lagsat,0.1614171869661007,AIC,27,20
B07_9,1.110449755239725,5,0.9786612390232036,0.9841431342272685,gr.sat,0.08611513495217714,AIC,anc3,20
B08_1,1.4809512103922013,3,0.99508495678164,0.9963724678623126,gr.lagsat,0.08902186451825404,AIC,anc5,5
B08_10,1.5140667681170015,4,0.9995977599998978,0.9888024472242251,gr.lagsat,0.15277899172031056,AIC,anc5,40
B08_11,1.9045592484651512,4,0.9612355741002683,0.9836685439105206,gr.lagsat,0.23378427846746866,AIC,17,40
B08_12,2.0124476844804584,4,0.9899988534007362,0.9933403209165935,gr.lagsat,0.15735956127207668,AIC,7,40
B08_13,1.5837837484664623,5,0.965796602738052,0.9867213511452193,gr.lagsat,0.14902450648740448,AIC,anc5,60
B08_14,1.5295383702201732,6,0.9835185100384781,0.9912446288547603,gr.lagsat,0.0990004976113767,AIC,17,60
B08_15,1.5558948195732956,6,0.9850387791029662,0.9852302777246967,gr.lagsat,0.16055861011601427,AIC,7,60
B08_16,2.0318122022825134,4,0.984935393540061,0.9947476473327634,gr.lagsat,0.12858255778930708,AIC,anc5,80
B08_17,2.0616484688744254,4,0.987162089146492,0.9896420186341041,gr.lagsat,0.19856953889739729,AIC,17,80
B08_18,1.5727714643861528,5,0.9635861984521955,0.9772694945992311,gr.sat,0.1379216555263843,AIC,7,80
B08_19,1.7035819525178084,5,0.9521788166444163,0.9720859263275605,gr.sat,0.17154274302245776,AIC,11,100
B08_2,0.9486343274249656,5,0.9835926939951547,0.9875427866604948,gr.sat,0.06699709339154244,AIC,17,5
B08_20,1.8409082837165507,5,0.9952354927622623,0.9970492917040152,gr.lagsat,0.1178961479451803,AIC,17,100
B08_21,1.9945834843134609,4,0.9655200147710085,0.9871387880614548,gr.lagsat,0.20654195359939817,AIC,7,100
B08_22,1.9796591660133664,4,0.9878507865198262,0.9962877388058005,gr.lagsat,0.14538422828177336,AIC,anc5,400
B08_23,1.7133925883434526,6,0.9939114340234173,0.9969365853196135,gr.lagsat,0.06705181285416774,AIC,17,400
B08_24,1.1646602308468172,8,0.9458173275836537,0.9458173275836537,gr,0.11380207967105162,AIC,7,400
B08_25,1.381326914646902,7,0.9907251050871124,0.9934735247783418,gr.sat,0.05977078313312676,AIC,anc5,600
B08_26,1.7097354158758757,6,0.9830016113967225,0.991304428724933,gr.lagsat,0.11241536957497875,AIC,17,600
B08_27,2.1503046368051613,4,0.9649947391744117,0.9873060419054169,gr.lagsat,0.2578040540863795,AIC,7,600
B08_28,1.5802824385595227,8,0.970613381712201,0.9745300057319678,gr.sat,0.14267171383288607,AIC,anc5,1000
B08_29,2.257362379183464,5,0.9698030640476089,0.9796290041586491,gr.lagsat,0.33336222723679865,AIC,17,1000
B08_3,1.0489273716325669,5,0.9679680165643777,0.9371907991870474,gr.lagsat,0.2157064581681443,AIC,7,5
B08_30,1.4260934211160319,7,0.9669400681204272,0.9696765037245386,gr.sat,0.1555663758084554,AIC,7,1000
B08_4,1.6278637476342988,4,0.992983394151006,0.9931817350751347,gr.lagsat,0.1643599467084214,AIC,anc5,10
B08_5,1.1304640810708106,5,0.976560322599488,0.9846867782145581,gr.sat,0.09366351606647029,AIC,17,10
B08_6,1.473111107810367,3,0.9683208035425368,0.9864406022531386,gr.lagsat,0.5242827843325369,AIC,7,10
B08_7,1.1481506654400802,6,0.9767812519339019,0.9855640547403215,gr.lagsat,0.11032487482953238,AIC,anc5,20
B08_8,1.533861835810013,5,0.9916255815465187,0.994271787453957,gr.sat,0.08304540671271986,AIC,17,20
B08_9,1.3441136170423407,6,0.9764734370480419,0.9830203394223354,gr.lagsat,0.16368621449572177,AIC,7,20
B09_1,1.8649590807813436,3,0.9997659448937221,0.9954774284033556,gr.lagsat,0.11394892904322253,AIC,1,5
B09_10,1.7872267326846514,5,0.9958268426259739,0.9964505062149823,gr.lagsat,0.15579694462125454,AIC,1,40
B09_11,1.3045893305384306,5,0.9760343176816831,0.9870260078866837,gr.lagsat,0.11690438438528611,AIC,26,40
B09_12,1.3458492795964367,6,0.9478974873726431,0.9643878060404373,gr.lag,0.14757602666479738,AIC,5,40
B09_13,1.5656971891017564,5,0.9872333901273047,0.9942837018380897,gr.lagsat,0.09630360648258098,AIC,1,60
B09_14,1.5153868842018332,5,0.9952195361594757,0.9969761453093864,gr.lagsat,0.10006757278518144,AIC,26,60
B09_15,1.2944597384441632,6,0.9782845429835533,0.9850857644521209,gr.lag,0.09265132724220557,AIC,5,60
B09_16,2.623181659145898,3,0.9899230048078339,0.9974915769682213,gr.lagsat,0.14942112164599738,AIC,1,80
B09_17,1.8521789571061966,5,0.9623485290931058,0.9715165349685831,gr.sat,0.21836116672637826,AIC,26,80
B09_18,1.6733523293066894,4,0.978726770670103,0.9859870767684955,gr.lagsat,0.17381518279678207,AIC,5,80
B09_19,1.9861741589969069,4,0.9960194482752052,0.9953469115240234,gr.lagsat,0.14674722585527075,AIC,1,100
B09_2,1.4825715965038662,3,0.9999408482214246,0.9963446698430252,gr.lagsat,0.09090979523301808,AIC,26,5
B09_20,2.1649147565811586,4,0.9936100698279522,0.9937685396909621,gr.lagsat,0.1458868521495277,AIC,26,100
B09_21,1.5348658366088666,6,0.918540541454134,0.9495747136693649,gr.sat,0.2045437312673563,AIC,5,100
B09_22,3.078758806578869,3,0.9394299844555365,0.9868409688224492,gr.lagsat,0.48819313755284494,AIC,1,400
B09_23,1.9511787166323349,5,0.9876862663627218,0.9901879607460153,gr.sat,0.1271287386018408,AIC,26,400
B09_24,1.1515814403936018,8,0.9763441739735319,0.9763441739735319,gr,0.07317902535025862,AIC,30,400
B09_25,1.4789137015337965,6,0.9890167667594999,0.9944639734806276,gr.lagsat,0.07792487555312239,AIC,1,600
B09_26,1.5450261596876647,5,0.9376432773704596,0.9758558221231779,gr.sat,0.19097626584964794,AIC,26,600
B09_27,2.4378047256456163,4,0.9758491128402355,0.9885332001956079,gr.lagsat,0.25264245415856007,AIC,5,600
B09_28,1.3840590413917484,9,0.9727665865074947,0.9727665865074947,gr,0.08752907007159243,AIC,1,1000
B09_29,1.6657914000467733,4,0.9731502367877254,0.9773692563761625,gr.sat,0.20115805817801358,AIC,26,1000
B09_3,1.0246112190268657,5,0.9964867587004258,0.9288608710014625,gr.lagsat,0.4263791361167949,AIC,5,5
B09_30,1.3415525182270847,7,0.9564420220065741,0.9690983782419944,gr.sat,0.12803455944267492,AIC,5,1000
B09_4,1.1343492306158438,4,0.9873230369418183,0.9890198049803169,gr.lagsat,0.10904498833033512,AIC,1,10
B09_5,1.2369295198051704,4,0.9853002942521988,0.9816226818187426,gr.lagsat,0.14590494715403865,AIC,26,10
B09_6,1.6834470532533024,3,0.9850967588422299,0.9473327957005846,gr.lagsat,0.48433507462777364,AIC,5,10
B09_7,1.2631521599341702,5,0.9944078914660686,0.9963642895773976,gr.lagsat,0.05657043782862635,AIC,1,20
