well_plate,mu,n_obs,slope_r2,best.model_r2,best.model,best.se,IC_method,population,nitrate_concentration
B02_1,0.939989432733304,5,0.8903116666461984,0.9303093557945264,gr.sat,0.15104007932170369,AIC,25,5
B02_10,1.5745704204604594,4,0.9796998800062955,0.9933498506597269,gr.lagsat,0.13691219074446567,AIC,25,40
B02_11,1.1518879030922125,8,0.9757857506993161,0.9757857506993161,gr,0.07407861619184149,AIC,28,40
B02_12,2.2222775322817756,3,0.9851135082834369,0.9816707640627153,gr.lagsat,0.32821926146351127,AIC,15,40
B02_13,1.6684200790238612,5,0.9946126621432492,0.9975708661351967,gr.lagsat,0.09567648278464491,AIC,25,60
B02_14,1.7234256985508172,5,0.9628102882955922,0.9821195758840838,gr.lagsat,0.22632789461955782,AIC,28,60
B02_15,1.9634915530340444,4,0.9797807251400101,0.9584119255734351,gr.lagsat,0.3601631395866128,AIC,15,60
B02_16,3.1556616328415146,3,0.9975269400745449,0.9977442966246198,gr.lagsat,0.16174218518015282,AIC,25,80
B02_17,1.4494566320543099,6,0.935031018556818,0.9586143409350988,gr.sat,0.17554219252423936,AIC,28,80
B02_18,1.9640784239970517,4,0.899457556953315,0.9401939590702713,gr.lagsat,0.43573685228092046,AIC,15,80
B02_19,1.6781071262347849,5,0.9030778171488412,0.9566709871235746,gr.sat,0.2511529851293085,AIC,25,100
B02_2,0.7831087124645102,5,0.9741338351613488,0.9898878708938382,gr.sat,0.057863138141670635,AIC,28,5
B02_20,1.8252098082257655,4,0.9159462460439308,0.9693422524254791,gr.lagsat,0.3524683731241105,AIC,28,100
B02_21,2.5643271750075005,4,0.9593061401150823,0.9861397995721247,gr.lagsat,0.28014948387385286,AIC,15,100
B02_22,2.465534798360003,4,0.9733209557339334,0.9917650591264374,gr.lagsat,0.2131578572409001,AIC,25,400
B02_23,2.2936892213784326,4,0.9439498389634914,0.9783942245074788,gr.lagsat,0.3241888817518029,AIC,28,400
B02_24,2.147276024675171,4,0.9281111225758577,0.9818331620147133,gr.lagsat,0.32961009743989106,AIC,15,400
B02_25,2.2790144947911,4,0.9871584797074286,0.989285038350325,gr.lagsat,0.2502116945165909,AIC,25,600
B02_26,1.6004007380800962,7,0.9826776448094582,0.9871109699803537,gr.sat,0.09502583097684929,AIC,28,600
B02_27,2.5557484858447737,4,0.9584020456252264,0.9765636460730048,gr.lagsat,0.3595813041647379,AIC,15,600
B02_28,1.591775011608928,8,0.9895539064514939,0.9927211287275802,gr.sat,0.06676716480663657,AIC,25,1000
B02_29,2.8267979262201917,3,0.9832063359966607,0.9761459187457077,gr.lagsat,0.7847424752859251,AIC,28,1000
B02_3,0.2742048813290735,8,0.8588935864626359,0.8588935864626359,gr,0.04537360160420838,AIC,15,5
B02_30,2.280255276275776,4,0.9521105080154526,0.9833512377334375,gr.lagsat,0.3482560203057684,AIC,15,1000
B02_4,1.4563214610288095,4,0.9999928109778975,0.9909534575622595,gr.lagsat,0.15960439349545164,AIC,25,10
B02_5,0.925504720113842,6,0.8349037496995719,0.8929267129673661,gr.sat,0.18498873265889176,AIC,28,10
B02_6,1.0332661485297152,3,0.9952333228304718,0.941402338617371,gr.lagsat,0.25690726882087905,AIC,15,10
B02_7,1.2880423079098762,4,0.9473394741793131,0.9790876350157154,gr.lagsat,0.1907384402921064,AIC,25,20
B02_8,0.8418467742876954,8,0.9665396065190313,0.9665396065190313,gr,0.06394596141713647,AIC,28,20
B02_9,1.2108433232103881,4,0.8946891542808919,0.9517232596660595,gr.lagsat,0.24070539685499848,AIC,15,20
B03_1,1.2892173015672066,3,0.9987846096820133,0.9643524435868199,gr.lagsat,0.2370549501650166,AIC,19,5
B03_10,1.60861535590558,4,0.9664022407686771,0.985735395127604,gr.lagsat,0.2045108574155237,AIC,19,40
B03_11,1.430560635975881,5,0.9908123497734986,0.9951654300479396,gr.lagsat,0.07790148023416761,AIC,4,40
B03_12,1.512170317916944,5,0.9062176203886941,0.9613459525795888,gr.sat,0.22241266138060403,AIC,3,40
B03_13,1.6726396984213232,5,0.994900966262339,0.9977818678016647,gr.lagsat,0.05987236764641992,AIC,19,60
B03_14,1.6497202324127846,5,0.9718625054803426,0.9866396467032909,gr.lagsat,0.16385285929358986,AIC,4,60
B03_15,1.5383440625468279,5,0.9905844305582365,0.9924083749313443,gr.lagsat,0.12919839720345772,AIC,3,60
B03_16,1.4917734850384319,5,0.8499633350790132,0.9397300005165925,gr.sat,0.2808688163424578,AIC,19,80
B03_17,1.7864538373391516,4,0.9398400635603895,0.9814157302051073,gr.lagsat,0.22735486307407815,AIC,4,80
B03_18,1.8273940183267918,5,0.9671777616941326,0.967670282935624,gr.sat,0.20180948199700846,AIC,3,80
B03_19,1.8705749719710119,4,0.9301356123679154,0.9752194207801195,gr.lagsat,0.29539817690424713,AIC,19,100
B03_2,0.6109314444572231,8,0.9225034848166408,0.9225034848166408,gr,0.07228928558281696,AIC,4,5
B03_20,2.6881796864827625,3,0.9641013751874262,0.9901352998690092,gr.lagsat,0.29264580142880603,AIC,4,100
B03_21,2.8970154888115855,3,0.9906827021045618,0.9938830703238464,gr.lagsat,0.2597006684168062,AIC,3,100
B03_22,1.8033638521138522,7,0.9898435282577789,0.9909718797921372,gr.sat,0.10419320787452047,AIC,19,400
