well_plate,population,K,r,nitrate_concentration,N0
B02_1,25,34.24505175251598,1.3387794066221297,5,6
B02_10,25,157.4930584216419,1.5240315651019885,40,6
B02_11,28,884.842923374707,1.2488969685878726,40,5
B02_12,15,150.21661358149078,1.5097308673550889,40,9
B02_13,25,215.8926411287908,1.7120937883100509,60,6
B02_14,28,189.59857708992018,1.6725812481217266,60,6
B02_15,15,196.7848425804951,1.9420565876742102,60,10
B02_16,25,387.4481607092262,1.9819762527237585,80,13
B02_17,28,542.3640988790794,1.9440600669889365,80,14
B02_18,15,388.7350395064695,1.7673489296592668,80,19
B02_19,25,408.1151901355436,1.871758531418265,100,14
B02_2,28,47.37778411597491,1.2320010801056,5,5
B02_20,28,612.0054358425908,1.4921313819073552,100,16
B02_21,15,578.1798879740901,2.350458252864299,100,13
B02_22,25,1082.6486860573132,2.17636907863673,400,12
B02_23,28,1218.7290983392413,1.8535017426367453,400,13
B02_24,15,785.5349330190755,1.8753390491841062,400,14
B02_25,25,1037.3942168720691,1.787456134030512,600,17
B02_26,28,1779.7193845718832,1.9089129826338507,600,19
B02_27,15,509.8267624318395,2.5268677024286896,600,14
B02_28,25,1623.2604970929854,1.7144396292876087,1000,14
B02_29,28,895.3421331692721,1.9079800452345448,1000,11
B02_3,15,736.4666193253834,0.251795567953031,5,11
B02_30,15,1031.1600269732985,1.7915941747699728,1000,16
B02_4,25,44.50084676393518,1.5882969163452407,10,6
B02_5,28,59.24156092289965,1.7360950104691897,10,4
B02_6,15,29.655630609467448,0.7957377064964533,10,10
B02_7,25,93.38187398279914,1.2366571342558115,20,6
B02_8,28,4e3,0.7963169624969061,20,8
B02_9,15,73.12211587400456,1.473344430231552,20,10
B03_1,19,41.56564460402319,0.7236612292231837,5,6
B03_10,19,269.36722207591095,0.9760975930527503,40,7
B03_11,4,204.28330880808662,1.165461485227301,40,6
B03_12,3,178.58965711543,1.8102450777997372,40,5
B03_13,19,179.15755043969298,1.3889133759874035,60,5
B03_14,4,170.3818317187442,1.4101227369321407,60,6
B03_15,3,254.62890416589764,1.4849279764930876,60,8
B03_16,19,276.1753836083969,1.8261995728481677,80,10
B03_17,4,329.61092463624334,1.8980861395517612,80,18
B03_18,3,306.2679168844757,2.649768971736879,80,14
B03_19,19,421.4803183176475,1.4871084093050913,100,15
B03_2,4,50.205053176460645,0.8020560682819036,5,4
B03_20,4,313.2282186180325,1.8627468284007616,100,19
B03_21,3,415.880333651402,2.1997505568982207,100,18
B03_22,19,1120.6439046080718,2.015123633669987,400,11
B03_23,4,1008.0604930213412,2.031783197858696,400,13
B03_24,3,986.8215037643292,1.7278777676621375,400,22
B03_25,19,2156.1816503857763,1.4734197503650555,600,16
B03_26,4,911.5622225562524,2.1944530204178077,600,17
B03_27,3,855.3497626640323,1.4949112834416602,600,19
B03_28,19,2209.754199163857,1.4973000318312464,1000,17
B03_29,4,879.3360936393797,1.9231741532063724,1000,15
B03_3,3,39.51255354703853,1.0962583875409446,5,7
B03_30,3,843.1057115552012,1.988390635994058,1000,18
B03_4,19,34.680858696620646,1.3525091484677287,10,4
B03_5,4,70.51177662108006,0.7935744447897841,10,6
B03_6,3,54.20164522784348,1.4799803307279746,10,6
B03_7,19,135.72854528216465,0.9953494322284118,20,5
B03_8,4,86.37609496365708,1.0236320369314302,20,4
B03_9,3,84.8927890320875,1.6977550409886888,20,5
B04_1,14,54.3846999008495,0.6913284538778202,5,6
B04_10,14,212.00749732570145,1.2757062380347193,40,6
