comp1,comp2,treatment,combination
1,27,N,1
1,11,N,2
1,30,N,3
1,3,N,4
27,11,N,5
27,30,N,6
27,3,N,7
11,30,N,8
11,3,N,9
30,3,N,10
17,29,P,11
17,8,P,12
17,28,P,13
17,6,P,14
29,8,P,15
29,28,P,16
29,6,P,17
8,28,P,18
8,6,P,19
28,6,P,20
10,26,L,21
10,20,L,22
10,23,L,23
10,33,L,24
26,20,L,25
26,23,L,26
26,33,L,27
20,23,L,28
20,33,L,29
23,33,L,30
14,4,S,31
14,15,S,32
14,18,S,33
14,32,S,34
4,15,S,35
4,18,S,36
4,32,S,37
15,18,S,38
15,32,S,39
18,32,S,40
25,2,BS,41
25,35,BS,42
25,9,BS,43
2,35,BS,44
2,9,BS,45
35,9,BS,46
19,7,B,47
19,21,B,48
19,16,B,49
19,31,B,50
7,21,B,51
7,16,B,52
7,31,B,53
21,16,B,54
21,31,B,55
16,31,B,56
anc2,anc3,none,57
anc2,anc4,none,58
anc2,anc5,none,59
anc2,cc1690,none,60
anc3,anc4,none,61
anc3,anc5,none,62
anc3,cc1690,none,63
anc4,anc5,none,64
anc4,cc1690,none,65
anc5,cc1690,none,66
