file_name,path,well_plate,well,plate,date_time,RFU,plate_key,population,acclimation_level,p,phosphate_level,multitron,slot,phosphate_concentration,population_new_color,start_time,days
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate1_190319_183435_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,B02_1,B02,1,2019-03-19T18:27:54Z,9,1,25,LP,P,1,5,15,0.5,no,2019-03-19T18:27:54Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate1_190319_183435_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,C02_1,C02,1,2019-03-19T18:27:54Z,12,1,6,LP,P,1,5,15,0.5,no,2019-03-19T18:27:54Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate1_190319_183435_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,D02_1,D02,1,2019-03-19T18:27:54Z,18,1,24,LP,P,1,5,15,0.5,no,2019-03-19T18:27:54Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate1_190319_183435_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,E02_1,E02,1,2019-03-19T18:27:54Z,18,1,1,LP,P,1,5,15,0.5,no,2019-03-19T18:27:54Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate1_190319_183435_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,F02_1,F02,1,2019-03-19T18:27:54Z,13,1,25,LP,P,1,5,15,0.5,no,2019-03-19T18:27:54Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate1_190319_183435_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,G02_1,G02,1,2019-03-19T18:27:54Z,8,1,11,LP,P,1,5,15,0.5,no,2019-03-19T18:27:54Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate10_190319_195801_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,B02_10,B02,10,2019-03-19T19:48:55Z,11,1,25,LP,P,4,5,18,4,no,2019-03-19T19:48:55Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate10_190319_195801_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,C02_10,C02,10,2019-03-19T19:48:55Z,11,1,6,LP,P,4,5,18,4,no,2019-03-19T19:48:55Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate10_190319_195801_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,D02_10,D02,10,2019-03-19T19:48:55Z,8,1,24,LP,P,4,5,18,4,no,2019-03-19T19:48:55Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate10_190319_195801_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,E02_10,E02,10,2019-03-19T19:48:55Z,14,1,1,LP,P,4,5,18,4,no,2019-03-19T19:48:55Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate10_190319_195801_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,F02_10,F02,10,2019-03-19T19:48:55Z,14,1,25,LP,P,4,5,18,4,no,2019-03-19T19:48:55Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate10_190319_195801_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,G02_10,G02,10,2019-03-19T19:48:55Z,10,1,11,LP,P,4,5,18,4,no,2019-03-19T19:48:55Z,0
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate11_190319_201202_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,B02_11,B02,11,2019-03-19T19:58:30Z,6,2,28,LP,P,4,4,9,4,no,2019-03-19T19:48:55Z,0.006655092592592593
data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_plate11_190319_201202_0001_,data-raw/phosphate-rstar-rfu/chlamee_phosphate_20190319_,C02_11,C02,11,2019-03-19T19:58:30Z,9,2,21,LP,P,4,4,9,4,no,2019-03-19T19:48:55Z,0.006655092592592593
