well_plate,nitrate_concentration,population,cells_per_ml,file_name,path,well,plate,date_time,cell_size,plate_key,acclimation_level,n,nitrate_level,multitron,slot,start_time,days
F02_10,40,25,197849.06964762046,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate10_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,10,2019-06-05T09:56:24Z,69.4,1,LP,P,4,5,18,2019-06-05T09:56:24Z,0
G02_10,40,11,183657.36422985865,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate10_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,10,2019-06-05T09:56:24Z,80.5,1,LP,P,4,5,18,2019-06-05T09:56:24Z,0
B02_11,40,28,71515.06455617223,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate11_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,11,2019-06-06T09:14:04Z,77.2,2,LP,P,4,4,9,2019-06-05T09:56:24Z,0.9706018518518519
C02_11,40,21,242650.3357703587,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate11_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,11,2019-06-06T09:14:04Z,68.9,2,LP,P,4,4,9,2019-06-05T09:56:24Z,0.9706018518518519
D02_11,40,18,151378.1911227926,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate11_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,11,2019-06-06T09:14:04Z,81.7,2,LP,P,4,4,9,2019-06-05T09:56:24Z,0.9706018518518519
E02_11,40,26,106298.65626637274,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate11_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,11,2019-06-06T09:14:04Z,83.6,2,LP,P,4,4,9,2019-06-05T09:56:24Z,0.9706018518518519
F02_11,40,28,60384.315208908076,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate11_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,11,2019-06-06T09:14:04Z,73,2,LP,P,4,4,9,2019-06-05T09:56:24Z,0.9706018518518519
G02_11,40,27,138856.0981071204,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate11_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,11,2019-06-06T09:14:04Z,61,2,LP,P,4,4,9,2019-06-05T09:56:24Z,0.9706018518518519
B02_12,40,15,161117.59680164873,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate12_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,12,2019-06-06T08:16:06Z,76.7,3,LP,P,4,4,1,2019-06-05T09:56:24Z,0.9303472222222222
C02_12,40,10,144421.4727807525,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate12_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,12,2019-06-06T08:16:06Z,83.1,3,LP,P,4,4,1,2019-06-05T09:56:24Z,0.9303472222222222
D02_12,40,29,115203.25574418408,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate12_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,12,2019-06-06T08:16:06Z,74.3,3,LP,P,4,4,1,2019-06-05T09:56:24Z,0.9303472222222222
E02_12,40,anc4,129673.22989562748,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate12_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,12,2019-06-06T08:16:06Z,85.4,3,LP,P,4,4,1,2019-06-05T09:56:24Z,0.9303472222222222
F02_12,40,15,145256.2789817973,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate12_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,12,2019-06-06T08:16:06Z,77.9,3,LP,P,4,4,1,2019-06-05T09:56:24Z,0.9303472222222222
B02_13,60,25,237919.76729777144,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate13_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,13,2019-06-06T08:50:35Z,57.4,1,LP,P,5,6,9,2019-06-06T08:50:35Z,0
C02_13,60,6,217327.88100533275,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate13_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,13,2019-06-06T08:50:35Z,50.4,1,LP,P,5,6,9,2019-06-06T08:50:35Z,0
D02_13,60,24,191170.62003926196,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate13_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,13,2019-06-06T08:50:35Z,56.2,1,LP,P,5,6,9,2019-06-06T08:50:35Z,0
E02_13,60,1,191448.88877294358,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate13_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,13,2019-06-06T08:50:35Z,56.5,1,LP,P,5,6,9,2019-06-06T08:50:35Z,0
F02_13,60,25,229015.16781996013,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate13_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,13,2019-06-06T08:50:35Z,56,1,LP,P,5,6,9,2019-06-06T08:50:35Z,0
G02_13,60,11,180874.67689304263,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate13_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,13,2019-06-06T08:50:35Z,63.8,1,LP,P,5,6,9,2019-06-06T08:50:35Z,0
B02_14,60,28,243485.14197140353,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate14_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,14,2019-06-06T09:37:18Z,65.3,2,LP,P,5,6,2,2019-06-06T08:50:35Z,0.032442129629629626
C02_14,60,21,250441.86031344364,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate14_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,14,2019-06-06T09:37:18Z,60,2,LP,P,5,6,2,2019-06-06T08:50:35Z,0.032442129629629626
D02_14,60,18,245711.29184085637,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate14_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,14,2019-06-06T09:37:18Z,69.7,2,LP,P,5,6,2,2019-06-06T08:50:35Z,0.032442129629629626
