well_plate,mu,best.model,best.se,population,plate,nitrate_level,nitrate_concentration,ancestor_id,treatment,note,plate_key,acclimation_level,well,n_level,multitron,slot
B02_1,0.5494993422272065,gr,0.11443428140331964,25,1,1,5,anc2,BS,NA,1,LL,B02,N1,5,15
B02_1,0.5494993422272065,gr,0.11443428140331964,25,1,1,5,anc2,BS,NA,1,LL,B02,N1,5,15
B02_1,0.5494993422272065,gr,0.11443428140331964,25,1,1,5,anc2,BS,NA,1,LL,B02,N1,5,15
B02_1,0.5494993422272065,gr,0.11443428140331964,25,1,1,5,anc2,BS,NA,1,LL,B02,N1,5,15
B02_10,1.2753310579219566,gr.sat,0.14890566379849665,25,10,4,40,anc2,BS,NA,1,LL,B02,N4,5,18
B02_10,1.2753310579219566,gr.sat,0.14890566379849665,25,10,4,40,anc2,BS,NA,1,LL,B02,N4,5,18
B02_10,1.2753310579219566,gr.sat,0.14890566379849665,25,10,4,40,anc2,BS,NA,1,LL,B02,N4,5,18
B02_10,1.2753310579219566,gr.sat,0.14890566379849665,25,10,4,40,anc2,BS,NA,1,LL,B02,N4,5,18
B02_11,1.1518879030922125,gr,0.07407861619184149,28,11,4,40,anc5,P,NA,2,LL,B02,N4,4,9
B02_11,1.1518879030922125,gr,0.07407861619184149,28,11,4,40,anc5,P,NA,2,LL,B02,N4,4,9
B02_11,1.1518879030922125,gr,0.07407861619184149,28,11,4,40,anc5,P,NA,2,LL,B02,N4,4,9
B02_11,1.1518879030922125,gr,0.07407861619184149,28,11,4,40,anc5,P,NA,2,LL,B02,N4,4,9
B02_12,0.9099010357132258,gr,0.14647619497433378,15,12,4,40,anc4,S,NA,3,LL,B02,N4,4,1
B02_12,0.9099010357132258,gr,0.14647619497433378,15,12,4,40,anc4,S,NA,3,LL,B02,N4,4,1
B02_12,0.9099010357132258,gr,0.14647619497433378,15,12,4,40,anc4,S,NA,3,LL,B02,N4,4,1
B02_12,0.9099010357132258,gr,0.14647619497433378,15,12,4,40,anc4,S,NA,3,LL,B02,N4,4,1
B02_13,1.4173135210108077,gr.sat,0.10960491080027217,25,13,5,60,anc2,BS,NA,1,LL,B02,N5,6,9
B02_13,1.4173135210108077,gr.sat,0.10960491080027217,25,13,5,60,anc2,BS,NA,1,LL,B02,N5,6,9
B02_13,1.4173135210108077,gr.sat,0.10960491080027217,25,13,5,60,anc2,BS,NA,1,LL,B02,N5,6,9
B02_13,1.4173135210108077,gr.sat,0.10960491080027217,25,13,5,60,anc2,BS,NA,1,LL,B02,N5,6,9
B02_14,1.169999529238191,gr,0.16097535756926673,28,14,5,60,anc5,P,NA,2,LL,B02,N5,6,2
B02_14,1.169999529238191,gr,0.16097535756926673,28,14,5,60,anc5,P,NA,2,LL,B02,N5,6,2
B02_14,1.169999529238191,gr,0.16097535756926673,28,14,5,60,anc5,P,NA,2,LL,B02,N5,6,2
B02_14,1.169999529238191,gr,0.16097535756926673,28,14,5,60,anc5,P,NA,2,LL,B02,N5,6,2
