iteration,phosphate_concentration,population,well_plate,term,estimate,std.error,statistic,p.value,number_of_points
1,0.5,16,E11_3,days,0.5300591437201367,0.03285375543421589,16.133898140853056,0.03940810897731586,3
1,0.5,22,B05_2,days,1.160857431807557,0.30119280333434806,3.8542004289488703,0.16161200812376014,3
1,0.5,22,D03_2,days,-0.030764048010066426,0.9029184213159155,-0.03407179129785704,0.9783176116513217,3
1,0.5,22,E10_2,days,1.0772616544274405,0.5480482053936377,1.965633029769148,0.299603892803724,3
1,0.5,23,E05_1,days,0.3493410064480523,0.34228422346793685,1.020616734562341,0.4935046734951747,3
1,0.5,30,E03_3,days,0.3340300457781583,0.47285152807922065,0.706416339892203,0.6084665757415014,3
1,0.5,32,D07_1,days,0.4188121581327271,0.058236890837864506,7.19152674717352,0.08795956767090304,3
1,0.5,32,F07_1,days,0.46408055464504266,0.320385491566997,1.4485067734348296,0.3846653808785289,3
1,0.5,6,F04_1,days,0.8106962158956863,0.10874851694354362,7.454779510386851,0.08489077456283751,3
1,0.5,anc5,F05_1,days,0.8915110867865876,0.0600165413035035,14.85442292114466,0.04279268641972409,3
1,1,1,F11_4,days,0.8719038588784171,0.3066094255957545,2.843695549098899,0.21527203449040058,3
1,1,11,G02_4,days,0.9938231930224563,0.13399622709860884,7.416799819976231,0.08532030658143615,3
1,1,14,D06_4,days,0.8178541331363168,0.21531693077577735,3.798373542617502,0.16388445355233405,3
1,1,19,D04_4,days,0.8329405128924647,0.10844051075971253,7.681082531399475,0.08241795731953001,3
1,1,2,E04_5,days,1.613022158819968,0.5473739994096568,2.946837373641447,0.20827202166237443,3
1,1,22,B05_5,days,-0.07133889521690176,0.36057643771138964,-0.19784680238591296,0.8756526740565059,3
1,1,22,F06_5,days,0.4667172798471486,0.8314640424787006,0.5613198599133701,0.6743737470696329,3
1,1,23,B06_4,days,0.5196515238860857,0.45937639303404104,1.1312107713109631,0.4608550817759835,3
1,1,24,E06_4,days,0.8334276702791784,0.07796796355806745,10.68936050456768,0.059383559725409076,3
1,1,27,C07_5,days,0.651463820148921,0.05461323406137088,11.928680499251287,0.05324433816328945,3
1,1,32,D07_4,days,0.567368372171783,0.2768767480540226,2.0491730568183404,0.28902728934548205,3
1,1,32,D08_4,days,0.6816817394517481,0.16519616303248694,4.1264986240491,0.15135811515042574,3
1,1,4,F03_5,days,1.3116106515182118,0.3660845374400071,3.5828081150058266,0.17327761695689767,3
1,1,6,F04_4,days,1.0906473072978282,0.2790895180094548,3.9078762795415343,0.15948453103137092,3
1,1,9,E08_5,days,0.8234690449007231,0.15751634259130992,5.2278324353764765,0.12032163842910326,3
1,2,1,F11_7,days,0.9374874437043612,0.4818655653361473,1.9455373264748108,0.3022557760379502,3
1,2,anc5,C11_7,days,2.4955071791236145,0.34745878500579563,7.18216745932036,0.08807273429643608,3
1,6,22,E10_14,days,0.4694819240239865,0.42821716497092654,1.0963640938024088,0.47075692450445894,3
1,6,26,B09_14,days,2.160632803192324,0.514770606609134,4.197273067754809,0.14889872192254563,3
1,50,24,E06_28,days,1.5731416300319987,0.003308003105881628,475.55627358237774,0.0013386824428697432,3
2,0.5,1,E02_1,days,0.5058749357980123,0.19661036518780844,2.5729820262262604,0.12365086623940864,4
2,0.5,10,F08_3,days,0.3230927189317216,0.1274924432586195,2.5342107396618423,0.1267686253265728,4
2,0.5,14,D09_1,days,0.5542830632308917,0.18407262272331926,3.011219458007279,0.09485372495414329,4
2,0.5,14,F08_1,days,0.45227840326404856,0.10261288902378701,4.407617869127576,0.047812919233976896,4
2,0.5,17,B08_2,days,0.8142518530268805,0.1797797217878267,4.529164051037125,0.045451033301187514,4
2,0.5,19,D10_1,days,0.5096736990906853,0.13974080428459157,3.647278986978638,0.06763546210373539,4
2,0.5,19,F03_1,days,0.39233384307351016,0.22890974976430953,1.713923690351615,0.22867676536090228,4
2,0.5,2,E04_2,days,0.5125923511710815,0.07137973297004793,7.181202980770093,0.018844841294660877,4
2,0.5,24,B11_1,days,0.4009265688389239,0.23487735793235803,1.7069613366239675,0.22995055180788587,4
2,0.5,24,D02_1,days,0.5279132803444793,0.1821066115863928,2.898924293553357,0.10124427832046998,4
2,0.5,24,E06_1,days,0.41860073833526956,0.23360715859288103,1.7919003032984369,0.2150225256369124,4
2,0.5,24,E11_1,days,0.5326755760438051,0.13352906225392516,3.9892107909126486,0.05747453788163479,4
2,0.5,26,B09_2,days,0.4090592017243471,0.34300479410711715,1.1925757562344794,0.35533968015964357,4
2,0.5,27,B07_2,days,0.27107150071755126,0.18947413658428128,1.4306517269546923,0.28881929552225605,4
2,0.5,27,G02_2,days,0.061420659580008044,0.02120328081265497,2.8967526357218136,0.10137382613620777,4
2,0.5,28,C05_2,days,0.817787371945248,0.321731064175544,2.5418352873101617,0.12614688218898268,4
2,0.5,33,E08_1,days,0.40135406269716084,0.09709960342072274,4.133426384432636,0.05384629570139118,4
2,0.5,35,D07_2,days,0.9371359565917261,0.24266872402112993,3.8617912562565198,0.0609841394745781,4
2,0.5,35,D08_2,days,1.214762986208924,0.15874885591300814,7.652105454382581,0.01665264520356757,4
2,0.5,9,C03_2,days,0.047556091447183896,0.1806274933127165,0.2632826851272915,0.8169757210022945,4
2,1,10,D05_6,days,0.6298636696340056,0.10628837252865991,5.925988465616663,0.027314630833294107,4
2,1,10,D11_6,days,0.6530021808247111,0.17423284806781553,3.7478706688565824,0.06439191063445981,4
2,1,16,E11_6,days,0.5491271247243088,0.12621431586981974,4.3507515050090735,0.048980024676118075,4
2,1,17,F05_5,days,0.9202335800095031,0.29128436883190656,3.1592274714217448,0.08727600021771409,4
2,1,19,B03_4,days,0.5941462371842589,0.14839581033167185,4.0037938797349675,0.057091725484883886,4
2,1,20,E09_6,days,0.2384089161296436,0.2154897375345747,1.1063585619310135,0.38383586850730966,4
2,1,29,B10_6,days,0.9551253548057187,0.21517737374543194,4.438781541853423,0.04719051537478251,4
2,1,29,E06_6,days,0.8084442264101259,0.16930628430745753,4.775039684540026,0.041168365472944016,4
2,1,29,F04_6,days,1.0728977150425159,0.22736046375503552,4.718928248661938,0.04209190963454995,4
2,1,3,D09_6,days,0.9782394489202932,0.2044537056475793,4.78465012811508,0.041013174883609636,4
2,1,3,F09_6,days,0.6395806502202352,0.12046351708843818,5.309330705915615,0.03369223974015508,4
2,1,30,E08_6,days,0.6505928442076893,0.14853998798603002,4.379917172666505,0.04837629657688402,4
2,1,33,C03_4,days,0.42617506077134626,0.021033772164578413,20.261466057383636,0.0024270289517825928,4
2,1,35,D07_5,days,1.1010708147528916,0.43233895475312173,2.5467767885538684,0.12574620407876116,4
2,1,35,F07_5,days,1.2263320694434654,0.2819580251867491,4.349342667693993,0.049009466027474066,4
2,1,7,B08_6,days,0.6298720883266461,0.1866325823468474,3.3749310029695674,0.07770038557015974,4
2,1,7,C07_6,days,0.8827341328877502,0.20686231347144085,4.26725447508649,0.050770602537956885,4
2,1,cc1690,B04_6,days,0.8944275217001696,0.19022619787443235,4.701915570486133,0.04237793402185469,4
2,2,10,F08_9,days,1.1976121714194001,0.1269056577387093,9.43702741673825,0.011043047853273058,4
2,2,16,E04_9,days,1.2622849540774754,0.0807530448086863,15.631422407266262,0.004067680550582176,4
2,2,28,B02_8,days,1.4279923732134483,0.46549540085239566,3.067683097617224,0.09185595767986149,4
2,2,29,B10_9,days,1.3965983657952454,0.3136457739026813,4.452788725374585,0.046914620027483235,4
2,2,30,E03_9,days,1.313718300893537,0.1560574248345227,8.418172363708765,0.013819379891275753,4
2,2,30,E08_9,days,1.1091898872749681,0.09708468724759173,11.424972554592873,0.00757414536505761,4
2,2,7,B08_9,days,0.9814350069171542,0.35776076928706046,2.743271736789199,0.11115909964622224,4
2,2,7,C07_9,days,1.0409988538948611,0.2907269123575103,3.580675918350251,0.06991477572657652,4
2,2,7,D10_9,days,1.143824196292048,0.2041754236674254,5.602163941901183,0.030416845357797477,4
2,2,anc2,E05_8,days,1.198014204013309,0.5135542550187246,2.332789948297923,0.14486740754447613,4
2,4,22,B05_11,days,0.06379261470762801,0.30551349692965885,0.20880457115227077,0.8539363583683899,4
2,4,26,B09_11,days,1.2508765372037571,0.34115587204423764,3.666583634361586,0.06699491344906973,4
2,4,27,B07_11,days,1.434034547078966,0.5374157567866209,2.6683894712233838,0.11642259824339786,4
2,4,31,B04_11,days,1.2700253521128981,0.20588591453167998,6.168587856054997,0.025287600123637073,4
2,4,35,D07_11,days,1.5827027817537676,0.2707326359057702,5.8459992326327255,0.02803586472341599,4
2,4,35,F07_11,days,1.5320125715487949,0.28157799573494996,5.440810698116063,0.0321602873015792,4
2,4,6,F04_10,days,1.3852252547877733,0.34904989285720817,3.9685594613674646,0.05802306699193212,4
2,6,25,E03_13,days,1.4702738362366947,0.2660919265996808,5.5254357207486144,0.031228033943920618,4
2,6,6,F04_13,days,1.7724697437281283,0.058730342141873636,30.17979598086473,0.0010961068560029815,4
2,8,28,F02_17,days,1.3207136146293665,0.23902898028414113,5.525328406034253,0.03122919076512291,4
2,8,29,F04_18,days,1.3807519375622812,0.16498437904849636,8.36898587324086,0.0139788964355264,4
2,20,19,F03_22,days,1.687797151725932,0.31426854882468663,5.370556990312965,0.032965761981407146,4
2,20,25,B02_22,days,1.5767501833666666,0.32040748654207174,4.921077844913678,0.03889977538517091,4
2,20,25,C05_22,days,1.655650145539851,0.20460469672311973,8.091945942865383,0.014930759711911544,4
2,20,29,F04_24,days,1.6734706701651567,0.20430793617825727,8.190923473012155,0.014579904346842155,4
2,50,2,E04_29,days,1.908891577577934,0.08756462819848067,21.799802235796566,0.0020976196413992603,4
2,50,2,F09_29,days,1.6661175293359103,0.283941269639179,5.867824467549732,0.027836306177998857,4
2,50,25,B02_28,days,1.5274006663500657,0.3194956272852271,4.780662193496911,0.041077468069137174,4
2,50,25,F02_28,days,1.4706848979968739,0.31722260570742766,4.636128925040345,0.043511231627848083,4
2,50,30,C03_30,days,1.7943146574091993,0.3236407461400334,5.544155607133696,0.03102720299911986,4
2,50,30,C09_30,days,1.522351068283091,0.2678097516242356,5.684449722424988,0.029581018269721142,4
2,50,30,E03_30,days,1.5219823965111683,0.3043846419280296,5.000194447626021,0.03774677954011139,4
2,50,30,E08_30,days,1.4816577278302967,0.3162938007392863,4.684434928434127,0.04267480689601937,4
2,50,33,D05_28,days,1.4483794522916298,0.3144356354078558,4.606282778390976,0.04404009159299715,4
2,50,33,G03_28,days,1.3042781121995783,0.09399296843486526,13.876337069867198,0.005153272792141813,4
2,50,cc1690,F07_30,days,1.753389596021803,0.1597822753655631,10.973617643197615,0.00820221913928382,4
3,0.5,1,B09_1,days,0.5878423522440047,0.08598316169713445,6.836714778116791,0.006403989676659631,5
3,0.5,1,F11_1,days,0.411675884320391,0.08525867637592467,4.8285512022872545,0.016932447296835202,5
3,0.5,10,C02_3,days,0.15660647469022942,0.10167531855450163,1.5402604773377988,0.22113918474858615,5
3,0.5,10,D05_3,days,0.3277332336566721,0.1954850999194472,1.6765126027084412,0.19223107388407634,5
3,0.5,10,D11_3,days,0.406400046702195,0.19221780577688416,2.114268472994233,0.12485979954595132,5
3,0.5,11,B07_1,days,0.5947421628512676,0.3052262978384622,1.9485285739239564,0.14648432959524987,5
3,0.5,11,C07_1,days,0.6291627753413194,0.14447392532700962,4.354853472121287,0.022371393296852872,5
3,0.5,11,D11_1,days,0.6015647090167958,0.061418421781421186,9.794532187063892,0.0022618183239275945,5
3,0.5,11,G02_1,days,0.6067151959047679,0.12109110264796384,5.010402768142353,0.015304977320727841,5
3,0.5,14,B04_1,days,0.5077335018250241,0.14079316830865501,3.606236779272848,0.03660067295625345,5
3,0.5,14,D06_1,days,0.4444200677582798,0.07781298872211073,5.711386685652351,0.01064825743550448,5
3,0.5,15,E07_3,days,0.3669090049850016,0.09903172878261332,3.704964151341955,0.0341603356940407,5
3,0.5,15,F02_3,days,0.21650345587797,0.1328404597435663,1.62980056148485,0.20163521884445412,5
3,0.5,16,B05_3,days,0.30253382120190436,0.14542746244370897,2.0803073650481045,0.12896469187035806,5
3,0.5,16,E04_3,days,0.45642979714174536,0.15441048755610143,2.9559507541604795,0.05973803542688937,5
3,0.5,17,C11_2,days,0.8044292219658362,0.14469743320336245,5.559388333000112,0.011481069805010144,5
3,0.5,17,E07_2,days,0.5746699145900646,0.051802711697150124,11.093433060989343,0.001569322353772551,5
3,0.5,17,F05_2,days,0.42538509211967457,0.14089238345601993,3.0192199300287945,0.05679426668672096,5
3,0.5,18,B11_2,days,0.3826422396834236,0.14907250103792796,2.566819748909085,0.08272158938828272,5
3,0.5,18,D02_2,days,0.3468646521294657,0.15309751492792192,2.265645215030231,0.10835957854650986,5
3,0.5,18,E06_2,days,0.4140496257287196,0.0901475146716743,4.5930231935592145,0.019391733548099414,5
3,0.5,18,E11_2,days,0.3246776181674219,0.19739489471957875,1.6448126413231827,0.19855754021994224,5
3,0.5,19,B03_1,days,0.4320670965984804,0.1548590855929578,2.7900661749621527,0.06841508874066994,5
3,0.5,19,D04_1,days,0.28509921200571336,0.18773218496224212,1.5186485581204647,0.22615496160916318,5
3,0.5,2,B10_2,days,0.40183674161618405,0.23344831783439174,1.7213092188620827,0.1836764563429849,5
3,0.5,2,C08_2,days,0.35700939570476714,0.043927732042282355,8.12719844860486,0.0038946656317979896,5
3,0.5,2,F09_2,days,0.4994553922654791,0.14140500188546923,3.5320914084072657,0.038581392585769515,5
3,0.5,20,D03_3,days,0.4239099101935449,0.1203145269379414,3.523347686952208,0.038823899886762284,5
3,0.5,20,D08_3,days,0.33279888263426527,0.12249648660093902,2.7168034926457567,0.07274530307437854,5
3,0.5,21,C02_2,days,0.8394169142960302,0.15237641838165344,5.5088374120565256,0.011776860661795608,5
3,0.5,21,C09_2,days,0.7460569885713775,0.22266602074890277,3.3505650573092836,0.04404038011622748,5
3,0.5,21,E09_2,days,0.6955157309311539,0.1282804933955435,5.421835483486816,0.012309702433825837,5
3,0.5,23,B06_1,days,0.5064632303614837,0.17838279648387845,2.839193242534775,0.06569018638273706,5
3,0.5,23,C10_1,days,0.39076787248484113,0.23268052364177755,1.6794180551460611,0.19166271618435676,5
3,0.5,23,F10_1,days,0.4774768920398,0.05824526080797109,8.197695150065417,0.003798449438620201,5
3,0.5,25,B02_1,days,0.936848621362954,0.1700543703686562,5.509112287628866,0.011775225474048258,5
3,0.5,25,F02_1,days,0.6769873716536656,0.16281039423463278,4.1581336058804155,0.0252934970914842,5
3,0.5,26,C06_2,days,0.3794589774708723,0.16226720119124569,2.338482297624938,0.10136161092459467,5
3,0.5,26,E02_2,days,0.38928764208723055,0.30034795401847997,1.296122170565138,0.2856363854760927,5
3,0.5,27,C07_2,days,0.3182559900611566,0.20265497514763273,1.5704326519953895,0.21434144989804096,5
3,0.5,27,D11_2,days,0.3120916595498034,0.09570781596494161,3.2608795468086385,0.04710025895058074,5
3,0.5,28,B02_2,days,0.982107644040949,0.31104676299614686,3.1574276310765366,0.050972182184697415,5
3,0.5,28,E03_2,days,0.6694453366586548,0.17242615872631623,3.882504497019117,0.03027266765403793,5
3,0.5,29,D02_3,days,0.8575370952098267,0.15760648134019606,5.441001460839796,0.012189655328574581,5
3,0.5,3,C10_3,days,0.5516976810487012,0.18504333840970547,2.9814511875438843,0.05852905472394468,5
3,0.5,3,D09_3,days,0.9187025812242621,0.07595408537156799,12.095499231278499,0.0012162272076971998,5
3,0.5,30,C03_3,days,0.14139969038635614,0.03887467125123961,3.6373218302610666,0.035808943784608,5
3,0.5,31,B04_2,days,0.25873630607780135,0.17976392960585075,1.4393115829471737,0.24566712868520668,5
3,0.5,31,D06_2,days,0.34018788827850965,0.19530431504849646,1.7418349829804674,0.17990213338281752,5
3,0.5,31,D09_2,days,0.48412720435420553,0.20366397297163222,2.3770880892205626,0.09787487065813955,5
3,0.5,31,F08_2,days,0.4108335809658335,0.17801607771811925,2.307845371227484,0.10423637803533532,5
3,0.5,32,C04_1,days,0.13703191773917853,0.12969095511137835,1.0566035050130964,0.3682527681928477,5
3,0.5,32,D08_1,days,0.33512953541017765,0.06949896467280221,4.822079537270108,0.016994425155671396,5
3,0.5,33,C03_1,days,0.2728878276537784,0.10121690701101368,2.6960696163545554,0.07403212698474021,5
3,0.5,33,D05_1,days,0.2661226875267489,0.08579082051688516,3.101994897861726,0.05321262512145333,5
