population,parameter,estimate,std_error,t_value,pr_t,ancestor_id,treatment,note
1,alpha,0.10554182321360406,0.05006754757280357,2.107988673903689,0.04321549938141748,anc2,N,NA
1,iopt,138.6614435091767,122.14452357989371,1.135224400122036,0.26498265470932697,anc2,N,NA
1,umax,0.999798543711126,0.06269061894425887,15.948136428515614,1.7141692335794448e-16,anc2,N,NA
10,alpha,0.08461783012280999,0.04397021782584773,1.9244350905413916,0.0645170627375483,anc2,L,NA
10,iopt,237.78457628729507,547.0051499707356,0.43470262811971033,0.6671102652753518,anc2,L,NA
10,umax,1.1152759641057246,0.12012932775602549,9.283960752454842,4.833873479451768e-10,anc2,L,NA
11,alpha,0.09559272348782955,0.028228816317879008,3.38635252755125,0.0018021654513045349,anc4,N,NA
11,iopt,72.30593646946033,12.141673394208434,5.955187075279936,9.846323934186756e-7,anc4,N,NA
11,umax,1.1207283841035738,0.06795903032018089,16.491235658063328,8.628062058628193e-18,anc4,N,NA
14,alpha,0.11627161837414213,0.031603461794463925,3.6790785493793527,7.601872783483512e-4,anc2,S,NA
14,iopt,233.70827419762435,329.4170782023684,0.7094601028974341,0.48260899528014267,anc2,S,NA
14,umax,1.4321006042767639,0.09433747952663583,15.180611263547863,3.1831572295811266e-17,anc2,S,NA
15,alpha,0.11117432233161773,0.02499527136609957,4.447814176660652,8.006411926892743e-5,anc4,S,NA
15,iopt,124.14461406026709,37.44816101213197,3.315105754326583,0.00209818121388305,anc4,S,NA
15,umax,1.4444486165122394,0.05457525443336616,26.467098165815127,3.430268696219934e-25,anc4,S,NA
16,alpha,0.10808109964311274,0.02905011750171531,3.7205047324414755,6.949132452854852e-4,anc5,B,NA
16,iopt,49.975279579254156,6.177706223013693,8.08961737174911,1.5901410684963849e-9,anc5,B,NA
16,umax,1.0885745310169235,0.0674972988605319,16.127675468409773,8.898825113963771e-18,anc5,B,NA
17,alpha,0.08596320003128244,0.01851725916250075,4.642328504283522,4.4576424394130815e-5,anc2,P,NA
17,iopt,208.8908913324729,149.17242416264085,1.4003318140403869,0.16997417500550804,anc2,P,NA
17,umax,1.392678453680917,0.06121352448110109,22.751156145418307,5.892295551380312e-23,anc2,P,NA
18,alpha,0.041804701257726506,0.009877107502679349,4.232484180858233,2.0083609740978437e-4,anc5,S,NA
18,iopt,114.31083927395494,15.913193899809853,7.1834001391336555,5.4083650842162836e-8,anc5,S,NA
18,umax,1.2350458089128782,0.05881951319900903,20.997212349144124,1.7229057047518868e-19,anc5,S,NA
19,alpha,0.08128012254891348,0.03434431599066697,2.36662516647591,0.024603551717185746,anc2,B,NA
19,iopt,83.54634247225252,23.379514420273182,3.5734849308849035,0.0012143023329911928,anc2,B,NA
19,umax,0.985906754921234,0.07986092007390269,12.345296723464786,2.737566187371041e-13,anc2,B,NA
2,alpha,0.0699387971679506,0.022999145711754546,3.040930217343066,0.004519052860636107,anc3,BS,NA
2,iopt,233.51153566309878,341.1058249759587,0.6845721138874037,0.49825426979483645,anc3,BS,NA
2,umax,1.049436524436759,0.08358371986178491,12.555513515934926,2.5450272865696673e-14,anc3,BS,NA
20,alpha,0.08321643871804962,0.026052201912106217,3.1942190145309644,0.0030199972299052294,anc4,L,NA
20,iopt,77.89756266461704,14.336943733031678,5.433345077943254,4.698326151349268e-6,anc4,L,NA
20,umax,1.1005200998216216,0.07124527725150719,15.446920024419446,6.183503714746727e-17,anc4,L,NA
21,alpha,0.08499340561368474,0.0127423254554063,6.670164399044118,7.828579890884384e-8,anc4,B,NA
21,iopt,59.79265538226737,3.81429231913663,15.67594992189836,6.3811345622473215e-18,anc4,B,NA
21,umax,1.4317870374525046,0.052368121095256494,27.340813600092975,3.858360584121962e-26,anc4,B,NA
22,alpha,0.04557869755663879,0.013035584341583086,3.496482885791644,0.0014906601868539399,cc1690,C,NA
22,iopt,106.14080714235392,16.98974955488702,6.24734383514341,6.998352047675155e-7,cc1690,C,NA
22,umax,1.1894811937083394,0.06811507970130243,17.462817322161854,2.8902155537508206e-17,cc1690,C,NA
23,alpha,0.06765608430658232,0.008913108030777779,7.590627654568941,1.199927298233877e-8,anc5,L,NA
23,iopt,89.45006582901718,6.305330870496991,14.186419026408151,2.3611590857185703e-15,anc5,L,NA
23,umax,1.4131256615003571,0.04035479477539894,35.01754052685273,4.3399361470259465e-27,anc5,L,NA
24,alpha,0.05309925980670016,0.022661632560850527,2.3431347968474547,0.025500619949655492,anc4,C,NA
24,iopt,215.9145106499963,320.3921195187301,0.6739070579336579,0.5052095626885542,anc4,C,NA
24,umax,0.866843858171875,0.0774128391272157,11.197675578689925,1.3273409381423787e-12,anc4,C,NA
25,alpha,0.16925327512002086,0.05136862632189136,3.294876410738115,0.0023076953008899937,anc2,BS,NA
25,iopt,51.36665929065687,8.444610129273338,6.08277451585287,6.726401001854218e-7,anc2,BS,NA
25,umax,1.1318016156631172,0.07113925522031923,15.90966354873849,2.552113439610859e-17,anc2,BS,NA
26,alpha,0.050813587110879466,0.023708943404053842,2.143224446779487,0.04092650165213897,anc3,L,NA
26,iopt,95.76067172539152,25.40376550795418,3.769546357031514,7.767540543259145e-4,anc3,L,NA
26,umax,0.8862249640094602,0.07311364617681358,12.121197756520962,1.174853674683083e-12,anc3,L,NA
27,alpha,0.05764390964461308,0.019782635841677707,2.9138639616046467,0.0069435914139416265,anc3,N,NA
27,iopt,89.68901749423762,15.555797949244354,5.765632710509356,3.4446842378745727e-6,anc3,N,NA
27,umax,1.0778374310156678,0.06967745626898886,15.468954935075288,3.0152382080708683e-15,anc3,N,NA
28,alpha,0.11570343816071227,0.03997251267191148,2.8945750573747793,0.006682811949314405,anc5,P,NA
28,iopt,147.85892372777457,141.30970929430876,1.0463465282475786,0.3030050333665889,anc5,P,NA
28,umax,0.9323247944161764,0.04811432827191093,19.377279656639544,1.342088904543148e-19,anc5,P,NA
29,alpha,0.06509997499114428,0.017515948831762166,3.716611393217629,7.462775302385292e-4,anc3,P,NA
29,iopt,242.97488096268438,248.7374428825643,0.9768327524272227,0.33575894636101966,anc3,P,NA
29,umax,1.2975903637479944,0.08795204255890172,14.753385208524232,4.352039733416916e-16,anc3,P,NA
3,alpha,0.4057737839296385,0.18205543189277215,2.228847443390939,0.03215692282274843,cc1690,N,NA
3,iopt,66.6492938355957,42.95958173443191,1.551441870351745,0.12954366520108457,cc1690,N,NA
3,umax,1.059255000557815,0.07265550093148417,14.579143863541965,1.118885393138082e-16,cc1690,N,NA
30,alpha,0.054886365900042255,0.008955475433994399,6.12880536656906,5.226163682055122e-7,anc5,N,NA
30,iopt,86.79001672973477,6.675642280742327,13.000998717397389,5.84744943148997e-15,anc5,N,NA
30,umax,1.3612241825451468,0.050970590295114,26.706070592155427,7.283997075859007e-25,anc5,N,NA
31,alpha,0.20268188568422163,0.14649720712763428,1.3835204756336208,0.1774373189391788,cc1690,B,NA
31,iopt,97.3003947574478,86.83207654464807,1.1205581926561095,0.27199546380954914,cc1690,B,NA
31,umax,1.0696439541767182,0.087883618143739,12.171141525229997,1.0658481689185925e-12,cc1690,B,NA
32,alpha,0.025589797710086293,0.0032234258230672786,7.938696006888752,1.2027893252900018e-8,cc1690,S,NA
32,iopt,114.01951604995557,6.221832958655563,18.325711539930722,3.9653290619856066e-17,cc1690,S,NA
32,umax,1.2613543854914664,0.036951881490222396,34.13505171110774,2.3201253790576803e-24,cc1690,S,NA
33,alpha,0.057865241304311255,0.019696439799597683,2.9378528248284344,0.006083641636053919,cc1690,L,NA
33,iopt,236.50642350341963,278.35442570000754,0.8496592892627869,0.4018268300249974,cc1690,L,NA
33,umax,1.204305994631334,0.0975893862015942,12.340542773202325,1.0450835257492475e-13,cc1690,L,NA
35,alpha,0.07723762472970974,0.016304234778513883,4.737273829710509,3.5385816281360885e-5,anc4,BS,NA
35,iopt,244.69365330915016,211.1935979328117,1.1586224947358301,0.25445465441385356,anc4,BS,NA
35,umax,1.4551816130393853,0.07983573435048175,18.227196441271346,1.9146279775452816e-19,anc4,BS,NA
4,alpha,0.07124612086299331,0.019747684758553402,3.6078214602921572,0.0010389432167624724,anc3,S,NA
4,iopt,92.13875276878156,16.38431328993896,5.623595639211854,3.2360779881184648e-6,anc3,S,NA
4,umax,1.1684288046375144,0.06479216778594031,18.033488376214812,2.516461587581332e-18,anc3,S,NA
5,alpha,0.10293632517013251,0.04279253120541205,2.4054740925704805,0.021739059207686796,anc5,C,NA
5,iopt,233.96765839226225,617.8965570725453,0.3786518240217235,0.7073006582614114,anc5,C,NA
5,umax,0.9470446909997315,0.09184919414833577,10.310865541947612,5.295530435684976e-12,anc5,C,NA
6,alpha,0.08174787445727949,0.014374309266623501,5.687081927970923,1.6663048529878931e-6,cc1690,P,NA
6,iopt,94.64694591992024,13.250610443772139,7.1428366505487935,1.8303876408371597e-8,cc1690,P,NA
6,umax,1.079070751429906,0.03627019010672745,29.750898692691397,1.9343399327448994e-27,cc1690,P,NA
7,alpha,0.049830298875053636,0.01779099391515407,2.8008721217429584,0.008573890423156897,anc3,B,NA
7,iopt,235.2641889336358,301.49180885828804,0.7803336011832361,0.4409287911688219,anc3,B,NA
7,umax,0.9411421086998363,0.07673449860259386,12.264915075212635,1.2305684255360886e-13,anc3,B,NA
8,alpha,0.09483109046758109,0.014711004397372102,6.446268922638704,1.5661420734485936e-7,anc4,P,NA
8,iopt,85.93112976543371,7.702860276702959,11.1557430199441,2.1437356353404883e-13,anc4,P,NA
8,umax,1.6145086574338399,0.05295442635745763,30.488644075481837,8.09019310427578e-28,anc4,P,NA
9,alpha,0.06577544244449274,0.01754904373011094,3.748092685622188,7.067306371103701e-4,cc1690,BS,NA
9,iopt,208.25612225427597,163.68543095888302,1.2722947976145103,0.21243623082530885,cc1690,BS,NA
9,umax,1.2102385784809493,0.06434314913571088,18.8091287842991,7.320350647474525e-19,cc1690,BS,NA
anc2,alpha,0.28070844135258466,0.18094653236720526,1.5513336325391789,0.13008138572672506,anc2,none,NA
anc2,iopt,73.08304973160378,56.21828465297196,1.2999871871355695,0.2023497669573015,anc2,none,NA
anc2,umax,0.933919603523361,0.08061086190004702,11.585530553951518,2.366208911884206e-13,anc2,none,NA
anc3,alpha,0.053525829259022384,0.017769234077373543,3.0122755446831277,0.005449242662818131,anc3,none,NA
anc3,iopt,83.52771280029647,12.261320952208118,6.81229315551471,2.1194874382860763e-7,anc3,none,NA
anc3,umax,1.0085445867721337,0.06281589534719374,16.05556334424181,1.1777661786893182e-15,anc3,none,NA
anc4,alpha,0.07944159519061555,0.023552980781105303,3.3728892291350774,0.0018692571036066524,anc4,none,NA
anc4,iopt,69.42928737985041,10.522237459467947,6.598338770370335,1.4545691245879447e-7,anc4,none,NA
anc4,umax,1.0558106937206961,0.06740772715860649,15.663051377424944,4.0798627043156154e-17,anc4,none,NA
anc5,alpha,0.11542756252220387,0.030256042664847736,3.8150251108784508,5.153316735263788e-4,anc5,none,NA
anc5,iopt,245.42587355827723,409.0207913935663,0.600032758046582,0.552242968532746,anc5,none,NA
anc5,umax,1.2458736921332403,0.08555543828678328,14.56217999792194,1.1598931336528027e-16,anc5,none,NA
cc1690,alpha,0.055332583062621676,0.014035432040422778,3.94234982601611,4.2868390765530597e-4,cc1690,none,NA
cc1690,iopt,84.16282415722249,10.183520772534767,8.264609660758184,2.4624243693381162e-9,cc1690,none,NA
cc1690,umax,1.1314347349313312,0.060745824342907546,18.625720321851773,2.1708391433469394e-18,cc1690,none,NA
