file_name,path,plate,well,date_time,RFU,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,temperature,population_id,round,keep,inoculation,state,n,cell_count,cells_per_ml
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,B02,2018-09-26T22:15:42Z,9,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,20,25_B02,single,yes,yes,time0,27,27,1080
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,C02,2018-09-26T22:15:42Z,15,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,20,25_C02,single,yes,yes,time0,7,7,280
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,D02,2018-09-26T22:15:42Z,13,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,20,25_D02,single,yes,yes,time0,11,11,440
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,E02,2018-09-26T22:15:42Z,15,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,20,25_E02,single,yes,yes,time0,14,14,560
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,F02,2018-09-26T22:15:42Z,10,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,Anc4,NA,20,25_F02,single,yes,yes,time0,2,2,80
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,G02,2018-09-26T22:15:42Z,8,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,20,25_G02,single,yes,yes,time0,7,7,280
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,B03,2018-09-26T22:15:42Z,15,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,20,25_B03,single,yes,yes,time0,11,11,440
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,C03,2018-09-26T22:15:42Z,20,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,20,25_C03,single,yes,yes,time0,6,6,240
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,D03,2018-09-26T22:15:42Z,9,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,20,25_D03,single,yes,yes,time0,20,20,800
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,E03,2018-09-26T22:15:42Z,7,E03_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,20,25_E03,single,yes,yes,time0,NA,0,0
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,F03,2018-09-26T22:15:42Z,2,F03_combo_NA_NA,NA,blank,NA,combo,NA,COMBO,NA,20,25_F03,single,yes,yes,time0,1,1,40
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate25,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,25,G03,2018-09-26T22:15:42Z,15,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,20,25_G03,single,yes,yes,time0,15,15,600
