well_plate,mu,n_obs,slope_r2,best.model_r2,best.model,best.se,IC_method,population,nitrate_concentration
B02_1,0.5494993422272065,8,0.7935165759264768,0.7935165759264768,gr,0.11443428140331964,AICc,25,5
B02_10,1.2753310579219566,6,0.9690521079014865,0.9782892201466867,gr.sat,0.14890566379849665,AICc,25,40
B02_11,1.1518879030922125,8,0.9757857506993161,0.9757857506993161,gr,0.07407861619184149,AICc,28,40
B02_12,0.9099010357132258,8,0.8654351688393632,0.8654351688393632,gr,0.14647619497433378,AICc,15,40
B02_13,1.4173135210108077,7,0.9795154315748099,0.9829907248857649,gr.sat,0.10960491080027217,AICc,25,60
B02_14,1.169999529238191,8,0.8980053066960381,0.8980053066960381,gr,0.16097535756926673,AICc,28,60
B02_15,0.9804487976515602,8,0.8076817872943421,0.8076817872943421,gr,0.1953166897692709,AICc,15,60
B02_16,3.1556616328415146,3,0.9975269400745449,0.9977442966246198,gr.lagsat,0.16174218518015282,AICc,25,80
B02_17,1.1633514383738892,8,0.886651363450489,0.886651363450489,gr,0.1698114666830311,AICc,28,80
B02_18,0.9837013324933106,8,0.8334074808902837,0.8334074808902837,gr,0.17955052731508997,AICc,15,80
B02_19,1.124684913542812,8,0.8718607525159157,0.8718607525159157,gr,0.17602435636484973,AICc,25,100
B02_2,0.7831087124645102,5,0.9741338351613488,0.9898878708938382,gr.sat,0.057863138141670635,AICc,28,5
B02_20,1.1559772503610992,8,0.9258271431008166,0.9258271431008166,gr,0.1335768540663042,AICc,28,100
B02_21,2.021448853701471,5,0.9166378612247772,0.9623115865571238,gr.sat,0.2783886137910957,AICc,15,100
B02_22,1.623854513539735,8,0.9193415672720086,0.9193415672720086,gr,0.19636221965441567,AICc,25,400
B02_23,1.531071233779995,8,0.9333347554314214,0.9333347554314214,gr,0.16705165819325665,AICc,28,400
B02_24,1.3690310090578202,8,0.9258124198899598,0.9258124198899598,gr,0.15821285271552088,AICc,15,400
B02_25,1.3488639103330762,8,0.9337775168006287,0.9337775168006287,gr,0.14664711864139296,AICc,25,600
B02_26,1.4134198989526776,8,0.9626212806644588,0.9626212806644588,gr,0.11370512911054466,AICc,28,600
B02_27,2.1512134316844755,5,0.9513980620834882,0.9638115449935009,gr.sat,0.25853430107663855,AICc,15,600
B02_28,1.591775011608928,8,0.9895539064514939,0.9927211287275802,gr.sat,0.06676716480663657,AICc,25,1000
B02_29,1.5255285578198046,7,0.8998707981248492,0.8998707981248492,gr,0.22757556925348957,AICc,28,1000
B02_3,0.2742048813290735,8,0.8588935864626359,0.8588935864626359,gr,0.04537360160420838,AICc,15,5
B02_30,1.4217235625069395,8,0.9371428788290219,0.9371428788290219,gr,0.15031899882274652,AICc,15,1000
B02_4,1.0868416800083467,5,0.9149099040206761,0.9427254904590354,gr.sat,0.1615282449323661,AICc,25,10
B02_5,0.7569953558238476,8,0.8339243830341471,0.8339243830341471,gr,0.13791363044515492,AICc,28,10
B02_6,0.36950786750919606,8,0.6802459619209332,0.6802459619209332,gr,0.10342442075903356,AICc,15,10
B02_7,0.8139977260350093,8,0.922512383861685,0.922512383861685,gr,0.09631138187777359,AICc,25,20
B02_8,0.8418467742876954,8,0.9665396065190313,0.9665396065190313,gr,0.06394596141713647,AICc,28,20
B02_9,0.6169678814468381,8,0.7841888836323718,0.7841888836323718,gr,0.13213366933686146,AICc,15,20
B03_1,0.5060885410251457,8,0.8537934559802012,0.8537934559802012,gr,0.085498377597785,AICc,19,5
B03_10,1.0058046017051598,8,0.909591291979527,0.909591291979527,gr,0.129455342360273,AICc,19,40
B03_11,1.0224751778268413,8,0.947472825880325,0.947472825880325,gr,0.09828467037726765,AICc,4,40
B03_12,1.111674977243503,8,0.9009803606264408,0.9009803606264408,gr,0.150454510814156,AICc,3,40
B03_13,1.1535401910860195,8,0.9302325988865895,0.9302325988865895,gr,0.1289696736158739,AICc,19,60
B03_14,1.1058299133887224,8,0.9050495455050842,0.9050495455050842,gr,0.14622615322318971,AICc,4,60
B03_15,1.1087418014778214,8,0.9416231633622272,0.9416231633622272,gr,0.11270326776703486,AICc,3,60
B03_16,1.0812590917444656,8,0.8704462805376373,0.8704462805376373,gr,0.17029743359168847,AICc,19,80
B03_17,1.493580199839692,5,0.931192785827422,0.9672549699476852,gr.sat,0.18218868801444746,AICc,4,80
B03_18,1.8273940183267918,5,0.9671777616941326,0.967670282935624,gr.sat,0.20180948199700846,AICc,3,80
B03_19,1.0742298519144857,8,0.9092917561168232,0.9092917561168232,gr,0.1385138958305291,AICc,19,100
B03_2,0.6109314444572231,8,0.9225034848166408,0.9225034848166408,gr,0.07228928558281696,AICc,4,5
B03_20,0.9982259924945254,8,0.8134897973095978,0.8134897973095978,gr,0.19513199770484096,AICc,4,100
B03_21,1.8294378076819324,5,0.8868847842255467,0.9412948204946777,gr.sat,0.303297365373391,AICc,3,100
