well_plate,phosphate_concentration,population,cell_count,file_name,path,well,plate,date_time,RFU,plate_key,acclimation_level,p,phosphate_level,multitron,slot,population_new_color,start_time,days,size,ancestor_id,treatment,note,cells_per_ml
B02_1,0.5,25,109,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,1,2019-05-27T13:21:49Z,79.200000000000003,1,LP,P,1,5,15,no,2019-05-24T09:36:16Z,3.1566319444444444,79.2,anc2,BS,NA,30331.29197129484
C02_1,0.5,6,92,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,1,2019-05-27T13:21:49Z,89.900000000000006,1,LP,P,1,5,15,no,2019-05-24T09:36:16Z,3.1566319444444444,89.9,cc1690,P,NA,25600.72349870757
D02_1,0.5,24,54,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,1,2019-05-27T13:21:49Z,80.200000000000003,1,LP,P,1,5,15,no,2019-05-24T09:36:16Z,3.1566319444444444,80.2,anc4,C,NA,15026.511618806619
E02_1,0.5,1,88,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,1,2019-05-27T13:21:49Z,88.900000000000006,1,LP,P,1,5,15,no,2019-05-24T09:36:16Z,3.1566319444444444,88.9,anc2,N,NA,24487.648563981154
F02_1,0.5,25,65,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,1,2019-05-27T13:21:49Z,70.5,1,LP,P,1,5,15,no,2019-05-24T09:36:16Z,3.1566319444444444,70.5,anc2,BS,NA,18087.467689304263
G02_1,0.5,11,33,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,1,2019-05-27T13:21:49Z,79.900000000000006,1,LP,P,1,5,15,no,2019-05-24T09:36:16Z,3.1566319444444444,79.9,anc4,N,NA,9182.868211492932
B02_10,4,25,1157,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,10,2019-05-24T11:10:42Z,48.100000000000001,1,LP,P,4,5,18,no,2019-05-24T11:10:42Z,0,48.1,anc2,BS,NA,321956.9248696159
C02_10,4,6,906,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,10,2019-05-24T11:10:42Z,42.799999999999997,1,LP,P,4,5,18,no,2019-05-24T11:10:42Z,0,42.8,cc1690,P,NA,252111.47271553325
D02_10,4,24,957,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,10,2019-05-24T11:10:42Z,50.899999999999999,1,LP,P,4,5,18,no,2019-05-24T11:10:42Z,0,50.9,anc4,C,NA,266303.17813329503
E02_10,4,1,859,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,10,2019-05-24T11:10:42Z,65.900000000000006,1,LP,P,4,5,18,no,2019-05-24T11:10:42Z,0,65.9,anc2,N,NA,239032.84223249787
