well_plate,mu,best.model,best.se,population,nitrate_concentration
B02_1,0.5494993422272065,gr,0.11443428140331964,25,5
B02_10,1.2753310579219566,gr.sat,0.14890566379849665,25,40
B02_11,1.1518879030922125,gr,0.07407861619184149,28,40
B02_12,0.9099010357132258,gr,0.14647619497433378,15,40
B02_13,1.4173135210108077,gr.sat,0.10960491080027217,25,60
B02_14,1.169999529238191,gr,0.16097535756926673,28,60
B02_15,0.9804487976515602,gr,0.1953166897692709,15,60
B02_16,3.1556616328415146,gr.lagsat,0.16174218518015282,25,80
B02_17,1.1633514383738892,gr,0.1698114666830311,28,80
B02_18,0.9837013324933106,gr,0.17955052731508997,15,80
B02_19,1.124684913542812,gr,0.17602435636484973,25,100
B02_2,0.7831087124645102,gr.sat,0.057863138141670635,28,5
B02_20,1.1559772503610992,gr,0.1335768540663042,28,100
B02_21,2.021448853701471,gr.sat,0.2783886137910957,15,100
B02_22,1.623854513539735,gr,0.19636221965441567,25,400
B02_23,1.531071233779995,gr,0.16705165819325665,28,400
B02_24,1.3690310090578202,gr,0.15821285271552088,15,400
B02_25,1.3488639103330762,gr,0.14664711864139296,25,600
B02_26,1.4134198989526776,gr,0.11370512911054466,28,600
B02_27,2.1512134316844755,gr.sat,0.25853430107663855,15,600
B02_28,1.591775011608928,gr.sat,0.06676716480663657,25,1000
B02_29,1.5255285578198046,gr,0.22757556925348957,28,1000
B02_3,0.2742048813290735,gr,0.04537360160420838,15,5
B02_30,1.4217235625069395,gr,0.15031899882274652,15,1000
B02_4,1.0868416800083467,gr.sat,0.1615282449323661,25,10
B02_5,0.7569953558238476,gr,0.13791363044515492,28,10
B02_6,0.36950786750919606,gr,0.10342442075903356,15,10
B02_7,0.8139977260350093,gr,0.09631138187777359,25,20
B02_8,0.8418467742876954,gr,0.06394596141713647,28,20
B02_9,0.6169678814468381,gr,0.13213366933686146,15,20
B03_1,0.5060885410251457,gr,0.085498377597785,19,5
B03_10,1.0058046017051598,gr,0.129455342360273,19,40
B03_11,1.0224751778268413,gr,0.09828467037726765,4,40
B03_12,1.111674977243503,gr,0.150454510814156,3,40
