replicate,population,name,i_star,ancestor_id,treatment,note
1,1,1,1.3848731712789835,anc2,N,NA
1,10,1,1.2487881051651482,anc2,L,NA
1,11,1,0.9046615004137809,anc4,N,NA
1,14,1,1.584060776754697,anc2,S,NA
1,15,1,0.7952132596279046,anc4,S,NA
1,16,1,0.820138726873148,anc5,B,NA
1,17,1,1.591480702221403,anc2,P,NA
1,18,1,1.3221023194127994,anc5,S,NA
1,19,1,1.42597031518073,anc2,B,NA
1,2,1,0.7687585869276257,anc3,BS,NA
1,20,1,2.088180444372542,anc4,L,NA
1,21,1,1.0339048796146104,anc4,B,NA
1,22,1,1.5767254933443866,cc1690,C,NA
1,23,1,1.2994489289590239,anc5,L,NA
1,24,1,1.5272111446013032,anc4,C,NA
1,25,1,1.1277675002855083,anc2,BS,NA
1,26,1,1.045037293206283,anc3,L,NA
1,27,1,1.2066020116195404,anc3,N,NA
1,28,1,0.8157384867414826,anc5,P,NA
1,29,1,2.3572824813326836,anc3,P,NA
1,3,1,1.3088554661139171,cc1690,N,NA
1,30,1,0.7762258203045641,anc5,N,NA
1,31,1,1.1994099989080396,cc1690,B,NA
1,32,1,1.3931510000098901,cc1690,S,NA
1,33,1,1.9379866226118525,cc1690,L,NA
1,35,1,1.3672669740515924,anc4,BS,NA
1,4,1,1.2202861565370282,anc3,S,NA
1,5,1,2.8371982303195216,anc5,C,NA
1,6,1,1.913127343210499,cc1690,P,NA
1,7,1,2.1913100016532168,anc3,B,NA
1,8,1,0.6270266150037563,anc4,P,NA
1,9,1,0.9132351519292269,cc1690,BS,NA
1,anc2,1,1.483366236490045,anc2,none,NA
1,anc3,1,2.927757295008689,anc3,none,NA
1,anc4,1,1.485784880593143,anc4,none,NA
1,anc5,1,1.1522075852471363,anc5,none,NA
1,cc1690,1,1.5531315236113066,cc1690,none,NA
10,1,1,1.325797558208038,anc2,N,NA
10,10,1,1.1273232907377304,anc2,L,NA
10,11,1,0.8897250124605713,anc4,N,NA
10,14,1,1.5286043869600923,anc2,S,NA
10,15,1,0.8470406952152915,anc4,S,NA
10,16,1,0.8788978271572091,anc5,B,NA
10,17,1,1.5251797391804247,anc2,P,NA
10,18,1,1.4104965761067811,anc5,S,NA
10,19,1,1.2823209004842526,anc2,B,NA
10,2,1,0.733924449338862,anc3,BS,NA
10,20,1,1.8082996442887256,anc4,L,NA
10,21,1,0.8998890579548519,anc4,B,NA
10,22,1,1.4063040076699718,cc1690,C,NA
10,23,1,1.1691041045748833,anc5,L,NA
10,24,1,1.4891284130711908,anc4,C,NA
10,25,1,1.2192692497731081,anc2,BS,NA
10,26,1,0.9890005229434972,anc3,L,NA
10,27,1,1.2373549973260682,anc3,N,NA
10,28,1,0.7014514752119237,anc5,P,NA
10,29,1,2.222155729141351,anc3,P,NA
10,3,1,1.4186527097983204,cc1690,N,NA
10,30,1,0.7062497204368737,anc5,N,NA
10,31,1,1.0924648071579053,cc1690,B,NA
10,32,1,1.570496034975299,cc1690,S,NA
10,33,1,1.784251611420249,cc1690,L,NA
10,35,1,1.2769070287854403,anc4,BS,NA
10,4,1,1.3958923218466242,anc3,S,NA
10,5,1,2.4011237131273875,anc5,C,NA
10,6,1,1.9006360728519076,cc1690,P,NA
10,7,1,1.8987128585313184,anc3,B,NA
10,8,1,0.591771823529384,anc4,P,NA
10,9,1,0.769439467714881,cc1690,BS,NA
10,anc2,1,1.5624125635593729,anc2,none,NA
10,anc3,1,2.5932926530367117,anc3,none,NA
10,anc4,1,1.5132917776924955,anc4,none,NA
10,anc5,1,1.1328672544771512,anc5,none,NA
10,cc1690,1,1.5376035629564784,cc1690,none,NA
100,1,1,1.2526517416085143,anc2,N,NA
100,10,1,1.3843485155128368,anc2,L,NA
100,11,1,1.0074796290188235,anc4,N,NA
100,14,1,1.5685160592610219,anc2,S,NA
100,15,1,0.87128875175787035,anc4,S,NA
100,16,1,0.7422665504704065,anc5,B,NA
100,17,1,1.9513698705881701,anc2,P,NA
100,18,1,1.4573596736406278,anc5,S,NA
100,19,1,1.172747596151292,anc2,B,NA
100,2,1,0.680462578952287,anc3,BS,NA
100,20,1,1.891888377642252,anc4,L,NA
100,21,1,1.1497158300983465,anc4,B,NA
100,22,1,1.3089443636842482,cc1690,C,NA
100,23,1,1.2709624557778194,anc5,L,NA
100,24,1,1.4963133047540278,anc4,C,NA
100,25,1,1.2289366662772547,anc2,BS,NA
100,26,1,0.9229624871006354,anc3,L,NA
100,27,1,1.1965587326809135,anc3,N,NA
100,28,1,0.7754352264420665,anc5,P,NA
100,29,1,2.5374052239417173,anc3,P,NA
100,3,1,1.397761947332546,cc1690,N,NA
100,30,1,0.7014070057851416,anc5,N,NA
100,31,1,1.0651118866321245,cc1690,B,NA
100,32,1,1.6009477247467379,cc1690,S,NA
100,33,1,1.9401541023647773,cc1690,L,NA
100,35,1,1.356303167235887,anc4,BS,NA
100,4,1,1.427490258517857,anc3,S,NA
100,5,1,2.6488914820026106,anc5,C,NA
100,6,1,1.7187702136865335,cc1690,P,NA
100,7,1,1.9061428497471657,anc3,B,NA
100,8,1,0.472886283798939,anc4,P,NA
100,9,1,0.7734104687688141,cc1690,BS,NA
100,anc2,1,1.7333325518255163,anc2,none,NA
100,anc3,1,2.6544955826062777,anc3,none,NA
100,anc4,1,1.5448950630479232,anc4,none,NA
100,anc5,1,1.039659449011759,anc5,none,NA
100,cc1690,1,1.3503612780860639,cc1690,none,NA
101,1,1,1.5561276098783368,anc2,N,NA
101,10,1,1.2486888663278144,anc2,L,NA
101,11,1,1.0762617562989512,anc4,N,NA
101,14,1,1.4809856947555602,anc2,S,NA
101,15,1,1.0626442469508193,anc4,S,NA
101,16,1,1.1255579260527824,anc5,B,NA
101,17,1,1.4581934201994242,anc2,P,NA
101,18,1,1.2886591779752186,anc5,S,NA
101,19,1,1.308372278567983,anc2,B,NA
101,2,1,0.8459197622363025,anc3,BS,NA
101,20,1,1.3889033700060958,anc4,L,NA
101,21,1,1.1781790688211657,anc4,B,NA
101,22,1,1.561356051242564,cc1690,C,NA
101,23,1,1.284780980335254,anc5,L,NA
101,24,1,1.6266045699007177,anc4,C,NA
101,25,1,0.9631914322722746,anc2,BS,NA
101,26,1,0.9719085761776818,anc3,L,NA
101,27,1,1.2370515632942678,anc3,N,NA
101,28,1,0.7958216306040724,anc5,P,NA
101,29,1,2.0993132911729226,anc3,P,NA
101,3,1,1.419752644671955,cc1690,N,NA
101,30,1,0.762385281036102,anc5,N,NA
101,31,1,1.174921311312334,cc1690,B,NA
101,32,1,1.434633218820469,cc1690,S,NA
101,33,1,2.27063896451589,cc1690,L,NA
101,35,1,1.3292226830126248,anc4,BS,NA
101,4,1,1.3430900907216072,anc3,S,NA
101,5,1,2.6528372188572904,anc5,C,NA
101,6,1,1.7935560701341966,cc1690,P,NA
101,7,1,2.0431133196490534,anc3,B,NA
101,8,1,0.5555264312423955,anc4,P,NA
101,9,1,0.8884756311561609,cc1690,BS,NA
101,anc2,1,1.6093585784230038,anc2,none,NA
101,anc3,1,2.8199510378827166,anc3,none,NA
101,anc4,1,1.661052057729457,anc4,none,NA
101,anc5,1,1.1151407554163064,anc5,none,NA
101,cc1690,1,1.3196560329233609,cc1690,none,NA
102,1,1,1.3923542767955428,anc2,N,NA
102,10,1,1.2314091468757768,anc2,L,NA
102,11,1,0.9050337260714864,anc4,N,NA
102,14,1,1.252283497935914,anc2,S,NA
102,15,1,0.8106555170159228,anc4,S,NA
102,16,1,0.9557599815959938,anc5,B,NA
102,17,1,1.5441699790631145,anc2,P,NA
102,18,1,1.2954974714727627,anc5,S,NA
102,19,1,1.240262261181591,anc2,B,NA
102,2,1,0.7101321806982668,anc3,BS,NA
102,20,1,1.8403170489532037,anc4,L,NA
102,21,1,1.0484421403131918,anc4,B,NA
102,22,1,1.5397168886885506,cc1690,C,NA
102,23,1,1.2435752576440622,anc5,L,NA
102,24,1,1.225537237738242,anc4,C,NA
102,25,1,1.0716491828558237,anc2,BS,NA
102,26,1,1.029937459929039,anc3,L,NA
102,27,1,1.1028429867548428,anc3,N,NA
102,28,1,1.1571830506802572,anc5,P,NA
102,29,1,2.070444728306061,anc3,P,NA
102,3,1,1.4180925983106805,cc1690,N,NA
102,30,1,0.7171709003009544,anc5,N,NA
102,31,1,1.317489528969947,cc1690,B,NA
102,32,1,1.4076475436092377,cc1690,S,NA
102,33,1,1.855905551367131,cc1690,L,NA
102,35,1,1.5467992472567442,anc4,BS,NA
102,4,1,1.1679763700938761,anc3,S,NA
102,5,1,2.880188566538822,anc5,C,NA
102,6,1,1.8841545565263553,cc1690,P,NA
102,7,1,2.0058664899294687,anc3,B,NA
102,8,1,0.6035817072693873,anc4,P,NA
102,9,1,0.7584862422948274,cc1690,BS,NA
102,anc2,1,1.533673264814387,anc2,none,NA
102,anc3,1,2.738913085851009,anc3,none,NA
102,anc4,1,1.5691336258891289,anc4,none,NA
102,anc5,1,1.2780886766597628,anc5,none,NA
102,cc1690,1,1.4646330631950786,cc1690,none,NA
103,1,1,1.075764064271776,anc2,N,NA
103,10,1,1.1967991863162082,anc2,L,NA
103,11,1,1.0096454274117437,anc4,N,NA
103,14,1,1.3213078677474377,anc2,S,NA
103,15,1,0.8760541726568556,anc4,S,NA
103,16,1,1.1043585763676549,anc5,B,NA
103,17,1,1.630288394852954,anc2,P,NA
103,18,1,1.382789579547254,anc5,S,NA
103,19,1,1.501844806341506,anc2,B,NA
103,2,1,0.7288263603626011,anc3,BS,NA
103,20,1,1.6986254648334336,anc4,L,NA
103,21,1,0.8318496742294189,anc4,B,NA
103,22,1,1.278341536686276,cc1690,C,NA
103,23,1,1.2844347589264427,anc5,L,NA
103,24,1,1.5552981732367959,anc4,C,NA
103,25,1,1.121750204717997,anc2,BS,NA
103,26,1,0.9538890476824431,anc3,L,NA
103,27,1,1.3733987629384823,anc3,N,NA
103,28,1,0.8917993535281474,anc5,P,NA
103,29,1,2.3699390778285645,anc3,P,NA
103,3,1,1.451241195658447,cc1690,N,NA
103,30,1,0.9007824607767783,anc5,N,NA
103,31,1,0.991896751856211,cc1690,B,NA
103,32,1,1.5867727848935653,cc1690,S,NA
103,33,1,1.8251935094000193,cc1690,L,NA
103,35,1,1.331340569880676,anc4,BS,NA
103,4,1,1.1871025945993756,anc3,S,NA
103,5,1,2.3408545704629518,anc5,C,NA
103,6,1,1.9066957754489997,cc1690,P,NA
103,7,1,1.8435316760919838,anc3,B,NA
103,8,1,0.6475731342553472,anc4,P,NA
103,9,1,0.7817642881526818,cc1690,BS,NA
103,anc2,1,1.4938045155183237,anc2,none,NA
103,anc3,1,2.494998985197709,anc3,none,NA
103,anc4,1,1.5115631274921948,anc4,none,NA
103,anc5,1,1.1427231899470296,anc5,none,NA
103,cc1690,1,1.3277653993189968,cc1690,none,NA
104,1,1,1.1718074106586627,anc2,N,NA
104,10,1,1.1587443269124174,anc2,L,NA
104,11,1,0.791920568847138,anc4,N,NA
104,14,1,1.4306109088889067,anc2,S,NA
104,15,1,0.8509598903139508,anc4,S,NA
104,16,1,1.2537759270440634,anc5,B,NA
104,17,1,1.635580399951765,anc2,P,NA
104,18,1,1.574613350386084,anc5,S,NA
104,19,1,1.2332334793746393,anc2,B,NA
104,2,1,0.7529583996381762,anc3,BS,NA
104,20,1,1.8103953653699294,anc4,L,NA
104,21,1,0.9557111794013372,anc4,B,NA
104,22,1,1.4048001507013692,cc1690,C,NA
104,23,1,1.159888888559639,anc5,L,NA
104,24,1,1.5518982363201181,anc4,C,NA
104,25,1,1.1254761713791492,anc2,BS,NA
104,26,1,0.8965725790021107,anc3,L,NA
104,27,1,1.097535782955793,anc3,N,NA
104,28,1,0.9386257200734937,anc5,P,NA
104,29,1,2.2792812433305993,anc3,P,NA
104,3,1,1.2733511896370784,cc1690,N,NA
104,30,1,0.7234218593354736,anc5,N,NA
104,31,1,1.190993013178798,cc1690,B,NA
104,32,1,1.5017680416185009,cc1690,S,NA
104,33,1,1.9651384467626256,cc1690,L,NA
104,35,1,1.4247638616171572,anc4,BS,NA
104,4,1,1.0776155878250715,anc3,S,NA
104,5,1,2.626582500370804,anc5,C,NA
104,6,1,1.9252742753231473,cc1690,P,NA
104,7,1,2.1460496505790108,anc3,B,NA
104,8,1,0.7335622762786237,anc4,P,NA
104,9,1,0.8384583451191397,cc1690,BS,NA
104,anc2,1,1.3737261026016139,anc2,none,NA
104,anc3,1,2.637233690123401,anc3,none,NA
104,anc4,1,1.6897309759098287,anc4,none,NA
104,anc5,1,1.1701824528578755,anc5,none,NA
104,cc1690,1,1.4529756412484918,cc1690,none,NA
105,1,1,1.3402391607849589,anc2,N,NA
105,10,1,1.2441688814412226,anc2,L,NA
105,11,1,1.1598278659699752,anc4,N,NA
105,14,1,1.5394272003057858,anc2,S,NA
105,15,1,0.8545251514379755,anc4,S,NA
105,16,1,0.7594742083870627,anc5,B,NA
105,17,1,1.7076180469479345,anc2,P,NA
105,18,1,1.2239249908722412,anc5,S,NA
105,19,1,1.2815190296943435,anc2,B,NA
105,2,1,0.8111112710888284,anc3,BS,NA
105,20,1,1.7932810801211445,anc4,L,NA
105,21,1,1.0495270786213498,anc4,B,NA
