ancestor_id,treatment,population,term,estimate,std.error,statistic,p.value
cc1690,B,31,ks,44.052627555987705,6.066984761496552,7.261041404877566,1.1330457294818641e-11
cc1690,BS,9,umax,2.1702497762415356,0.0318049468000824,68.23623349798885,1.4161861276679763e-130
cc1690,BS,9,ks,46.75308995732665,5.011060263355224,9.329979585203088,3.923935335588486e-17
cc1690,C,22,umax,2.035011009781523,0.031247591541015703,65.12537157016918,1.3382699263503304e-125
cc1690,C,22,ks,32.67871038061263,3.51362985188272,9.30055576659627,5.258839712444192e-17
cc1690,L,33,umax,1.7839059821588577,0.04383859201108598,40.69259299449536,1.5300322879304385e-94
cc1690,L,33,ks,30.389089503818784,4.930825268814747,6.163083834265253,4.3235664994958685e-9
cc1690,N,3,umax,1.808812064098795,0.029026213536418276,62.31650097348507,1.4307376369139626e-126
cc1690,N,3,ks,22.892029648784078,2.561016128593998,8.938651105392234,3.8765120701262874e-16
cc1690,none,cc1690,umax,1.8739652101691062,0.030735218064081884,60.97126775746157,1.3379441317337437e-122
cc1690,none,cc1690,ks,28.40623865217282,3.1296622556420486,9.076455007553298,1.8909250881209395e-16
cc1690,P,6,umax,1.822903623893985,0.04282837272657318,42.56299055609346,5.7001463084360193e-101
cc1690,P,6,ks,26.988655903143627,3.79898059119808,7.104183676451015,2.1867603386465423e-11
cc1690,S,32,umax,1.7144532556939194,0.03252249241156306,52.71592453610234,5.585450116165798e-113
cc1690,S,32,ks,18.633758244225614,2.5597057966361554,7.279648414561244,9.418024697700512e-12
