ancestor_id,treatment,population,term,estimate,std.error,statistic,p.value
anc2,B,19,umax,1.9085490325086591,0.02945281288963181,64.80022942666098,9.845123242922175e-136
anc2,B,19,ks,40.01451244036974,4.052511832490469,9.874002617230815,5.743764796345585e-19
anc2,BS,25,umax,1.8341595125459171,0.031105775806970996,58.96523925099694,4.035408514504593e-127
anc2,BS,25,ks,20.83531494998231,2.3910347125374125,8.713932441353588,1.2021022181139611e-15
anc2,L,10,umax,1.852788624691975,0.04133152220943367,44.82749547194483,1.1941205271180818e-102
anc2,L,10,ks,36.108672191971976,5.46137422383153,6.61164584444815,3.783035488284519e-10
anc2,N,1,umax,1.8385310785583155,0.029647291329740994,62.01345877132369,1.4646833246883065e-132
anc2,N,1,ks,31.94668219531624,3.2570854041289015,9.808364912635838,8.602490813797032e-19
anc2,none,anc2,umax,1.8932003564416784,0.034484876516117736,54.899438469986215,3.402642439141731e-115
anc2,none,anc2,ks,24.096680154022806,3.1843102333668973,7.567315490031394,1.833210276869129e-12
anc2,P,17,umax,1.6973480059718802,0.03280204297247947,51.74519182832409,8.484533602730842e-111
anc2,P,17,ks,5.952263990711923,1.2212149251380189,4.874051133987911,2.370952382799813e-6
anc2,S,14,umax,1.7618178322392024,0.032803417606346155,53.70836214024117,3.282264242961832e-117
anc2,S,14,ks,33.08672229078805,4.221945009858252,7.8368434959551765,3.144405925503744e-13
anc3,B,7,umax,1.9013809845549225,0.03971342824570089,47.877533331833504,1.2861511249288815e-107
anc3,B,7,ks,43.18476054549392,6.060131738238059,7.126043196884296,2.1151231915749822e-11
anc3,BS,2,umax,2.1598173875971947,0.032067221510768955,67.35280719197563,1.3892859620394037e-132
anc3,BS,2,ks,39.779758413425704,3.840641731957627,10.35758115171795,3.877674295263446e-20
anc3,L,26,umax,1.9939953133763177,0.031616282971393704,63.06861926749825,4.3732061256267966e-126
anc3,L,26,ks,29.392472958294963,3.406811105733803,8.627561683366073,2.9661371404296517e-15
anc3,N,27,umax,2.0590380309763283,0.04809498337712176,42.81190856915421,3.0004804488950273e-98
anc3,N,27,ks,35.17390604734591,5.575894683248156,6.308208466171363,2.00857393650497e-9
anc3,none,anc3,umax,1.8249188483368979,0.03699062121260324,49.33463641630115,1.588865870571587e-109
anc3,none,anc3,ks,24.751526001997792,3.4556523666863286,7.162620360951516,1.7392653082373903e-11
anc3,P,29,umax,1.668063863686534,0.031174564791454456,53.50720611002025,1.670847242146976e-114
anc3,P,29,ks,14.51219721698825,2.1249646353934053,6.829382934319533,1.1886922394644364e-10
anc3,S,4,umax,2.146319903079199,0.03354166992965579,63.989655481688914,1.2888306505350357e-128
anc3,S,4,ks,36.93664783574498,4.043593313588986,9.13460997959782,1.1160960983554984e-16
anc4,B,21,umax,1.8502708589038046,0.04226744608264008,43.77531718585998,1.483229017088817e-99
anc4,B,21,ks,19.751722668262918,3.1315106226864313,6.3074103996870665,2.036018775836247e-9
anc4,BS,35,umax,1.6666293235761456,0.029843431392498235,55.84576725299382,5.296263450956235e-119
anc4,BS,35,ks,18.443268275261588,2.219815563670605,8.308468765199791,1.8879554723230384e-14
anc4,C,24,umax,1.9962299608824723,0.04450854987428548,44.85048303125645,1.2006182340206014e-106
anc4,C,24,ks,50.996356619167706,7.205109554281986,7.07780447125341,2.3935684295277587e-11
anc4,L,20,umax,1.8552683760556161,0.04657270625432154,39.83595812372324,3.5465306487971044e-94
anc4,L,20,ks,28.849152660695587,4.684548600720228,6.158363402668117,4.285669294366798e-9
anc4,N,11,umax,1.9181129925030238,0.035646030771713196,53.810002151070826,9.625352893266864e-116
anc4,N,11,ks,27.09481095375893,3.3346181910490507,8.125311325442949,5.929183722717572e-14
anc4,none,anc4,umax,1.8458546831730602,0.0319725184909729,57.732539389858125,3.868326478861097e-124
anc4,none,anc4,ks,33.282527994762404,3.6640029730222943,9.083652016610928,1.217342080999908e-16
anc4,P,8,umax,1.7781398627755003,0.02667292741384729,66.66459347287004,1.6679562347896744e-139
anc4,P,8,ks,30.08492083303793,2.8399763905629065,10.593370048078059,3.877044515972149e-21
anc4,S,15,umax,1.714429072489838,0.03079819956320897,55.666535602875534,9.365737635949413e-119
anc4,S,15,ks,19.098812904247882,2.4797660086531335,7.701860916555293,7.447992571922868e-13
anc5,B,16,umax,1.813636570795337,0.04846264232008745,37.4233942676212,1.4564695815179412e-86
anc5,B,16,ks,26.169505259207938,4.373665393858782,5.983426463294029,1.1634056353227367e-8
anc5,C,5,umax,1.9801248327944958,0.03703658721149238,53.46401982146095,7.724052939933023e-119
anc5,C,5,ks,48.302185297150146,5.987483033619577,8.06719368154106,7.045188381874346e-14
anc5,L,23,umax,1.9496379716330885,0.03632823438338122,53.66729225147737,9.939527096926686e-115
anc5,L,23,ks,23.2515436252785,3.051902880883153,7.6187036523750775,1.2854057254703602e-12
anc5,N,30,umax,1.8496196899524746,0.031256960569442216,59.17464962222593,2.339413619690263e-124
anc5,N,30,ks,27.963452374691855,3.0027928820931926,9.312481237533452,3.137048853774248e-17
anc5,none,anc5,umax,1.8361144323064882,0.033656758499908866,54.55410782685623,1.2107785450733331e-119
anc5,none,anc5,ks,30.435385543516087,3.6043901891039813,8.443976358475787,7.097485274105271e-15
anc5,P,28,umax,1.8774593621503846,0.04478020249537315,41.92610255267091,8.154268736833242e-95
anc5,P,28,ks,19.64988866992107,3.021785068652471,6.502741996366969,7.532300903448277e-10
anc5,S,18,umax,1.9288937065673677,0.02916117398771364,66.14595514501785,1.0300056347509413e-129
anc5,S,18,ks,28.12968767824374,2.9405648518033156,9.56608308128048,7.767848949023645e-18
cc1690,B,31,umax,2.0707878383767095,0.03844533984315109,53.863169029720865,1.5480167889333431e-112
