population,well_plate,term,estimate,std.error,statistic,p.value
25,B02_1,K,34.245053350604685,4.404576886393497,7.774879229919588,2.3830166628437731e-4
25,B02_1,r,1.338779286056764,0.2975178973363845,4.499827734877716,0.004104686632851957
6,C02_1,K,276.85218842800117,276.0707869479674,1.0028304388474867,0.3546562897266364
6,C02_1,r,0.7562543649485517,0.0829911000562355,9.11247548756562,9.814799698374581e-5
24,D02_1,K,4e3,309738.1832599127,0.012914132697173642,0.9901149969352405
24,D02_1,r,0.5812262082265689,0.14865565258315386,3.9098829955453396,0.007893463449200614
1,E02_1,K,59.18021623253817,10.296536553836159,5.747584726486454,0.0012070578678782258
1,E02_1,r,1.1151472139203111,0.1458833882053664,7.644100042086148,2.6168289004457207e-4
25,F02_1,K,64.24620531121847,7.7640751978533,8.274804619226511,1.6861513657586712e-4
25,F02_1,r,1.0605029615754813,0.10900958006429584,9.7285299232414,6.774741066101692e-5
11,G02_1,K,39.43467587843474,2.320754485717766,16.992179104304665,2.656782294823957e-6
11,G02_1,r,1.5372242725160292,0.12588978035087453,12.210874212597277,1.835800283355586e-5
25,B02_10,K,157.49274850641822,19.856846899600285,7.931407705499735,2.1341594595693778e-4
25,B02_10,r,1.5240337841347418,0.1330667790319116,11.453150029048597,2.6591179492391636e-5
6,C02_10,K,226.25929041028039,52.26847615646992,4.328790641092249,0.004935181390262266
6,C02_10,r,1.3076869955090573,0.11993886475203118,10.9029462485963,3.530774263963677e-5
24,D02_10,K,4e3,171233.69195733394,0.023359888782849315,0.982120707066702
24,D02_10,r,0.7239593230057858,0.2376977202557536,3.045714204691713,0.02263612260293628
1,E02_10,K,236.02584346683915,25.742227536691527,9.168819719677373,9.478997357407106e-5
1,E02_10,r,1.4256605044632236,0.06412421851915885,22.232793434157312,5.414803498481481e-7
25,F02_10,K,216.64236794787587,9.079558502426723,23.860451792889837,3.558594856325547e-7
25,F02_10,r,1.8220421069567676,0.04198468406505901,43.39778058430429,1.0020108335201362e-8
11,G02_10,K,192.74403832903863,15.070410853716657,12.789567597057527,1.4030776835177607e-5
11,G02_10,r,1.3644868588370103,0.051979219531201805,26.250622289893048,2.0164236708574992e-7
28,B02_11,K,884.8436218354183,372.20479277445935,2.3773031379840313,0.054970030523278125
28,B02_11,r,1.2488968793582185,0.05103876701778421,24.469573861826373,3.063211172180325e-7
21,C02_11,K,916.4503264842717,251.44117538287549,3.644790178413583,0.010773090456449768
21,C02_11,r,1.404293975497439,0.06325892402333752,22.199144186824395,5.463714718127797e-7
18,D02_11,K,152.92783035381785,15.461070493910011,9.89115407073882,6.164760471422887e-5
18,D02_11,r,1.6118926212071694,0.11391617614006944,14.149813273447776,7.78261191993283e-6
26,E02_11,K,196.86013957077856,38.99487189752576,5.048359694272246,0.0023374223219556766
26,E02_11,r,1.1562840805053987,0.10532015605912401,10.978753960982461,3.3928908057382696e-5
28,F02_11,K,100.27109460595598,6.753109625939191,14.848136660007313,5.870171076530689e-6
28,F02_11,r,1.877425471405679,0.16910119323812073,11.102378613981585,3.1812019584708014e-5
27,G02_11,K,4e3,147635.339839275,0.02709378394329331,0.9792636016913538
27,G02_11,r,0.8604288660842175,0.1977634160457024,4.350798966201998,0.004818391803357376
15,B02_12,K,150.21661317749985,25.46795064007321,5.898260731711079,0.0010548882168239274
15,B02_12,r,1.5097308714009787,0.22982310958454405,6.569099487558715,5.964992471107814e-4
10,C02_12,K,152.3423305360039,45.36888108903232,3.35785954776019,0.015270026372930526
10,C02_12,r,1.3461602160452588,0.19553419570656527,6.8845258047109965,4.6341336790759884e-4
29,D02_12,K,322.89138558651973,25.817761334792937,12.506560169931534,1.597876425941596e-5
29,D02_12,r,1.430934155122372,0.0431749525435085,33.142692019878496,5.020725281487206e-8
anc4,E02_12,K,141.24251916903302,41.33309940474646,3.4171770615588897,0.01419287024169461
anc4,E02_12,r,1.1721008584591777,0.1715574101956761,6.832120262962089,4.829506127040412e-4
15,F02_12,K,126.33360399180839,14.236568119588188,8.87388048373717,1.1398078974726592e-4
15,F02_12,r,1.3437167309316058,0.15412630451979184,8.718282937608842,1.258980026090448e-4
25,B02_13,K,215.88935398796374,31.75447164568209,6.79870716782403,4.959010740149132e-4
25,B02_13,r,1.7121138384307442,0.1744612086396282,9.813722212410743,6.44689672937641e-5
6,C02_13,K,329.99915328358907,121.44945722499041,2.7171727303173636,0.03477309725969306
6,C02_13,r,1.309179353093966,0.07940821074615445,16.486700062781182,3.173973127308556e-6
24,D02_13,K,4e3,94748.37964647617,0.0422170808083974,0.9676954739261403
24,D02_13,r,0.9631197083578417,0.1796538988631842,5.360973040119254,0.0017265199730557212
1,E02_13,K,263.2820509271775,51.6438630960004,5.098031695223195,0.0022257017667643765
1,E02_13,r,1.4888688657037437,0.11916654027660187,12.494017718798204,1.6072116391223233e-5
25,F02_13,K,291.9833380618932,18.891979218440618,15.45541283344658,4.640124392488641e-6
25,F02_13,r,1.7650825239991486,0.05605651150639219,31.48755562139956,6.816969422737628e-8
11,G02_13,K,280.8931265290263,21.84338839433611,12.859411802697268,1.3593388332978287e-5
11,G02_13,r,1.7098213047479358,0.05253049982248541,32.549115476263864,5.59280971724094e-8
28,B02_14,K,189.59189631567344,39.50066270472462,4.799714317020728,0.0030016227330259162
28,B02_14,r,1.672627763835329,0.24818020690233927,6.739569543890019,5.198122670348931e-4
21,C02_14,K,898.4895849010936,103.3692147422807,8.692042279136981,1.2804670063136267e-4
21,C02_14,r,1.6058822648559525,0.045356918616385876,35.4054533209803,3.384066420670239e-8
