curve_id,mu,best.model,best.se,unique_id,plate,sheet,well,RFU,population,salt_level,incubator,location,time,ln.fluor,days
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,35,1,S0,NA,NA,4.513888888888889e-4,3.5553480614894135,4.513888888888889e-4
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,102,1,S0,NA,NA,1.0000925925925925,4.624972813284271,1.0000925925925925
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,335,1,S0,NA,NA,2.0042245370370373,5.814130531825066,2.0042245370370373
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,561,1,S0,NA,NA,3.0412268518518517,6.329720905522696,3.0412268518518517
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,763,1,S0,NA,NA,4.0829050925925925,6.637258031284457,4.0829050925925925
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,949,1,S0,NA,NA,5.0865277777777775,6.855408798609928,5.0865277777777775
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,1129,1,S0,NA,NA,6.0428125,7.029087564149662,6.0428125
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,1248,1,S0,NA,NA,7.011284722222222,7.129297548929373,7.011284722222222
1_S0,0.769036953557534,gr.sat,0.08759501102012583,1_A2,1,Sheet1,A2,1356,1,S0,NA,NA,7.995833333333334,7.212294468500341,7.995833333333334
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,22,1,S1,2,6,4.513888888888889e-4,3.091042453358316,4.513888888888889e-4
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,116,1,S1,2,6,0.9978356481481482,4.7535901911063645,0.9978356481481482
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,299,1,S1,2,6,1.9996643518518518,5.700443573390687,1.9996643518518518
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,543,1,S1,2,6,3.0362037037037037,6.297109319933935,3.0362037037037037
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,694,1,S1,2,6,4.077766203703704,6.542471960506805,4.077766203703704
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,844,1,S1,2,6,5.081018518518518,6.7381524945959574,5.081018518518518
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,770,1,S1,2,6,6.045289351851852,6.646390514847729,6.045289351851852
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,1011,1,S1,2,6,7.006446759259259,6.918695219020472,7.006446759259259
1_S1,1.0430862517210815,gr.sat,0.11504871455342709,8_A2,8,Sheet1,A2,953,1,S1,2,6,7.991388888888888,6.859614903654202,7.991388888888888
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,2,1,S2,2,2,4.629629629629629e-4,0.6931471805599453,4.629629629629629e-4
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,1,1,S2,2,2,0.9932291666666666,0,0.9932291666666666
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,2,1,S2,2,2,1.9942476851851854,0.6931471805599453,1.9942476851851854
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,2,1,S2,2,2,3.0266087962962964,0.6931471805599453,3.0266087962962964
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,4,1,S2,2,2,4.068020833333333,1.3862943611198906,4.068020833333333
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,2,1,S2,2,2,5.075671296296297,0.6931471805599453,5.075671296296297
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,2,1,S2,2,2,6.035613425925926,0.6931471805599453,6.035613425925926
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,3,1,S2,2,2,6.996990740740741,1.0986122886681098,6.996990740740741
1_S2,0.009834408025044017,gr,0.061464994137270294,15_A2,15,Sheet1,A2,1,1,S2,2,2,7.982476851851852,0,7.982476851851852
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,5,1,S3,3,16,4.629629629629629e-4,1.6094379124341003,4.629629629629629e-4
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,11,1,S3,3,16,1.001412037037037,2.3978952727983707,1.001412037037037
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,20,1,S3,3,16,2.040763888888889,2.995732273553991,2.040763888888889
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,44,1,S3,3,16,3.074837962962963,3.784189633918261,3.074837962962963
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,83,1,S3,3,16,4.083668981481481,4.418840607796598,4.083668981481481
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,159,1,S3,3,16,5.043263888888888,5.0689042022202315,5.043263888888888
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,65,1,S3,3,16,6.004143518518519,4.174387269895637,6.004143518518519
1_S3,0.6937890623469883,gr.sat,0.20120859892929663,22_A2,22,Sheet1,A2,38,1,S3,3,16,6.990046296296296,3.6375861597263857,6.990046296296296
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,8,1,S4,NA,NA,4.629629629629629e-4,2.0794415416798357,4.629629629629629e-4
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,8,1,S4,NA,NA,1.006539351851852,2.0794415416798357,1.006539351851852
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,11,1,S4,NA,NA,2.041215277777778,2.3978952727983707,2.041215277777778
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,10,1,S4,NA,NA,3.0820254629629633,2.302585092994046,3.0820254629629633
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,13,1,S4,NA,NA,4.0929976851851855,2.5649493574615367,4.0929976851851855
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,16,1,S4,NA,NA,5.052939814814815,2.772588722239781,5.052939814814815
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,14,1,S4,NA,NA,6.011956018518519,2.6390573296152584,6.011956018518519
1_S4,0.09669650072060748,gr,0.019139522619924285,29_A2,29,Sheet1,A2,14,1,S4,NA,NA,6.999259259259259,2.6390573296152584,6.999259259259259
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,4,1,S6,1,18,4.513888888888889e-4,1.3862943611198906,4.513888888888889e-4
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,5,1,S6,1,18,1.0058217592592593,1.6094379124341003,1.0058217592592593
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,4,1,S6,1,18,2.0430439814814814,1.3862943611198906,2.0430439814814814
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,4,1,S6,1,18,3.0744675925925926,1.3862943611198906,3.0744675925925926
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,3,1,S6,1,18,4.086863425925926,1.0986122886681098,4.086863425925926
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,4,1,S6,1,18,5.045543981481481,1.3862943611198906,5.045543981481481
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,4,1,S6,1,18,6.005925925925926,1.3862943611198906,6.005925925925926
1_S6,-0.04095169833015563,gr,0.022668015381534685,43_A2,43,Sheet1,A2,3,1,S6,1,18,6.9927777777777775,1.0986122886681098,6.9927777777777775
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,5,1,S7,NA,NA,4.398148148148148e-4,1.6094379124341003,4.398148148148148e-4
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,5,1,S7,NA,NA,1.0083564814814816,1.6094379124341003,1.0083564814814816
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,4,1,S7,NA,NA,2.0435648148148147,1.3862943611198906,2.0435648148148147
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,4,1,S7,NA,NA,3.0744907407407407,1.3862943611198906,3.0744907407407407
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,3,1,S7,NA,NA,4.088796296296296,1.0986122886681098,4.088796296296296
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,3,1,S7,NA,NA,5.047569444444444,1.0986122886681098,5.047569444444444
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,5,1,S7,NA,NA,6.006145833333334,1.6094379124341003,6.006145833333334
1_S7,-0.056962375568009295,gr,0.031934081648367696,50_A2,50,Sheet1,A2,3,1,S7,NA,NA,6.99255787037037,1.0986122886681098,6.99255787037037
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,7,1,S8,NA,NA,4.513888888888889e-4,1.9459101490553132,4.513888888888889e-4
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,7,1,S8,NA,NA,1.0024305555555555,1.9459101490553132,1.0024305555555555
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,5,1,S8,NA,NA,2.04306712962963,1.6094379124341003,2.04306712962963
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,4,1,S8,NA,NA,3.073668981481481,1.3862943611198906,3.073668981481481
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,4,1,S8,NA,NA,4.092395833333334,1.3862943611198906,4.092395833333334
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,5,1,S8,NA,NA,5.045891203703704,1.6094379124341003,5.045891203703704
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,3,1,S8,NA,NA,6.007164351851852,1.0986122886681098,6.007164351851852
1_S8,-0.12128950493181682,gr,0.024489367965429554,57_A2,57,Sheet1,A2,3,1,S8,NA,NA,6.990972222222222,1.0986122886681098,6.990972222222222
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,9,1,S9,2,18,4.629629629629629e-4,2.1972245773362196,4.629629629629629e-4
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,8,1,S9,2,18,1.0023032407407408,2.0794415416798357,1.0023032407407408
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,4,1,S9,2,18,2.0423726851851853,1.3862943611198906,2.0423726851851853
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,4,1,S9,2,18,3.074085648148148,1.3862943611198906,3.074085648148148
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,4,1,S9,2,18,4.0925115740740745,1.3862943611198906,4.0925115740740745
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,3,1,S9,2,18,5.045659722222222,1.0986122886681098,5.045659722222222
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,3,1,S9,2,18,6.006550925925926,1.0986122886681098,6.006550925925926
1_S9,-0.16096340971478645,gr,0.03130315833325374,64_A2,64,Sheet1,A2,3,1,S9,2,18,6.991342592592592,1.0986122886681098,6.991342592592592
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,12,10,S0,NA,NA,4.629629629629629e-4,2.4849066497880004,4.629629629629629e-4
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,56,10,S0,NA,NA,0.9988425925925926,4.02535169073515,0.9988425925925926
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,176,10,S0,NA,NA,1.9999537037037038,5.170483995038151,1.9999537037037038
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,357,10,S0,NA,NA,3.037199074074074,5.877735781779639,3.037199074074074
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,437,10,S0,NA,NA,4.078703703703703,6.07993319509559,4.078703703703703
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,613,10,S0,NA,NA,5.082048611111111,6.418364935936212,5.082048611111111
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,1025,10,S0,NA,NA,6.04630787037037,6.932447891572509,6.04630787037037
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,2299,10,S0,NA,NA,7.007523148148148,7.740229524763182,7.007523148148148
10_S0,0.6091891752550033,gr,0.0652797181549358,6_A2,6,Sheet1,A2,2520,10,S0,NA,NA,7.991759259259259,7.832014180505469,7.991759259259259
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,17,10,S1,NA,NA,4.513888888888889e-4,2.833213344056216,4.513888888888889e-4
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,51,10,S1,NA,NA,0.98875,3.9318256327243257,0.98875
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,173,10,S1,NA,NA,1.9904976851851852,5.153291594497779,1.9904976851851852
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,312,10,S1,NA,NA,3.0269328703703704,5.7430031878094825,3.0269328703703704
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,456,10,S1,NA,NA,4.068333333333333,6.1224928095143865,4.068333333333333
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,655,10,S1,NA,NA,5.075659722222222,6.484635235635252,5.075659722222222
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,864,10,S1,NA,NA,6.035914351851852,6.761572768804055,6.035914351851852
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,853,10,S1,NA,NA,6.997233796296296,6.748759547491679,6.997233796296296
10_S1,0.8224469569836326,gr.sat,0.08243057928422351,13_A2,13,Sheet1,A2,782,10,S1,NA,NA,7.98255787037037,6.661854740545311,7.98255787037037
10_S2,1.0546005504818377,gr.sat,0.11966500218343219,20_A2,20,Sheet1,A2,9,10,S2,NA,NA,4.513888888888889e-4,2.1972245773362196,4.513888888888889e-4
10_S2,1.0546005504818377,gr.sat,0.11966500218343219,20_A2,20,Sheet1,A2,11,10,S2,NA,NA,0.9851736111111111,2.3978952727983707,0.9851736111111111
10_S2,1.0546005504818377,gr.sat,0.11966500218343219,20_A2,20,Sheet1,A2,56,10,S2,NA,NA,1.9859143518518518,4.02535169073515,1.9859143518518518
10_S2,1.0546005504818377,gr.sat,0.11966500218343219,20_A2,20,Sheet1,A2,266,10,S2,NA,NA,3.0184374999999997,5.583496308781699,3.0184374999999997
