RFU,well,plate,population,mean_consumption,ancestor_id,treatment,note,absorbance
87,B02,1,1,22.25,anc2,N,NA,0.0889
56,C02,1,3,21.416666666666668,cc1690,N,NA,0.1942
56,D02,1,6,20.25,cc1690,P,NA,0.0881
112,E02,1,8,19.416666666666668,anc4,P,NA,0.1021
45,F02,1,11,20.583333333333332,anc4,N,NA,0.0876
88,G02,1,15,21.916666666666668,anc4,S,NA,0.088
92,B03,1,1,22.25,anc2,N,NA,0.3885
54,C03,1,3,21.416666666666668,cc1690,N,NA,0.4426
61,D03,1,6,20.25,cc1690,P,NA,0.0925
94,E03,1,8,19.416666666666668,anc4,P,NA,0.0908
46,F03,1,11,20.583333333333332,anc4,N,NA,0.0861
83,G03,1,15,21.916666666666668,anc4,S,NA,0.0869
84,B04,1,1,22.25,anc2,N,NA,0.3655
52,C04,1,4,21.25,anc3,S,NA,0.0975
57,D04,1,6,20.25,cc1690,P,NA,0.0999
40,E04,1,9,18.916666666666668,cc1690,BS,NA,0.0885
45,F04,1,11,20.583333333333332,anc4,N,NA,0.0904
27,G04,1,16,17.916666666666668,anc5,B,NA,0.0878
71,B05,1,1,22.25,anc2,N,NA,0.0873
48,C05,1,4,21.25,anc3,S,NA,0.0974
54,D05,1,6,20.25,cc1690,P,NA,0.1025
47,E05,1,9,18.916666666666668,cc1690,BS,NA,0.0962
41,F05,1,11,20.583333333333332,anc4,N,NA,0.086
26,G05,1,16,17.916666666666668,anc5,B,NA,0.0854
27,B06,1,2,20.75,anc3,BS,NA,0.0847
55,C06,1,4,21.25,anc3,S,NA,0.1006
69,D06,1,7,21.416666666666668,anc3,B,NA,0.0974
51,E06,1,9,18.916666666666668,cc1690,BS,NA,0.1027
96,F06,1,14,23.583333333333332,anc2,S,NA,0.0877
30,G06,1,16,17.916666666666668,anc5,B,NA,0.0857
24,B07,1,2,20.75,anc3,BS,NA,0.2703
46,C07,1,4,21.25,anc3,S,NA,0.1026
137,D07,1,7,21.416666666666668,anc3,B,NA,0.1258
45,E07,1,9,18.916666666666668,cc1690,BS,NA,0.0925
121,F07,1,14,23.583333333333332,anc2,S,NA,0.088
30,G07,1,16,17.916666666666668,anc5,B,NA,0.0948
25,B08,1,2,20.75,anc3,BS,NA,0.3161
33,C08,1,5,17.75,anc5,C,NA,0.1015
97,D08,1,7,21.416666666666668,anc3,B,NA,0.1008
53,E08,1,10,21.416666666666668,anc2,L,NA,0.096
128,F08,1,14,23.583333333333332,anc2,S,NA,0.0887
187,G08,1,17,19.916666666666668,anc2,P,NA,0.0938
21,B09,1,2,20.75,anc3,BS,NA,0.0836
38,C09,1,5,17.75,anc5,C,NA,0.0871
93,D09,1,7,21.416666666666668,anc3,B,NA,0.102
51,E09,1,10,21.416666666666668,anc2,L,NA,0.0935
102,F09,1,14,23.583333333333332,anc2,S,NA,0.0878
201,G09,1,17,19.916666666666668,anc2,P,NA,0.0974
64,B10,1,3,21.416666666666668,cc1690,N,NA,0.0878
41,C10,1,5,17.75,anc5,C,NA,0.0841
143,D10,1,8,19.416666666666668,anc4,P,NA,0.0961
69,E10,1,10,21.416666666666668,anc2,L,NA,0.0875
119,F10,1,15,21.916666666666668,anc4,S,NA,0.0874
208,G10,1,17,19.916666666666668,anc2,P,NA,0.099
82,B11,1,3,21.416666666666668,cc1690,N,NA,0.0852
38,C11,1,5,17.75,anc5,C,NA,0.0844
124,D11,1,8,19.416666666666668,anc4,P,NA,0.0922
55,E11,1,10,21.416666666666668,anc2,L,NA,0.0855
123,F11,1,15,21.916666666666668,anc4,S,NA,0.0873
184,G11,1,17,19.916666666666668,anc2,P,NA,0.092
115,B02,2,18,19.083333333333332,anc5,S,NA,0.0867
52,C02,2,20,18.25,anc4,L,NA,0.0919
73,D02,2,23,22.916666666666668,anc5,L,NA,0.0874
79,E02,2,25,20.25,anc2,BS,NA,0.087
61,F02,2,28,19.75,anc5,P,NA,0.088
74,G02,2,30,20.25,anc5,N,NA,0.0869
116,B03,2,18,19.083333333333332,anc5,S,NA,0.0863
56,C03,2,20,18.25,anc4,L,NA,0.0865
71,D03,2,23,22.916666666666668,anc5,L,NA,0.0875
68,E03,2,25,20.25,anc2,BS,NA,0.0885
58,F03,2,28,19.75,anc5,P,NA,0.0854
67,G03,2,30,20.25,anc5,N,NA,0.0862
109,B04,2,18,19.083333333333332,anc5,S,NA,0.0868
179,C04,2,21,22.916666666666668,anc4,B,NA,0.0885
64,D04,2,23,22.916666666666668,anc5,L,NA,0.0962
62,E04,2,26,19.25,anc3,L,NA,0.0879
74,F04,2,28,19.75,anc5,P,NA,0.0851
31,G04,2,31,19.416666666666668,cc1690,B,NA,0.0859
109,B05,2,18,19.083333333333332,anc5,S,NA,0.0869
180,C05,2,21,22.916666666666668,anc4,B,NA,0.0913
62,D05,2,23,22.916666666666668,anc5,L,NA,0.0869
64,E05,2,26,19.25,anc3,L,NA,0.0868
69,F05,2,28,19.75,anc5,P,NA,0.0853
39,G05,2,31,19.416666666666668,cc1690,B,NA,0.0852
31,B06,2,19,17.916666666666668,anc2,B,NA,0.0853
193,C06,2,21,22.916666666666668,anc4,B,NA,0.091
26,D06,2,24,20.416666666666668,anc4,C,NA,0.084
67,E06,2,26,19.25,anc3,L,NA,0.0847
92,F06,2,29,19.75,anc3,P,NA,0.0874
35,G06,2,31,19.416666666666668,cc1690,B,NA,0.0864
33,B07,2,19,17.916666666666668,anc2,B,NA,0.0849
174,C07,2,21,22.916666666666668,anc4,B,NA,0.09
33,D07,2,24,20.416666666666668,anc4,C,NA,0.0836
63,E07,2,26,19.25,anc3,L,NA,0.0843
96,F07,2,29,19.75,anc3,P,NA,0.0869
40,G07,2,31,19.416666666666668,cc1690,B,NA,0.0858
29,B08,2,19,17.916666666666668,anc2,B,NA,0.0855
68,C08,2,22,20.083333333333332,cc1690,C,NA,0.0859
19,D08,2,24,20.416666666666668,anc4,C,NA,0.0871
50,E08,2,27,20.613636363636363,anc3,N,NA,0.0851
96,F08,2,29,19.75,anc3,P,NA,0.0871
116,G08,2,32,20.416666666666668,cc1690,S,NA,0.089
29,B09,2,19,17.916666666666668,anc2,B,NA,0.0847
70,C09,2,22,20.083333333333332,cc1690,C,NA,0.0847
24,D09,2,24,20.416666666666668,anc4,C,NA,0.0846
162,E09,2,27,20.613636363636363,anc3,N,NA,0.086
89,F09,2,29,19.75,anc3,P,NA,0.0866
102,G09,2,32,20.416666666666668,cc1690,S,NA,0.0876
50,B10,2,20,18.25,anc4,L,NA,0.085
62,C10,2,22,20.083333333333332,cc1690,C,NA,0.0867
73,D10,2,25,20.25,anc2,BS,NA,0.0871
55,E10,2,27,20.613636363636363,anc3,N,NA,0.0852
65,F10,2,30,20.25,anc5,N,NA,0.0861
112,G10,2,32,20.416666666666668,cc1690,S,NA,0.0877
52,B11,2,20,18.25,anc4,L,NA,0.0855
48,C11,2,22,20.083333333333332,cc1690,C,NA,0.086
84,D11,2,25,20.25,anc2,BS,NA,0.0872
48,E11,2,27,20.613636363636363,anc3,N,NA,0.0854
64,F11,2,30,20.25,anc5,N,NA,0.0867
93,G11,2,32,20.416666666666668,cc1690,S,NA,0.0877
68,B02,3,33,19.75,cc1690,L,NA,0.0861
49,C02,3,anc2,21.416666666666668,anc2,none,NA,0.086
81,D02,3,anc5,23.75,anc5,none,NA,0.0869
94,F02,3,1,22.25,anc2,N,NA,0.0882
60,G02,3,3,21.416666666666668,cc1690,N,NA,0.0883
68,B03,3,33,19.75,cc1690,L,NA,0.0851
51,C03,3,anc2,21.416666666666668,anc2,none,NA,0.1201
82,D03,3,anc5,23.75,anc5,none,NA,0.1409
83,F03,3,1,22.25,anc2,N,NA,0.0868
56,G03,3,3,21.416666666666668,cc1690,N,NA,0.0852
72,B04,3,33,19.75,cc1690,L,NA,0.085
53,C04,3,anc3,20.583333333333332,anc3,none,NA,0.1799
74,D04,3,anc5,23.75,anc5,none,NA,0.0943
99,F04,3,1,22.25,anc2,N,NA,0.0891
62,B05,3,33,19.75,cc1690,L,NA,0.2113
64,C05,3,anc3,20.583333333333332,anc3,none,NA,0.0931
65,D05,3,anc5,23.75,anc5,none,NA,0.0937
75,F05,3,1,22.25,anc2,N,NA,0.0848
155,B06,3,35,23.416666666666668,anc4,BS,NA,0.2696
59,C06,3,anc3,20.583333333333332,anc3,none,NA,0.0956
35,D06,3,cc1690,18.25,cc1690,none,NA,0.0919
37,F06,3,2,20.75,anc3,BS,NA,0.0858
144,B07,3,35,23.416666666666668,anc4,BS,NA,0.2893
56,C07,3,anc3,20.583333333333332,anc3,none,NA,0.2056
37,D07,3,cc1690,18.25,cc1690,none,NA,0.0879
29,F07,3,2,20.75,anc3,BS,NA,0.0852
143,B08,3,35,23.416666666666668,anc4,BS,NA,0.3586
62,C08,3,anc4,18.916666666666668,anc4,none,NA,0.3738
29,D08,3,cc1690,18.25,cc1690,none,NA,0.0866
32,F08,3,2,20.75,anc3,BS,NA,0.0842
131,B09,3,35,23.416666666666668,anc4,BS,NA,0.2344
63,C09,3,anc4,18.916666666666668,anc4,none,NA,0.095
34,D09,3,cc1690,18.25,cc1690,none,NA,0.0886
33,F09,3,2,20.75,anc3,BS,NA,0.0864
50,B10,3,anc2,21.416666666666668,anc2,none,NA,0.1119
55,C10,3,anc4,18.916666666666668,anc4,none,NA,0.3369
64,F10,3,3,21.416666666666668,cc1690,N,NA,0.0852
58,B11,3,anc2,21.416666666666668,anc2,none,NA,0.1879
58,C11,3,anc4,18.916666666666668,anc4,none,NA,0.247
66,F11,3,3,21.416666666666668,cc1690,N,NA,0.0869
