treatment,ancestor_id,population,change_salt_tol_lower,change_salt_tol_upper,change_salt_tol_mean
B,anc2,19,-0.3013848003989139,-0.025828886646444917,-0.16588403597932985
B,anc3,7,0.4365566331183824,0.7937997777168255,0.6325245474367542
B,anc4,21,0.9066804403736157,1.0275910997766167,0.9705105733031496
B,anc5,16,0.7720169324983099,2.6859749938937094,1.4109751951582192
B,cc1690,31,0.1861166127056323,0.35728542921600487,0.2286798045348847
BS,anc2,25,2.6747922864250473,3.639062784324325,3.152154725678018
BS,anc3,2,5.938212231398767,7.207679717955928,6.1917834746206735
BS,anc4,35,-0.04374607750457161,0.8672512104464948,0.4006562540240414
BS,cc1690,9,0.8074985053209465,1.8279743746488142,1.2021790029884611
C,anc4,24,0.7270794854326967,0.8767381215689432,0.8480036125404755
C,anc5,5,0.04177660594174695,0.2596717724869674,0.15289463233624329
C,cc1690,22,-0.073208962108067,0.16020703871759845,0.03877615182636747
L,anc2,10,0.1581470710831506,0.46689739868092983,0.3096820604496437
L,anc3,26,0.262299614063389,0.4322661961981302,0.3466223645491913
L,anc4,20,1.0399263249220374,1.3122659018966083,1.171455329261217
L,anc5,23,0.47738820953948014,1.3458502805871837,0.9039957848142686
L,cc1690,33,0.23881568410361842,0.5875053962450835,0.452725589576953
N,anc2,1,-3.3617130827250876,-0.9557896840847027,-1.8833825552164596
N,anc3,27,-0.07028110702966421,0.17956913065272295,0.036909648563563595
N,anc4,11,0.5684218891866367,1.3235208122977327,0.9311378976504806
N,anc5,30,0.04939930246698478,0.2197203794763404,0.13470275131050818
N,cc1690,3,0.12073990698377281,0.20740230054142,0.1746371830330538
Ancestors,anc2,anc2,-0.0813535708288323,0.08199481026995754,-2.889892595468145e-17
Ancestors,anc3,anc3,-0.18631564386845803,0.17188543944905638,-6.314372357280575e-17
Ancestors,anc4,anc4,-0.450852755280192,0.32156754593163966,-1.4337637670686592e-16
Ancestors,anc5,anc5,-0.24557137745964655,0.24398863134297813,-2.4886563950890118e-17
Ancestors,cc1690,cc1690,-0.3451719375357344,0.28169158442719294,7.777159085094494e-17
P,anc2,17,-0.26516564702943735,0.5034642101766157,0.15296658982485536
P,anc3,29,0.3419536053589124,0.9227135825691226,0.7299569141281123
P,anc4,8,0.9379383755110817,1.2209277321692964,1.0897503653951104
P,anc5,28,0.016614698184872653,0.6975068246188721,0.354504942491442
P,cc1690,6,0.7155074849750146,0.9844205407542416,0.8539753171720255
S,anc2,14,5.306132533029498,6.459494137747402,5.8383238504337225
S,anc3,4,3.330911665615787,3.842268909535709,3.612594084450617
S,anc4,15,-2.091254317913662,68.06222836918096,11.019022777572259
S,anc5,18,-2.959439305905228,24.300192963788003,6.639044425449339
S,cc1690,32,4.1508684388821075,4.592359332331233,4.3435320867662295
