light,population,well_plate,term,estimate,std.error,statistic,p.value,number_of_points
0.25,1,B09_1,days,0.31425470460816957,0.4091596581258321,0.7680490937147189,0.5830440903961451,3
0.25,1,C06_1,days,0.25614694554173645,0.2552589106533344,1.0034789574480638,0.4988945374922081,3
0.25,14,D06_1,days,0.44560066565411605,0.23883815138485393,1.8657013675176775,0.31323253634604575,3
0.25,14,F08_1,days,0.17867357970657533,0.17805413694070676,1.0034789574480645,0.49889453749220797,3
0.25,16,C08_3,days,0.5787456288060877,0.7972511867631672,0.7259263308917605,0.6002568279726113,3
0.25,18,D02_2,days,0.6484037556155433,0.002770667657775241,234.02437091144708,0.0027202974427107778,3
0.25,2,C08_2,days,0.601746166310373,0.4981002320148447,1.2080824854794274,0.4401836809351839,3
0.25,20,B06_3,days,0.4955529759653063,0.2190711749944599,2.2620638063306973,0.2649887121229352,3
0.25,20,D03_3,days,0.2917204247640304,0.2514340154672867,1.1602265676816714,0.45286746078615653,3
0.25,21,C02_2,days,0.669853049641591,0.29302593806912725,2.2859855139635012,0.26252090390602734,3
0.25,21,E09_2,days,0.4779489789294936,0.02889436451371175,16.5412524889649,0.03844000913242509,3
0.25,21,F04_2,days,0.6869100360687528,0.11807669912118725,5.8174901668257775,0.10837291282855918,3
0.25,22,E10_2,days,0.14053517202693588,0.9466230343631052,0.14845948907369336,0.9061730706112108,3
0.25,24,B11_1,days,0.34913417393899765,0.0942003066142666,3.7062955152432746,0.1677721291744598,3
0.25,26,E02_2,days,0.2776841817607136,0.7301327173893504,0.3803201461147998,0.768635357626267,3
0.25,28,B02_2,days,-0.21669943784765378,0.33214295700884977,-0.6524282188584235,0.6319826287201241,3
0.25,28,E03_2,days,0.46778214841866406,0.009639116177523777,48.52956845871673,0.0131163270379242,3
0.25,29,D02_3,days,0.36924182615819456,0.08882089258255353,4.157150591737266,0.1502832490987498,3
0.25,3,C10_3,days,0.3058989459110925,0.3220631260750634,0.9498105220521164,0.5163834175679184,3
0.25,30,C09_3,days,0.3225637164230947,0.07759250219711093,4.157150591737265,0.15028324909874982,3
0.25,31,B04_2,days,0.4695882524728113,0.46600114383393443,1.0076976391288754,0.49755917167887465,3
0.25,31,D06_2,days,0.6484037556155433,0.002770667657775241,234.02437091144708,0.0027202974427107778,3
0.25,33,G03_1,days,0.5850642089819925,0.4822270925114703,1.2132545393394216,0.4388483151218521,3
0.25,35,D07_2,days,0.6430795570017177,0.10449091277825133,6.154406540274456,0.10254511426069537,3
0.25,35,F07_2,days,0.3844060124557136,0.3966981075511435,0.9690139810060849,0.510017544009317,3
0.25,4,F03_2,days,0.5066971829813974,0.13785343140893153,3.6756225637816695,0.16910749498779198,3
0.25,5,B09_3,days,0.36862283325219625,0.3881014420178943,0.9498105220521186,0.5163834175679176,3
0.25,5,C04_3,days,0.7378646594103918,0.29928054943534055,2.4654614568255036,0.24530723162052498,3
0.25,5,D06_3,days,0.2594940551225678,0.8774707069043759,0.29572959311432223,0.8169499157654171,3
0.25,6,C02_1,days,0.4920769805847322,0.13276787524386952,3.706295515243275,0.16777212917445977,3
0.25,6,C09_1,days,0.2761563723893875,0.27519896689381274,1.003478957448064,0.4988945374922081,3
0.25,6,E09_1,days,0.5362131594487586,0.14467631014402862,3.706295515243276,0.16777212917445974,3
