file_name,path,well_plate,well,plate,date_time,cell_size,plate_key,population,acclimation_level,percentage,expt_light_level,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500,start_time,days,light_level,light,cell_count,cells_per_ml
imaging/light-gen5-outputs/Rstar_BF_light_plate22_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,B11_22,B11,22,2019-06-12T10:20:16Z,43.8,1,24,HL,0.5,L8,4,15,1,1,2019-06-12T10:20:16Z,0,8,125,410,114090.18080945766
imaging/light-gen5-outputs/Rstar_BF_light_plate22_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C11_22,C11,22,2019-06-12T10:20:16Z,51,1,anc5,HL,0.5,L8,4,15,1,1,2019-06-12T10:20:16Z,0,8,125,807,224562.86808105445
imaging/light-gen5-outputs/Rstar_BF_light_plate22_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D11_22,D11,22,2019-06-12T10:20:16Z,58.9,1,11,HL,0.5,L8,4,15,1,1,2019-06-12T10:20:16Z,0,8,125,665,185048.70789826667
imaging/light-gen5-outputs/Rstar_BF_light_plate22_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E11_22,E11,22,2019-06-12T10:20:16Z,58.2,1,24,HL,0.5,L8,4,15,1,1,2019-06-12T10:20:16Z,0,8,125,585,162787.20920373837
imaging/light-gen5-outputs/Rstar_BF_light_plate22_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,F11_22,F11,22,2019-06-12T10:20:16Z,43.3,1,1,HL,0.5,L8,4,15,1,1,2019-06-12T10:20:16Z,0,8,125,548,152491.266057519
imaging/light-gen5-outputs/Rstar_BF_light_plate23_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,B11_23,B11,23,2019-06-13T13:05:35Z,49.4,2,18,HL,0.5,L8,4,3,1,1,2019-06-12T10:20:16Z,1.1148032407407407,8,125,937,260737.80345966297
imaging/light-gen5-outputs/Rstar_BF_light_plate23_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,C11_23,C11,23,2019-06-13T13:05:35Z,34.6,2,17,HL,0.5,L8,4,3,1,1,2019-06-12T10:20:16Z,1.1148032407407407,8,125,1898,528154.0565276844
imaging/light-gen5-outputs/Rstar_BF_light_plate23_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,D11_23,D11,23,2019-06-13T13:05:35Z,53.5,2,27,HL,0.5,L8,4,3,1,1,2019-06-12T10:20:16Z,1.1148032407407407,8,125,550,153047.8035248822
imaging/light-gen5-outputs/Rstar_BF_light_plate23_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,E11_23,E11,23,2019-06-13T13:05:35Z,48.7,2,18,HL,0.5,L8,4,3,1,1,2019-06-12T10:20:16Z,1.1148032407407407,8,125,971,270198.94040483754
imaging/light-gen5-outputs/Rstar_BF_light_plate23_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,F11_23,F11,23,2019-06-13T13:05:35Z,41.4,2,26,HL,0.5,L8,4,3,1,1,2019-06-12T10:20:16Z,1.1148032407407407,8,125,533,148317.23505229494
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,B11_24,B11,24,2019-06-12T12:52:37Z,46.5,3,anc4,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,688,191448.88877294358
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C11_24,C11,24,2019-06-12T12:52:37Z,54.1,3,15,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,1124,312774.0566581229
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D11_24,D11,24,2019-06-12T12:52:37Z,56.4,3,10,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,727,202301.36938652614
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E11_24,E11,24,2019-06-12T12:52:37Z,51,3,16,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,463,128838.42369458267
imaging/light-gen5-outputs/Rstar_BF_light_plate25_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,B11_25,B11,25,2019-06-12T11:32:15Z,49.2,1,24,HL,0.7,L9,6,3,1,NA,2019-06-12T11:07:26Z,0.017233796296296296,9,175,702,195344.65104448603
