treatment,ancestor_id,population,change_rstar_lower,change_rstar_upper,change_rstar_mean
B,anc2,19,-1.4866018780444135,1.2541761756424712,-0.09522299847739606
B,anc3,7,-0.7621050562879343,1.851154979281833,0.5533464144574011
B,anc4,21,-3.0672054750415403,-1.3712129952549332,-2.22417251248203
B,anc5,16,1.4017423233973116,3.3912451074815984,2.3959113354213084
B,cc1690,31,-3.814786880501326,-1.6999504496590965,-2.7276703377709444
BS,anc2,25,-2.5007637048935054,-0.33518916826067113,-1.4740261062732207
BS,anc3,2,-3.050163165432546,-1.1155504831040106,-2.105958208251021
BS,anc4,35,-0.8462727147384006,0.5163846225837019,-0.1576530529031827
BS,cc1690,9,-3.8944234551092745,-2.2579210090121826,-3.069241608400928
C,anc4,24,1.440005757611479,4.201737259976758,2.8613125957431182
C,anc5,5,3.4683504503589613,6.522022640181242,5.004300440770364
C,cc1690,22,-2.705440414523754,-0.7511044152806067,-1.7634638964559959
L,anc2,10,2.5818761525469958,5.065450959319544,3.769233179338685
L,anc3,26,-1.6546991337544406,1.3299881712711665,-0.18658763115197075
L,anc4,20,2.2974708597856703,4.549866651104701,3.4683080067194907
L,anc5,23,-0.9132019109396073,0.6741166477236312,-0.10342645184566342
L,cc1690,33,-2.231490427908994,0.1637010551139932,-1.0921337533957525
N,anc2,1,-0.2424466769693581,1.9064986154103178,0.8494248001176965
N,anc3,27,-4.741191258977383,-2.175677380932071,-3.4677615766067222
N,anc4,11,-3.7314330902009285,-1.5999466505321676,-2.715789670963433
N,anc5,30,1.63142198601167,3.147048115502764,2.375467720771063
N,cc1690,3,-3.1025203276107187,-1.0118225565353207,-2.0356909289497245
Ancestors,anc2,anc2,-1.1143288159698943,1.2117978604725996,-3.960865113816914e-16
Ancestors,anc3,anc3,-1.6775218005896022,1.6365102968337324,2.4894497402222323e-16
Ancestors,anc4,anc4,-1.084451789979109,1.0664921505721683,-3.8489429452569846e-16
Ancestors,anc5,anc5,-0.7488543006093613,0.7718058660521716,-1.7931048869533826e-16
Ancestors,cc1690,cc1690,-0.8741439137342737,0.8271744130288521,9.24812243646211e-17
P,anc2,17,-2.279378292607276,-0.37146242649256883,-1.266765003033072
P,anc3,29,-2.5920992274450354,-0.1673509122147884,-1.4187270839993142
P,anc4,8,-5.014514751575727,-4.301603777603528,-4.929276682836496
P,anc5,28,0.35260889653954186,3.4373243399444666,1.9753990593145152
P,cc1690,6,-2.0621510478823497,0.5801967089743675,-0.7263952037137222
S,anc2,14,-2.990396232059125,-0.2858305312013097,-1.638199942247008
S,anc3,4,-4.476852650528606,-2.1693765160723957,-3.250729164253724
S,anc4,15,-2.8736529127677914,-1.4942287698913583,-2.284208061562808
S,anc5,18,1.945222368458675,3.6221288800959703,2.774823333726988
S,cc1690,32,-3.6069127160569137,-1.7062859885549793,-2.641165863055719
