rstar,population,ancestor_id,treatment,note
1.1815432877113532,1,anc2,N,NA
1.9492683572717966,10,anc2,L,NA
0,11,anc4,N,NA
0,14,anc2,S,NA
0,15,anc4,S,NA
0,16,anc5,B,NA
0.5186538479376236,17,anc2,P,NA
1.7127053717656249,18,anc5,S,NA
0.9540641458744278,19,anc2,B,NA
0.6713057622114883,2,anc3,BS,NA
1.4920855131237662,20,anc4,L,NA
0,21,anc4,B,NA
3.3441010527236457,22,cc1690,C,NA
0.21265897263500178,23,anc5,L,NA
1.8006081570287262,24,anc4,C,NA
0,25,anc2,BS,NA
2.4265042600866473,26,anc3,L,NA
2.657901453531064,27,anc3,N,NA
2.4672184857889303,28,anc5,P,NA
0.44012169822299935,29,anc3,P,NA
0,3,cc1690,N,NA
0.6839463395978354,30,anc5,N,NA
2.6564354496701976,31,cc1690,B,NA
1.5228845122007713,32,cc1690,S,NA
1.4088188415167704,33,cc1690,L,NA
0.6214549550986983,35,anc4,BS,NA
1.8824730137067511,4,anc3,S,NA
1.1206354312563382,5,anc5,C,NA
0,6,cc1690,P,NA
2.237551276845501,7,anc3,B,NA
0,8,anc4,P,NA
0.765196223809513,9,cc1690,BS,NA
1.6969542864282872,anc2,anc2,none,NA
2.474938290023374,anc3,anc3,none,NA
1.2217637763839486,anc4,anc4,none,NA
0,anc5,anc5,none,NA
1.391894679069217,cc1690,cc1690,none,NA
