combination,comp1,comp2,treatment
1,anc2,anc3,none
2,anc2,anc4,none
3,anc2,anc5,none
4,anc2,cc1690,none
5,anc3,anc4,none
6,anc3,anc5,none
7,anc3,cc1690,none
8,anc4,anc5,none
9,anc4,cc1690,none
10,anc5,cc1690,none
11,anc2,anc3,P
12,anc2,anc4,P
13,anc2,anc5,P
14,anc2,cc1690,P
15,anc3,anc4,P
16,anc3,anc5,P
17,anc3,cc1690,P
18,anc4,anc5,P
19,anc4,cc1690,P
20,anc5,cc1690,P
21,anc2,anc3,N
22,anc2,anc4,N
23,anc2,anc5,N
24,anc2,cc1690,N
25,anc3,anc4,N
26,anc3,anc5,N
27,anc3,cc1690,N
28,anc4,anc5,N
29,anc4,cc1690,N
30,anc5,cc1690,N
31,anc2,anc3,L
32,anc2,anc4,L
33,anc2,anc5,L
34,anc2,cc1690,L
35,anc3,anc4,L
36,anc3,anc5,L
37,anc3,cc1690,L
38,anc4,anc5,L
39,anc4,cc1690,L
40,anc5,cc1690,L
41,anc2,anc3,B
42,anc2,anc4,B
43,anc2,anc5,B
44,anc2,cc1690,B
45,anc3,anc4,B
46,anc3,anc5,B
47,anc3,cc1690,B
48,anc4,anc5,B
49,anc4,cc1690,B
50,anc5,cc1690,B
51,anc2,anc3,BS
52,anc2,anc4,BS
53,anc2,cc1690,BS
54,anc3,anc4,BS
55,anc3,cc1690,BS
56,anc4,cc1690,BS
57,anc4,anc5,C
58,anc4,cc1690,C
59,anc5,cc1690,C
