treatment,ancestor_id,population,change_rstar_lower,change_rstar_upper,change_rstar_mean
B,anc2,19,3.828601748464651,8.877358647305675,6.23922442140384
B,anc3,7,2.55665852761354,9.955401773712286,6.143401477041102
B,anc4,21,-8.328996904607399,-3.661779488638012,-6.137592720213045
B,anc5,16,-3.7791292498021023,1.6459752654437578,-0.9592545499111582
B,cc1690,31,0.4759268450380189,7.290907757265389,3.542856646750512
BS,anc2,25,-1.7239458915725079,1.6131412558063605,-0.04339119456772047
BS,anc3,2,1.2303511275147205,5.274537701393099,3.2569747019419144
BS,anc4,35,-6.6162367780522136,-3.0282441262307347,-4.866357164781155
BS,cc1690,9,-0.1740420444810665,4.390935313259006,2.040166240488976
C,anc4,24,1.382233575132435,9.889806545654075,5.659746752906651
C,anc5,5,3.0360882335282757,10.65425844887966,6.529255829127269
C,cc1690,22,-1.9087603803975395,1.9278735782193335,-0.040983113628416744
L,anc2,10,1.1723022364838565,7.329300739845681,4.170791617076947
L,anc3,26,-1.4631631249307988,2.486519779457618,0.49509287554553144
L,anc4,20,-5.646276441201316,0.3621496763339664,-2.73640676589041
L,anc5,23,-5.42723311816701,-2.3810703369500934,-3.8957982928342565
L,cc1690,33,-3.5981851564102207,2.275642169684183,-0.6729631681466436
N,anc2,1,2.332370037144415,6.880279401929192,4.524560255299069
N,anc3,27,-3.0188829863239595,2.8439605121148284,-0.08409924739689943
N,anc4,11,-6.79059885841112,-3.2124928396876955,-5.088312729663946
N,anc5,30,-2.1240415944054196,2.1010708066357715,-0.13218971567750598
N,cc1690,3,-3.4087229361112787,0.17622602055832295,-1.5880078154698458
Ancestors,anc2,anc2,-2.022015349535177,2.1019422039999487,-9.140768514142955e-17
Ancestors,anc3,anc3,-2.241222476031232,2.4392418037452743,-5.320654331006366e-16
Ancestors,anc4,anc4,-2.4896765630311055,2.474418552581569,1.1384394132962784e-16
Ancestors,anc5,anc5,-2.3503250145880585,2.60312200734161,-9.613937567367271e-17
Ancestors,cc1690,cc1690,-2.1113193419832017,2.03530915539657,-4.984516385693412e-17
P,anc2,17,-7.7343669154352,-5.091875746273027,-6.441276911734034
P,anc3,29,-4.391782105566568,-0.7247728943800652,-2.4824597840165805
P,anc4,8,-2.6461611553961406,1.6265488210176864,-0.531296734705958
P,anc5,28,-5.505763571646911,-1.2854839579720312,-3.424098023770576
P,cc1690,6,-2.4630641540745106,2.6441204557296536,0.06539466970503884
S,anc2,14,0.15183904711184035,4.761608139021543,2.4412735174463
S,anc3,4,-0.7007828352169735,3.256922652043809,1.3370967263542095
S,anc4,15,-7.02703749225602,-3.0805744777462505,-5.120191564761865
S,anc5,18,-3.6991235324299168,-0.16563891409895024,-1.9120541290824073
S,cc1690,32,-5.18359675075076,-1.3571687547122027,-3.2160359516956714
