treatment,ancestor_id,population,change_rstar_lower,change_rstar_upper,change_rstar_mean
B,anc2,19,-0.5413334252216245,-0.3710268038196661,-0.44985048257179727
B,anc3,7,-0.7437518956380146,-0.4968971299199871,-0.632067790147738
B,anc4,21,-0.6031209956357263,-0.4990070665342396,-0.5524837775202425
B,anc5,16,-0.033263460883071284,0.12935102783302813,0.04624179350587286
B,cc1690,31,-0.45881412734132204,-0.20225198917505893,-0.3223152996666147
BS,anc2,25,-0.069094467021605,0.03761135410359042,-0.016465003533222947
BS,anc3,2,-0.75991974713431,-0.6080749019571862,-0.6823515854971804
BS,anc4,35,-0.7753464571723264,-0.7054417399623307,-0.7421562669298838
BS,cc1690,9,-0.30384934976395345,0.39329294657006453,0.04290676886215127
C,anc4,24,-0.5647094682351708,-0.40200799046686864,-0.48239386502775927
C,anc5,5,-0.17057365413816214,-0.02011518087264726,-0.09813380059646581
C,cc1690,22,0.05097425025712499,0.5889702810960197,0.29893876610619974
L,anc2,10,0.41546138214439304,1.6130389660223867,0.9610952761645053
L,anc3,26,-0.39274797641922665,-0.198044437793372,-0.29134906854888903
L,anc4,20,0.3531913695219337,0.6270211783677501,0.4926040293823262
L,anc5,23,-0.5434001560261937,-0.2920804660169611,-0.4217270196369719
L,cc1690,33,-0.23174308048824727,-0.04859116430790572,-0.13988705187137146
N,anc2,1,-0.5750866074765113,-0.3568890803962286,-0.4680155218092835
N,anc3,27,-0.33273250640623886,0.028347664944658395,-0.15975238033339434
N,anc4,11,-0.12974847588504146,0.0393040767982675,-0.047999141566499724
N,anc5,30,-0.6961623912483971,-0.528905118049161,-0.6090790452254191
N,cc1690,3,-0.6166573932612645,-0.18100733649432105,-0.3904941143308398
Ancestors,anc2,anc2,-0.06215948946906436,0.06154153092046666,-3.5450050040673476e-17
Ancestors,anc3,anc3,-0.08920975310203527,0.08255741538271015,6.16772119349379e-17
Ancestors,anc4,anc4,-0.07670081336483023,0.08156820223515958,-2.467575364484234e-17
Ancestors,anc5,anc5,-0.058970197752556075,0.05921515001896529,-1.0554664737647988e-17
Ancestors,cc1690,cc1690,-0.06354859360297864,0.05839534301059039,1.5784347899695407e-17
P,anc2,17,-0.6968865548268837,-0.6244029368215986,-0.6602693543056108
P,anc3,29,-0.7469923898549704,-0.6180190520739559,-0.6817219649938939
P,anc4,8,-0.41843229952233246,-0.33900397839627594,-0.3803287940766792
P,anc5,28,-0.5631497827453414,-0.40492876796746635,-0.4808979731259532
P,cc1690,6,-0.7039681191738644,-0.5642773589042352,-0.6379853093489325
S,anc2,14,-0.6380886252356838,-0.44678565456759545,-0.5433014190122428
S,anc3,4,-0.6031492171481594,-0.3334779612677166,-0.45882078253873493
S,anc4,15,-0.46034380692522703,-0.2093914564998721,-0.3344533363469422
S,anc5,18,-0.6055218819478893,-0.39975668861725383,-0.5075807634188858
S,cc1690,32,-0.42120143299855917,-0.19710582924902012,-0.3102281832704616
