comp1,comp2,ancestor_combo
31,32,anc5_cc1690
31,33,anc5_cc1690
31,anc5,anc5_cc1690
31,cc1690,anc5_cc1690
32,33,anc5_cc1690
32,anc5,anc5_cc1690
32,cc1690,anc5_cc1690
33,anc5,anc5_cc1690
33,cc1690,anc5_cc1690
anc5,cc1690,anc5_cc1690
8,11,anc4_cc1690
8,15,anc4_cc1690
8,20,anc4_cc1690
8,21,anc4_cc1690
8,24,anc4_cc1690
8,35,anc4_cc1690
8,3,anc4_cc1690
8,6,anc4_cc1690
8,9,anc4_cc1690
8,22,anc4_cc1690
8,31,anc4_cc1690
8,32,anc4_cc1690
8,33,anc4_cc1690
8,anc4,anc4_cc1690
8,cc1690,anc4_cc1690
11,15,anc4_cc1690
11,20,anc4_cc1690
11,21,anc4_cc1690
11,24,anc4_cc1690
11,35,anc4_cc1690
11,3,anc4_cc1690
11,6,anc4_cc1690
11,9,anc4_cc1690
11,22,anc4_cc1690
11,31,anc4_cc1690
11,32,anc4_cc1690
11,33,anc4_cc1690
11,anc4,anc4_cc1690
11,cc1690,anc4_cc1690
15,20,anc4_cc1690
15,21,anc4_cc1690
15,24,anc4_cc1690
15,35,anc4_cc1690
15,3,anc4_cc1690
15,6,anc4_cc1690
15,9,anc4_cc1690
15,22,anc4_cc1690
15,31,anc4_cc1690
15,32,anc4_cc1690
15,33,anc4_cc1690
15,anc4,anc4_cc1690
15,cc1690,anc4_cc1690
20,21,anc4_cc1690
20,24,anc4_cc1690
20,35,anc4_cc1690
20,3,anc4_cc1690
20,6,anc4_cc1690
20,9,anc4_cc1690
20,22,anc4_cc1690
20,31,anc4_cc1690
20,32,anc4_cc1690
20,33,anc4_cc1690
20,anc4,anc4_cc1690
20,cc1690,anc4_cc1690
21,24,anc4_cc1690
21,35,anc4_cc1690
21,3,anc4_cc1690
21,6,anc4_cc1690
21,9,anc4_cc1690
21,22,anc4_cc1690
21,31,anc4_cc1690
21,32,anc4_cc1690
21,33,anc4_cc1690
21,anc4,anc4_cc1690
21,cc1690,anc4_cc1690
24,35,anc4_cc1690
24,3,anc4_cc1690
24,6,anc4_cc1690
24,9,anc4_cc1690
24,22,anc4_cc1690
24,31,anc4_cc1690
24,32,anc4_cc1690
24,33,anc4_cc1690
24,anc4,anc4_cc1690
24,cc1690,anc4_cc1690
35,3,anc4_cc1690
35,6,anc4_cc1690
35,9,anc4_cc1690
35,22,anc4_cc1690
35,31,anc4_cc1690
35,32,anc4_cc1690
35,33,anc4_cc1690
35,anc4,anc4_cc1690
35,cc1690,anc4_cc1690
3,6,anc4_cc1690
3,9,anc4_cc1690
3,22,anc4_cc1690
3,31,anc4_cc1690
3,32,anc4_cc1690
3,33,anc4_cc1690
3,anc4,anc4_cc1690
3,cc1690,anc4_cc1690
6,9,anc4_cc1690
6,22,anc4_cc1690
6,31,anc4_cc1690
6,32,anc4_cc1690
6,33,anc4_cc1690
6,anc4,anc4_cc1690
6,cc1690,anc4_cc1690
9,22,anc4_cc1690
9,31,anc4_cc1690
9,32,anc4_cc1690
9,33,anc4_cc1690
9,anc4,anc4_cc1690
9,cc1690,anc4_cc1690
22,31,anc4_cc1690
22,32,anc4_cc1690
22,33,anc4_cc1690
22,anc4,anc4_cc1690
22,cc1690,anc4_cc1690
31,32,anc4_cc1690
31,33,anc4_cc1690
31,anc4,anc4_cc1690
31,cc1690,anc4_cc1690
32,33,anc4_cc1690
32,anc4,anc4_cc1690
32,cc1690,anc4_cc1690
33,anc4,anc4_cc1690
33,cc1690,anc4_cc1690
anc4,cc1690,anc4_cc1690
8,11,anc4_5
8,15,anc4_5
8,20,anc4_5
8,21,anc4_5
8,24,anc4_5
8,35,anc4_5
8,5,anc4_5
8,16,anc4_5
8,18,anc4_5
8,23,anc4_5
8,28,anc4_5
8,30,anc4_5
8,anc4,anc4_5
8,anc5,anc4_5
11,15,anc4_5
11,20,anc4_5
11,21,anc4_5
11,24,anc4_5
11,35,anc4_5
11,5,anc4_5
11,16,anc4_5
11,18,anc4_5
11,23,anc4_5
11,28,anc4_5
11,30,anc4_5
11,anc4,anc4_5
11,anc5,anc4_5
15,20,anc4_5
15,21,anc4_5
15,24,anc4_5
15,35,anc4_5
15,5,anc4_5
15,16,anc4_5
15,18,anc4_5
15,23,anc4_5
15,28,anc4_5
15,30,anc4_5
15,anc4,anc4_5
15,anc5,anc4_5
20,21,anc4_5
20,24,anc4_5
20,35,anc4_5
20,5,anc4_5
20,16,anc4_5
20,18,anc4_5
20,23,anc4_5
20,28,anc4_5
20,30,anc4_5
20,anc4,anc4_5
20,anc5,anc4_5
21,24,anc4_5
21,35,anc4_5
21,5,anc4_5
21,16,anc4_5
21,18,anc4_5
21,23,anc4_5
21,28,anc4_5
21,30,anc4_5
21,anc4,anc4_5
21,anc5,anc4_5
24,35,anc4_5
24,5,anc4_5
24,16,anc4_5
24,18,anc4_5
24,23,anc4_5
24,28,anc4_5
24,30,anc4_5
24,anc4,anc4_5
24,anc5,anc4_5
35,5,anc4_5
35,16,anc4_5
35,18,anc4_5
35,23,anc4_5
35,28,anc4_5
35,30,anc4_5
35,anc4,anc4_5
35,anc5,anc4_5
5,16,anc4_5
5,18,anc4_5
5,23,anc4_5
5,28,anc4_5
5,30,anc4_5
5,anc4,anc4_5
5,anc5,anc4_5
16,18,anc4_5
16,23,anc4_5
16,28,anc4_5
16,30,anc4_5
16,anc4,anc4_5
16,anc5,anc4_5
18,23,anc4_5
18,28,anc4_5
18,30,anc4_5
18,anc4,anc4_5
18,anc5,anc4_5
23,28,anc4_5
23,30,anc4_5
23,anc4,anc4_5
23,anc5,anc4_5
28,30,anc4_5
28,anc4,anc4_5
28,anc5,anc4_5
30,anc4,anc4_5
30,anc5,anc4_5
anc4,anc5,anc4_5
2,4,anc3_cc1690
2,7,anc3_cc1690
2,26,anc3_cc1690
2,27,anc3_cc1690
2,29,anc3_cc1690
2,3,anc3_cc1690
2,6,anc3_cc1690
2,9,anc3_cc1690
2,22,anc3_cc1690
2,31,anc3_cc1690
2,32,anc3_cc1690
2,33,anc3_cc1690
2,anc3,anc3_cc1690
2,cc1690,anc3_cc1690
4,7,anc3_cc1690
4,26,anc3_cc1690
4,27,anc3_cc1690
4,29,anc3_cc1690
4,3,anc3_cc1690
4,6,anc3_cc1690
4,9,anc3_cc1690
4,22,anc3_cc1690
4,31,anc3_cc1690
4,32,anc3_cc1690
4,33,anc3_cc1690
4,anc3,anc3_cc1690
4,cc1690,anc3_cc1690
7,26,anc3_cc1690
7,27,anc3_cc1690
7,29,anc3_cc1690
7,3,anc3_cc1690
7,6,anc3_cc1690
7,9,anc3_cc1690
7,22,anc3_cc1690
7,31,anc3_cc1690
7,32,anc3_cc1690
7,33,anc3_cc1690
7,anc3,anc3_cc1690
7,cc1690,anc3_cc1690
26,27,anc3_cc1690
26,29,anc3_cc1690
26,3,anc3_cc1690
26,6,anc3_cc1690
26,9,anc3_cc1690
26,22,anc3_cc1690
26,31,anc3_cc1690
26,32,anc3_cc1690
26,33,anc3_cc1690
26,anc3,anc3_cc1690
26,cc1690,anc3_cc1690
27,29,anc3_cc1690
27,3,anc3_cc1690
27,6,anc3_cc1690
27,9,anc3_cc1690
27,22,anc3_cc1690
27,31,anc3_cc1690
27,32,anc3_cc1690
27,33,anc3_cc1690
27,anc3,anc3_cc1690
27,cc1690,anc3_cc1690
29,3,anc3_cc1690
29,6,anc3_cc1690
29,9,anc3_cc1690
29,22,anc3_cc1690
29,31,anc3_cc1690
29,32,anc3_cc1690
29,33,anc3_cc1690
29,anc3,anc3_cc1690
29,cc1690,anc3_cc1690
3,6,anc3_cc1690
3,9,anc3_cc1690
3,22,anc3_cc1690
3,31,anc3_cc1690
3,32,anc3_cc1690
3,33,anc3_cc1690
3,anc3,anc3_cc1690
3,cc1690,anc3_cc1690
6,9,anc3_cc1690
6,22,anc3_cc1690
6,31,anc3_cc1690
6,32,anc3_cc1690
6,33,anc3_cc1690
6,anc3,anc3_cc1690
6,cc1690,anc3_cc1690
9,22,anc3_cc1690
9,31,anc3_cc1690
9,32,anc3_cc1690
9,33,anc3_cc1690
9,anc3,anc3_cc1690
9,cc1690,anc3_cc1690
22,31,anc3_cc1690
22,32,anc3_cc1690
22,33,anc3_cc1690
22,anc3,anc3_cc1690
22,cc1690,anc3_cc1690
31,32,anc3_cc1690
31,33,anc3_cc1690
31,anc3,anc3_cc1690
31,cc1690,anc3_cc1690
32,33,anc3_cc1690
32,anc3,anc3_cc1690
32,cc1690,anc3_cc1690
33,anc3,anc3_cc1690
33,cc1690,anc3_cc1690
anc3,cc1690,anc3_cc1690
2,4,anc3_5
2,7,anc3_5
2,26,anc3_5
2,27,anc3_5
2,29,anc3_5
2,5,anc3_5
2,16,anc3_5
2,18,anc3_5
2,23,anc3_5
2,28,anc3_5
2,30,anc3_5
2,anc3,anc3_5
2,anc5,anc3_5
4,7,anc3_5
4,26,anc3_5
4,27,anc3_5
4,29,anc3_5
4,5,anc3_5
4,16,anc3_5
4,18,anc3_5
4,23,anc3_5
4,28,anc3_5
4,30,anc3_5
4,anc3,anc3_5
4,anc5,anc3_5
7,26,anc3_5
7,27,anc3_5
7,29,anc3_5
7,5,anc3_5
7,16,anc3_5
7,18,anc3_5
7,23,anc3_5
7,28,anc3_5
7,30,anc3_5
7,anc3,anc3_5
7,anc5,anc3_5
26,27,anc3_5
26,29,anc3_5
26,5,anc3_5
26,16,anc3_5
26,18,anc3_5
26,23,anc3_5
26,28,anc3_5
26,30,anc3_5
26,anc3,anc3_5
26,anc5,anc3_5
27,29,anc3_5
27,5,anc3_5
27,16,anc3_5
27,18,anc3_5
27,23,anc3_5
27,28,anc3_5
27,30,anc3_5
27,anc3,anc3_5
27,anc5,anc3_5
29,5,anc3_5
29,16,anc3_5
29,18,anc3_5
29,23,anc3_5
29,28,anc3_5
29,30,anc3_5
29,anc3,anc3_5
29,anc5,anc3_5
5,16,anc3_5
5,18,anc3_5
5,23,anc3_5
5,28,anc3_5
5,30,anc3_5
5,anc3,anc3_5
5,anc5,anc3_5
16,18,anc3_5
16,23,anc3_5
16,28,anc3_5
16,30,anc3_5
16,anc3,anc3_5
16,anc5,anc3_5
18,23,anc3_5
18,28,anc3_5
18,30,anc3_5
18,anc3,anc3_5
18,anc5,anc3_5
23,28,anc3_5
23,30,anc3_5
23,anc3,anc3_5
23,anc5,anc3_5
28,30,anc3_5
28,anc3,anc3_5
28,anc5,anc3_5
30,anc3,anc3_5
30,anc5,anc3_5
anc3,anc5,anc3_5
2,4,anc3_4
2,7,anc3_4
2,26,anc3_4
2,27,anc3_4
2,29,anc3_4
2,8,anc3_4
2,11,anc3_4
2,15,anc3_4
2,20,anc3_4
2,21,anc3_4
2,24,anc3_4
2,35,anc3_4
2,anc3,anc3_4
2,anc4,anc3_4
4,7,anc3_4
4,26,anc3_4
4,27,anc3_4
4,29,anc3_4
4,8,anc3_4
4,11,anc3_4
4,15,anc3_4
4,20,anc3_4
4,21,anc3_4
4,24,anc3_4
4,35,anc3_4
4,anc3,anc3_4
4,anc4,anc3_4
7,26,anc3_4
7,27,anc3_4
7,29,anc3_4
7,8,anc3_4
7,11,anc3_4
7,15,anc3_4
7,20,anc3_4
7,21,anc3_4
7,24,anc3_4
7,35,anc3_4
7,anc3,anc3_4
7,anc4,anc3_4
26,27,anc3_4
26,29,anc3_4
26,8,anc3_4
26,11,anc3_4
26,15,anc3_4
26,20,anc3_4
26,21,anc3_4
26,24,anc3_4
26,35,anc3_4
26,anc3,anc3_4
26,anc4,anc3_4
27,29,anc3_4
27,8,anc3_4
27,11,anc3_4
27,15,anc3_4
27,20,anc3_4
27,21,anc3_4
27,24,anc3_4
27,35,anc3_4
27,anc3,anc3_4
27,anc4,anc3_4
29,8,anc3_4
29,11,anc3_4
29,15,anc3_4
29,20,anc3_4
29,21,anc3_4
29,24,anc3_4
29,35,anc3_4
29,anc3,anc3_4
29,anc4,anc3_4
8,11,anc3_4
8,15,anc3_4
8,20,anc3_4
8,21,anc3_4
8,24,anc3_4
8,35,anc3_4
8,anc3,anc3_4
8,anc4,anc3_4
11,15,anc3_4
11,20,anc3_4
11,21,anc3_4
11,24,anc3_4
11,35,anc3_4
11,anc3,anc3_4
11,anc4,anc3_4
15,20,anc3_4
15,21,anc3_4
15,24,anc3_4
15,35,anc3_4
15,anc3,anc3_4
15,anc4,anc3_4
20,21,anc3_4
20,24,anc3_4
20,35,anc3_4
20,anc3,anc3_4
20,anc4,anc3_4
21,24,anc3_4
21,35,anc3_4
21,anc3,anc3_4
21,anc4,anc3_4
24,35,anc3_4
24,anc3,anc3_4
24,anc4,anc3_4
35,anc3,anc3_4
35,anc4,anc3_4
anc3,anc4,anc3_4
1,10,anc2_cc1690
1,14,anc2_cc1690
1,17,anc2_cc1690
1,19,anc2_cc1690
1,25,anc2_cc1690
1,3,anc2_cc1690
1,6,anc2_cc1690
1,9,anc2_cc1690
1,22,anc2_cc1690
1,31,anc2_cc1690
1,32,anc2_cc1690
1,33,anc2_cc1690
1,anc2,anc2_cc1690
1,cc1690,anc2_cc1690
10,14,anc2_cc1690
10,17,anc2_cc1690
10,19,anc2_cc1690
10,25,anc2_cc1690
10,3,anc2_cc1690
10,6,anc2_cc1690
10,9,anc2_cc1690
10,22,anc2_cc1690
10,31,anc2_cc1690
10,32,anc2_cc1690
10,33,anc2_cc1690
10,anc2,anc2_cc1690
10,cc1690,anc2_cc1690
14,17,anc2_cc1690
14,19,anc2_cc1690
14,25,anc2_cc1690
14,3,anc2_cc1690
14,6,anc2_cc1690
14,9,anc2_cc1690
14,22,anc2_cc1690
14,31,anc2_cc1690
14,32,anc2_cc1690
14,33,anc2_cc1690
14,anc2,anc2_cc1690
14,cc1690,anc2_cc1690
17,19,anc2_cc1690
17,25,anc2_cc1690
17,3,anc2_cc1690
17,6,anc2_cc1690
17,9,anc2_cc1690
17,22,anc2_cc1690
17,31,anc2_cc1690
17,32,anc2_cc1690
17,33,anc2_cc1690
17,anc2,anc2_cc1690
17,cc1690,anc2_cc1690
19,25,anc2_cc1690
19,3,anc2_cc1690
19,6,anc2_cc1690
19,9,anc2_cc1690
19,22,anc2_cc1690
19,31,anc2_cc1690
19,32,anc2_cc1690
19,33,anc2_cc1690
19,anc2,anc2_cc1690
19,cc1690,anc2_cc1690
25,3,anc2_cc1690
25,6,anc2_cc1690
25,9,anc2_cc1690
25,22,anc2_cc1690
25,31,anc2_cc1690
25,32,anc2_cc1690
25,33,anc2_cc1690
25,anc2,anc2_cc1690
25,cc1690,anc2_cc1690
3,6,anc2_cc1690
3,9,anc2_cc1690
3,22,anc2_cc1690
3,31,anc2_cc1690
3,32,anc2_cc1690
3,33,anc2_cc1690
3,anc2,anc2_cc1690
3,cc1690,anc2_cc1690
6,9,anc2_cc1690
6,22,anc2_cc1690
6,31,anc2_cc1690
6,32,anc2_cc1690
6,33,anc2_cc1690
6,anc2,anc2_cc1690
6,cc1690,anc2_cc1690
9,22,anc2_cc1690
9,31,anc2_cc1690
9,32,anc2_cc1690
9,33,anc2_cc1690
9,anc2,anc2_cc1690
9,cc1690,anc2_cc1690
22,31,anc2_cc1690
22,32,anc2_cc1690
22,33,anc2_cc1690
22,anc2,anc2_cc1690
22,cc1690,anc2_cc1690
31,32,anc2_cc1690
31,33,anc2_cc1690
31,anc2,anc2_cc1690
31,cc1690,anc2_cc1690
32,33,anc2_cc1690
32,anc2,anc2_cc1690
32,cc1690,anc2_cc1690
33,anc2,anc2_cc1690
33,cc1690,anc2_cc1690
anc2,cc1690,anc2_cc1690
1,10,anc2_5
1,14,anc2_5
1,17,anc2_5
1,19,anc2_5
1,25,anc2_5
1,5,anc2_5
1,16,anc2_5
1,18,anc2_5
1,23,anc2_5
1,28,anc2_5
1,30,anc2_5
1,anc2,anc2_5
1,anc5,anc2_5
10,14,anc2_5
10,17,anc2_5
10,19,anc2_5
10,25,anc2_5
10,5,anc2_5
10,16,anc2_5
10,18,anc2_5
10,23,anc2_5
10,28,anc2_5
10,30,anc2_5
10,anc2,anc2_5
10,anc5,anc2_5
14,17,anc2_5
14,19,anc2_5
14,25,anc2_5
14,5,anc2_5
14,16,anc2_5
14,18,anc2_5
14,23,anc2_5
14,28,anc2_5
14,30,anc2_5
14,anc2,anc2_5
14,anc5,anc2_5
17,19,anc2_5
17,25,anc2_5
17,5,anc2_5
17,16,anc2_5
17,18,anc2_5
17,23,anc2_5
17,28,anc2_5
17,30,anc2_5
17,anc2,anc2_5
17,anc5,anc2_5
19,25,anc2_5
19,5,anc2_5
19,16,anc2_5
19,18,anc2_5
19,23,anc2_5
19,28,anc2_5
19,30,anc2_5
19,anc2,anc2_5
19,anc5,anc2_5
25,5,anc2_5
25,16,anc2_5
25,18,anc2_5
25,23,anc2_5
25,28,anc2_5
25,30,anc2_5
25,anc2,anc2_5
25,anc5,anc2_5
5,16,anc2_5
5,18,anc2_5
5,23,anc2_5
5,28,anc2_5
5,30,anc2_5
5,anc2,anc2_5
5,anc5,anc2_5
16,18,anc2_5
16,23,anc2_5
16,28,anc2_5
16,30,anc2_5
16,anc2,anc2_5
16,anc5,anc2_5
18,23,anc2_5
18,28,anc2_5
18,30,anc2_5
18,anc2,anc2_5
18,anc5,anc2_5
23,28,anc2_5
23,30,anc2_5
23,anc2,anc2_5
23,anc5,anc2_5
28,30,anc2_5
28,anc2,anc2_5
28,anc5,anc2_5
30,anc2,anc2_5
30,anc5,anc2_5
anc2,anc5,anc2_5
1,10,anc2_4
1,14,anc2_4
1,17,anc2_4
1,19,anc2_4
1,25,anc2_4
1,8,anc2_4
1,11,anc2_4
1,15,anc2_4
1,20,anc2_4
1,21,anc2_4
1,24,anc2_4
1,35,anc2_4
1,anc2,anc2_4
1,anc4,anc2_4
10,14,anc2_4
10,17,anc2_4
10,19,anc2_4
10,25,anc2_4
10,8,anc2_4
10,11,anc2_4
10,15,anc2_4
10,20,anc2_4
10,21,anc2_4
10,24,anc2_4
10,35,anc2_4
10,anc2,anc2_4
10,anc4,anc2_4
14,17,anc2_4
14,19,anc2_4
14,25,anc2_4
14,8,anc2_4
14,11,anc2_4
14,15,anc2_4
14,20,anc2_4
14,21,anc2_4
14,24,anc2_4
14,35,anc2_4
14,anc2,anc2_4
14,anc4,anc2_4
17,19,anc2_4
17,25,anc2_4
17,8,anc2_4
17,11,anc2_4
17,15,anc2_4
17,20,anc2_4
17,21,anc2_4
17,24,anc2_4
17,35,anc2_4
17,anc2,anc2_4
17,anc4,anc2_4
19,25,anc2_4
19,8,anc2_4
19,11,anc2_4
19,15,anc2_4
19,20,anc2_4
19,21,anc2_4
19,24,anc2_4
19,35,anc2_4
19,anc2,anc2_4
19,anc4,anc2_4
25,8,anc2_4
25,11,anc2_4
25,15,anc2_4
25,20,anc2_4
25,21,anc2_4
25,24,anc2_4
25,35,anc2_4
25,anc2,anc2_4
25,anc4,anc2_4
8,11,anc2_4
8,15,anc2_4
8,20,anc2_4
8,21,anc2_4
8,24,anc2_4
8,35,anc2_4
8,anc2,anc2_4
8,anc4,anc2_4
11,15,anc2_4
11,20,anc2_4
11,21,anc2_4
11,24,anc2_4
11,35,anc2_4
11,anc2,anc2_4
11,anc4,anc2_4
15,20,anc2_4
15,21,anc2_4
15,24,anc2_4
15,35,anc2_4
15,anc2,anc2_4
15,anc4,anc2_4
20,21,anc2_4
20,24,anc2_4
20,35,anc2_4
20,anc2,anc2_4
20,anc4,anc2_4
21,24,anc2_4
21,35,anc2_4
21,anc2,anc2_4
21,anc4,anc2_4
24,35,anc2_4
24,anc2,anc2_4
24,anc4,anc2_4
35,anc2,anc2_4
35,anc4,anc2_4
anc2,anc4,anc2_4
1,10,anc2_3
1,14,anc2_3
1,17,anc2_3
1,19,anc2_3
1,25,anc2_3
1,2,anc2_3
1,4,anc2_3
1,7,anc2_3
1,26,anc2_3
1,27,anc2_3
1,29,anc2_3
1,anc2,anc2_3
1,anc3,anc2_3
10,14,anc2_3
10,17,anc2_3
10,19,anc2_3
10,25,anc2_3
10,2,anc2_3
10,4,anc2_3
10,7,anc2_3
10,26,anc2_3
10,27,anc2_3
10,29,anc2_3
10,anc2,anc2_3
10,anc3,anc2_3
14,17,anc2_3
14,19,anc2_3
14,25,anc2_3
14,2,anc2_3
14,4,anc2_3
14,7,anc2_3
14,26,anc2_3
14,27,anc2_3
14,29,anc2_3
14,anc2,anc2_3
14,anc3,anc2_3
17,19,anc2_3
17,25,anc2_3
17,2,anc2_3
17,4,anc2_3
17,7,anc2_3
17,26,anc2_3
17,27,anc2_3
17,29,anc2_3
17,anc2,anc2_3
17,anc3,anc2_3
19,25,anc2_3
19,2,anc2_3
19,4,anc2_3
19,7,anc2_3
19,26,anc2_3
19,27,anc2_3
19,29,anc2_3
19,anc2,anc2_3
19,anc3,anc2_3
25,2,anc2_3
25,4,anc2_3
25,7,anc2_3
25,26,anc2_3
25,27,anc2_3
25,29,anc2_3
25,anc2,anc2_3
25,anc3,anc2_3
2,4,anc2_3
2,7,anc2_3
2,26,anc2_3
2,27,anc2_3
2,29,anc2_3
2,anc2,anc2_3
2,anc3,anc2_3
4,7,anc2_3
4,26,anc2_3
4,27,anc2_3
4,29,anc2_3
4,anc2,anc2_3
4,anc3,anc2_3
7,26,anc2_3
7,27,anc2_3
7,29,anc2_3
7,anc2,anc2_3
7,anc3,anc2_3
26,27,anc2_3
26,29,anc2_3
26,anc2,anc2_3
26,anc3,anc2_3
27,29,anc2_3
27,anc2,anc2_3
27,anc3,anc2_3
29,anc2,anc2_3
29,anc3,anc2_3
anc2,anc3,anc2_3
