comp1,comp2,ancestor_combo
5,16,anc5_cc1690
5,18,anc5_cc1690
5,23,anc5_cc1690
5,28,anc5_cc1690
5,30,anc5_cc1690
5,3,anc5_cc1690
5,6,anc5_cc1690
5,9,anc5_cc1690
5,22,anc5_cc1690
5,31,anc5_cc1690
5,32,anc5_cc1690
5,33,anc5_cc1690
5,anc5,anc5_cc1690
5,cc1690,anc5_cc1690
16,18,anc5_cc1690
16,23,anc5_cc1690
16,28,anc5_cc1690
16,30,anc5_cc1690
16,3,anc5_cc1690
16,6,anc5_cc1690
16,9,anc5_cc1690
16,22,anc5_cc1690
16,31,anc5_cc1690
16,32,anc5_cc1690
16,33,anc5_cc1690
16,anc5,anc5_cc1690
16,cc1690,anc5_cc1690
18,23,anc5_cc1690
18,28,anc5_cc1690
18,30,anc5_cc1690
18,3,anc5_cc1690
18,6,anc5_cc1690
18,9,anc5_cc1690
18,22,anc5_cc1690
18,31,anc5_cc1690
18,32,anc5_cc1690
18,33,anc5_cc1690
18,anc5,anc5_cc1690
18,cc1690,anc5_cc1690
23,28,anc5_cc1690
23,30,anc5_cc1690
23,3,anc5_cc1690
23,6,anc5_cc1690
23,9,anc5_cc1690
23,22,anc5_cc1690
23,31,anc5_cc1690
23,32,anc5_cc1690
23,33,anc5_cc1690
23,anc5,anc5_cc1690
23,cc1690,anc5_cc1690
28,30,anc5_cc1690
28,3,anc5_cc1690
28,6,anc5_cc1690
28,9,anc5_cc1690
28,22,anc5_cc1690
28,31,anc5_cc1690
28,32,anc5_cc1690
28,33,anc5_cc1690
28,anc5,anc5_cc1690
28,cc1690,anc5_cc1690
30,3,anc5_cc1690
30,6,anc5_cc1690
30,9,anc5_cc1690
30,22,anc5_cc1690
30,31,anc5_cc1690
30,32,anc5_cc1690
30,33,anc5_cc1690
30,anc5,anc5_cc1690
30,cc1690,anc5_cc1690
3,6,anc5_cc1690
3,9,anc5_cc1690
3,22,anc5_cc1690
3,31,anc5_cc1690
3,32,anc5_cc1690
3,33,anc5_cc1690
3,anc5,anc5_cc1690
3,cc1690,anc5_cc1690
6,9,anc5_cc1690
6,22,anc5_cc1690
6,31,anc5_cc1690
6,32,anc5_cc1690
6,33,anc5_cc1690
6,anc5,anc5_cc1690
6,cc1690,anc5_cc1690
9,22,anc5_cc1690
9,31,anc5_cc1690
9,32,anc5_cc1690
9,33,anc5_cc1690
9,anc5,anc5_cc1690
9,cc1690,anc5_cc1690
22,31,anc5_cc1690
22,32,anc5_cc1690
22,33,anc5_cc1690
22,anc5,anc5_cc1690
22,cc1690,anc5_cc1690
