population,light_0.25,light_1.5,light_12.5,light_125,light_175,light_250,light_27.5,light_5,light_50,light_82.5,nitrate_10,nitrate_100,nitrate_1000,nitrate_20,nitrate_40,nitrate_400,nitrate_5,nitrate_60,nitrate_600,nitrate_80,phosphate_0.5,phosphate_1,phosphate_10,phosphate_2,phosphate_20,phosphate_35,phosphate_4,phosphate_50,phosphate_6,phosphate_8,ancestor_id,treatment,note
1,0.06867161510457562,-0.030622381073417478,-0.11317844619210397,-0.03956596744773921,-0.09210973335080302,-0.08025319319653308,-0.07330519514290254,-0.07338906760741043,0.01566706799974269,-0.06272915613995053,-0.07936308789076431,-0.07295216949153407,0.07863876964981374,-0.06393779960822757,0.026153108673783666,0.07054393278162768,0.1066879721054448,0.014917799170027519,0.0017148166242806624,0.07627211474431991,-0.021097573513588208,0.03150314726170263,0.029587648203824837,-0.0049620888321297435,-0.049422122197787924,0.037913375292454976,0.03516559316434026,-0.010019038196555837,-0.007346330988381211,0.06395461166986108,anc2,N,NA
10,-0.07149688041437681,-0.04679615730840303,-0.03919413050028617,0.08358985679998764,0.0994181327291391,0.20422631617991446,-0.1507318926892282,-0.15504777147974663,-0.021079091210387514,0.13540342210974146,0.09041186879941132,0.03852897810898717,-0.11741130374857381,-0.09012922570282385,-0.01877551639228161,-0.031007926397728373,0.012582134342343702,0.021881982026840902,-0.12117270699155418,0.04332285567055609,-0.09621806900163363,-0.03389072685638944,-0.08174082692831411,0.019675753662066472,-0.07550205036295227,-0.0911713751558548,0.0585161723219221,0.09912002485508924,0.049854640781747575,0.0854375290703981,anc2,L,NA
11,-0.09566610902669376,-0.07783134550773654,0.10147426396365086,-0.16659671557177327,0.03717880734587985,-0.2655089538018555,0.09647375255899751,0.20553647270491368,0.0959535651618256,-0.10408331995108039,0.001425593273010138,-0.04176877966408831,-2.947653339088389e-4,0.12130349901131696,0.07056253981567476,-0.01405365775834821,0.01327655718302199,0.13453593968216487,-0.13243837330941144,0.09801349459592686,0.07096690981005706,0.13372092131374763,0.03681119324260964,-0.09411721297078497,0.035665934560379774,-0.05996037424815026,0.03988927550045496,-0.10142299634872638,0.07675440054638165,0.003988890855294511,anc4,N,NA
14,0.0012376187168329634,-0.020197820949481856,0.16596184391096172,0.005081462687876097,0.0028297556837633317,-0.2309009790550156,0.17037608929475598,0.09495968234724432,0.15211026002840095,-0.04903505051812068,-0.10006508477474982,0.04810748612120806,-0.015997487374023886,-0.03725872880119417,-0.029730161020497234,-0.049602919770898916,-0.018773372834322975,-0.022635493866619408,-0.13386056707143282,-0.015443106949371718,-0.004038171680278724,-0.003059780309641377,0.10869979660927874,0.052788203350437164,-0.05343277375114461,0.01293587331190075,0.07808646652547561,-0.052187670349449336,0.06558160971338076,0.04039525335997857,anc2,S,NA
15,-0.029756521877893734,0.028777577658344128,0.28003595308675083,0.09618655092333728,-0.05852569063812411,-0.025918884981233566,0.25499387180649125,0.01787296927540901,0.011497492565975174,0.20690273683929256,-0.17568117150193294,0.05703673183115415,-0.029147612763823993,-0.05789879805086633,0.013561607839529772,-0.05022375693212181,-0.3227310710922462,0.03851478451167106,0.032696771622480095,-0.1070815140796957,-0.23333895878397612,-0.2274412439069604,0.03645813051248902,-0.031313837318692285,-0.04569470687588448,-0.05701588511192455,0.0959175524671722,0.168139144695814,0.06029834864634113,0.018164579184779605,anc4,S,NA
16,-0.03454537476790019,0.12147896533524105,0.21834168840667287,-0.04858397909449493,0.04018717188490786,0.09926082754822006,0.16760523509028274,0.021219408961810446,0.030602572530974544,-0.06764843285956092,0.0044358405127267915,0.0895009852873131,-0.06395187584124663,0.052876814516333456,-0.01563781874868084,-0.12404413093528693,-0.03802651042695351,-0.01441512786379551,-0.1161241999842081,-0.1452728526055299,-0.04927722798671948,-0.1330796540036515,-0.00602591442271707,-0.04603015983688008,-0.02171253452162638,-2.738431786635214e-4,0.02642242575870974,0.013248242574127225,0.009518642328025644,-0.033122188525111666,anc5,B,NA
17,-0.13940809734516396,0.021359919088171118,-0.10516212072378639,0.011909168566846966,-0.07946941603337536,-0.08234461063431034,-0.040100990886353736,0.036635012974624716,0.006821260654798667,0.031464688265677374,0.02095144639339132,-0.12588678979112544,-0.023696300086299416,0.25478966989664853,0.21878681417487025,-0.06098117438677498,0.1831287079106442,0.19285472976248494,-0.05452783165720135,-0.015937742337710416,0.06926061045123898,0.2267480102879071,-0.021452590554502802,0.05068225399317398,-0.041140111406943854,-0.05029879739922883,0.10448781213004767,-0.12235610555196244,0.05372361010371778,-0.06927874006440884,anc2,P,NA
18,0.047714931115449506,-0.05385569605594362,-0.21575369714618928,0.03641267728769031,-0.007848737440483445,0.036956298239177655,-0.1967742410388766,-0.14945399355088848,0.07663638104153374,0.027769666595107923,0.1290988945428217,0.04650588628639688,-0.0413540871404246,-0.03559684097948987,0.03348711989766315,0.059199541650713436,0.03860773560737439,-0.031727491847565355,0.1254306258608848,0.045439522473097536,-0.07244998045889665,0.010457087535481246,0.08214469708764598,-0.05585671404175811,-0.006780717547906465,-0.0037628998412995314,-0.04152755922624178,0.017805243687373396,0.0050104454958358425,0.02492649907914802,anc5,S,NA
19,-0.1088970126795873,-0.1242094235273074,-0.008467900103644834,0.0223697383924579,0.05933893475188528,-0.19219669935705436,0.006538707842796127,0.11663352640296262,-0.04013429371300826,-0.044311096047813116,-0.051242746201072324,0.007612257031209701,-0.02001585911929544,-0.026698764638069646,-0.07407293051808124,0.03806647229679015,-0.017594290476367593,0.1967893426603336,-0.025352165642542158,0.01196900392679801,-0.03669957136168119,-0.08043226353090378,0.11717215924168058,-0.022981491232188952,0.03355191728686246,0.0028728671043702554,0.00902967955478341,-0.04458618881875567,0.09539243485303334,0.10207552213068181,anc2,B,NA
2,-0.04460948865986501,0.08756224966327687,0.03347028274466296,-0.10426306700768098,-0.15182594648078662,0.0721578754614467,-0.044521804953483186,-0.009279177764375328,-0.04880282304943065,-0.07917907915446931,-0.05177534217539479,-0.036932715167339245,-0.06717488234550234,0.032552676140667376,-0.001345614740155705,0.16122408899833765,-0.0820315103669475,-0.007454303981532091,-0.02445917316535736,0.09483131074460785,-0.02962148043704655,0.20452306460727043,-0.058867932131286334,-0.0011192810799552028,0.024056174674948288,-0.006839916367704723,0.03714161851149794,0.0792273548826032,0.14520877586554076,-0.09889561663480526,anc3,BS,NA
