population,filter_number,biomass_mg,volume_filtered_47mm
23,1,2.0400000000000063,200
22,2,1.8200000000000074,200
21,3,3.075000000000017,200
26,4,1.6599999999999966,200
25,5,1.3100000000000023,200
24,6,1,200
29,7,1.9549999999999983,200
28,8,1.3850000000000051,200
27,9,1.2999999999999972,200
11,10,1.1550000000000011,200
10,11,1.345000000000013,200
9,12,1.0750000000000028,200
8,13,1.3899999999999864,200
5,14,0.9700000000000131,200
4,15,1.6449999999999818,200
anc2,16,1.4449999999999932,200
35,17,3.0349999999999966,200
33,18,1.5300000000000011,200
32,19,2.6850000000000023,200
31,20,0.8650000000000091,200
30,21,2.105000000000004,200
20,22,1.8599999999999994,200
19,23,0.9650000000000034,200
17,24,0.6599999999999966,200
15,25,2.125,200
14,26,2.6299999999999955,200
18,28,2.239999999999995,200
16,30,1.0549999999999784,200
7,31,2.3299999999999983,200
6,32,1.4849999999999994,200
3,33,0.5600000000000023,50
2,35,0.7349999999999994,200
1,36,2.4450000000000074,200
cc1690,37,1.0700000000000074,200
anc5,38,2.115000000000009,200
anc4,39,1.4950000000000045,200
anc3,40,1.6000000000000085,200
