treatment,ancestor_id,population,change_rstar_lower,change_rstar_upper,change_rstar_mean
B,anc2,19,-0.22434162578088904,0.1124265256858354,-0.06990550493706914
B,anc3,7,-0.11003092566915529,0.22929163803177252,0.06039669474513583
B,anc4,21,-0.37523983917600134,-0.15808610996661962,-0.26530334937211225
B,anc5,16,0.19932085034070307,0.4415542610772228,0.31875126769349876
B,cc1690,31,-0.47591258429918953,-0.19962590780623152,-0.34495150495575777
BS,anc2,25,-0.31761764220226135,-0.06793714998456889,-0.19525760053959013
BS,anc3,2,-0.38370051833646335,-0.12724615305653922,-0.25832593846043933
BS,anc4,35,-0.09672916064644738,0.07955100385537721,-0.009897704226627384
BS,cc1690,9,-0.4952371652691405,-0.30037705566897394,-0.39957900573874144
C,anc4,24,0.1350599005437558,0.5075621698969688,0.32178753076920263
C,anc5,5,0.44697936501381713,0.8727228130797703,0.6573316532754216
C,cc1690,22,-0.35490632080623596,-0.0929363819589994,-0.2246029806954972
L,anc2,10,0.3714296664091377,0.6944831411358855,0.5209979555354562
L,anc3,26,-0.2449334511258416,0.1453114203492762,-0.05281348040356901
L,anc4,20,0.32870530865198905,0.6047577515170597,0.47703824008860884
L,anc5,23,-0.10254469063027101,0.09122501792270823,-0.003919516937814933
L,cc1690,33,-0.3192153252142637,0.015029714469524825,-0.1628622278295556
N,anc2,1,-0.05447767110377403,0.23381402253882225,0.09230418387420948
N,anc3,27,-0.5866491820198673,-0.26353292969694764,-0.43203421479209747
N,anc4,11,-0.47419123897775284,-0.19303419995663457,-0.3368462503969295
N,anc5,30,0.23272566889832727,0.43485155793145114,0.33266754277229604
N,cc1690,3,-0.39145748329703123,-0.12660142166022254,-0.2567986334633176
Ancestors,anc2,anc2,-0.15275096046566525,0.14102913922743002,1.5615977420616463e-17
Ancestors,anc3,anc3,-0.2059153322802811,0.2138247055555959,-2.312081990693709e-17
Ancestors,anc4,anc4,-0.13647906269053045,0.14632827460291611,3.294424169473702e-17
Ancestors,anc5,anc5,-0.08890187268455403,0.10450634932388106,2.3477670902575435e-17
Ancestors,cc1690,cc1690,-0.11723313338759145,0.11816995752844923,2.121547058887864e-17
P,anc2,17,-0.28059888710753,-0.053862131621061245,-0.16585507077535797
P,anc3,29,-0.310635349551008,-0.012130534229249666,-0.1676584269064348
P,anc4,8,-0.6084518185100398,-0.5212800901422326,-0.5970440484077801
P,anc5,28,0.026371133908457144,0.3937475362580432,0.22772621936624968
P,cc1690,6,-0.3143643551655132,0.03272291708159019,-0.14464406293397308
S,anc2,14,-0.3839199430701709,-0.0687643249824609,-0.23077530340052074
S,anc3,4,-0.5528845101301955,-0.26420444325863146,-0.39890785136306434
S,anc4,15,-0.3493969013209982,-0.18434794357054057,-0.27303597612055724
S,anc5,18,0.25563829534578636,0.4719795894056051,0.36707037957526156
S,cc1690,32,-0.4931074069451669,-0.24905768996287614,-0.3767377394957621
