file_name,path,well_plate,well,plate,date_time,RFU,population,temperature,round,days,start_time
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate1,data-raw/globe-chlamy-RFU/globe-2018-10-10-,B02_1,B02,1,2018-10-10T22:52:00Z,17,5,10,single,0.09599537037037037,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate1,data-raw/globe-chlamy-RFU/globe-2018-10-10-,C02_1,C02,1,2018-10-10T22:52:00Z,17,9,10,single,0.09599537037037037,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate1,data-raw/globe-chlamy-RFU/globe-2018-10-10-,D02_1,D02,1,2018-10-10T22:52:00Z,27,13,10,single,0.09599537037037037,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate1,data-raw/globe-chlamy-RFU/globe-2018-10-10-,E02_1,E02,1,2018-10-10T22:52:00Z,10,7,10,single,0.09599537037037037,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate1,data-raw/globe-chlamy-RFU/globe-2018-10-10-,F02_1,F02,1,2018-10-10T22:52:00Z,14,12,10,single,0.09599537037037037,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate1,data-raw/globe-chlamy-RFU/globe-2018-10-10-,G02_1,G02,1,2018-10-10T22:52:00Z,14,1,10,single,0.09599537037037037,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate10,data-raw/globe-chlamy-RFU/globe-2018-10-10-,B02_10,B02,10,2018-10-10T22:42:39Z,18,5,22,single,0.08950231481481481,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate10,data-raw/globe-chlamy-RFU/globe-2018-10-10-,C02_10,C02,10,2018-10-10T22:42:39Z,9,9,22,single,0.08950231481481481,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate10,data-raw/globe-chlamy-RFU/globe-2018-10-10-,D02_10,D02,10,2018-10-10T22:42:39Z,29,13,22,single,0.08950231481481481,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate10,data-raw/globe-chlamy-RFU/globe-2018-10-10-,E02_10,E02,10,2018-10-10T22:42:39Z,10,7,22,single,0.08950231481481481,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate10,data-raw/globe-chlamy-RFU/globe-2018-10-10-,F02_10,F02,10,2018-10-10T22:42:39Z,12,12,22,single,0.08950231481481481,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate10,data-raw/globe-chlamy-RFU/globe-2018-10-10-,G02_10,G02,10,2018-10-10T22:42:39Z,21,1,22,single,0.08950231481481481,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate13,data-raw/globe-chlamy-RFU/globe-2018-10-10-,B02_13,B02,13,2018-10-10T23:11:29Z,13,5,28,single,0.10952546296296296,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate13,data-raw/globe-chlamy-RFU/globe-2018-10-10-,C02_13,C02,13,2018-10-10T23:11:29Z,6,9,28,single,0.10952546296296296,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate13,data-raw/globe-chlamy-RFU/globe-2018-10-10-,D02_13,D02,13,2018-10-10T23:11:29Z,22,13,28,single,0.10952546296296296,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate13,data-raw/globe-chlamy-RFU/globe-2018-10-10-,E02_13,E02,13,2018-10-10T23:11:29Z,10,7,28,single,0.10952546296296296,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate13,data-raw/globe-chlamy-RFU/globe-2018-10-10-,F02_13,F02,13,2018-10-10T23:11:29Z,15,12,28,single,0.10952546296296296,2018-10-10T20:33:46Z
data-raw/globe-chlamy-RFU/globe-2018-10-10-plate13,data-raw/globe-chlamy-RFU/globe-2018-10-10-,G02_13,G02,13,2018-10-10T23:11:29Z,7,1,28,single,0.10952546296296296,2018-10-10T20:33:46Z
