file_name,path,well_plate,well,plate,date_time,RFU,population,temperature,round,start_time,days
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate1,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,B02_1,B02,1,2018-10-27T16:41:56Z,13,5,10,single,2018-10-27T16:10:33Z,0.02179398148148148
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate1,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,C02_1,C02,1,2018-10-27T16:41:56Z,8,9,10,single,2018-10-27T16:10:33Z,0.02179398148148148
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate1,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,D02_1,D02,1,2018-10-27T16:41:56Z,17,13,10,single,2018-10-27T16:10:33Z,0.02179398148148148
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate1,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,E02_1,E02,1,2018-10-27T16:41:56Z,12,7,10,single,2018-10-27T16:10:33Z,0.02179398148148148
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate1,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,F02_1,F02,1,2018-10-27T16:41:56Z,28,12,10,single,2018-10-27T16:10:33Z,0.02179398148148148
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate1,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,G02_1,G02,1,2018-10-27T16:41:56Z,15,1,10,single,2018-10-27T16:10:33Z,0.02179398148148148
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate10,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,B02_10,B02,10,2018-10-27T17:49:37Z,20,5,16,single,2018-10-27T16:10:33Z,0.0687962962962963
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate10,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,C02_10,C02,10,2018-10-27T17:49:37Z,9,9,16,single,2018-10-27T16:10:33Z,0.0687962962962963
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate10,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,D02_10,D02,10,2018-10-27T17:49:37Z,20,13,16,single,2018-10-27T16:10:33Z,0.0687962962962963
data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-plate10,data-raw/globe-chlamy-RFU-acclimated/globe-acclimated-2018-10-27-,E02_10,E02,10,2018-10-27T17:49:37Z,16,7,16,single,2018-10-27T16:10:33Z,0.0687962962962963
